"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","68/1349","212/9436",0.320754716981132,2.24361861336839,7.47960567414688,2.26181023888391e-11,7.8032453241495e-09,5.45215310215175e-09,"5590/1435/4803/55740/10000/56288/51196/3265/80310/1813/10411/5908/2321/5587/26037/51466/7057/5604/5579/27040/2775/999/136/3690/8631/6237/2357/25780/805/11069/23236/5332/7074/5594/135/5880/5155/387/9223/111/5291/5028/5290/3791/2250/2247/56034/9693/7424/2533/5295/2149/1946/51735/2246/2324/1268/4301/9771/5898/107/9863/2770/9732/284/2776/1902/8823",68
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","61/1349","184/9436",0.331521739130435,2.3189318980243,7.37898583522243,5.34789984755407e-11,9.22512723703077e-09,6.4456266583678e-09,"5590/2046/5362/55740/8829/56288/3983/3265/5058/7225/23365/57522/10154/80031/6093/6237/9475/8440/7852/659/2043/5594/5880/9901/387/6092/6091/2042/91653/54437/5361/6259/5291/5290/2049/4636/84448/658/817/9037/5295/5921/1946/57556/22885/815/90249/2534/3984/2770/10512/9723/10371/223117/91584/1808/5747/10507/5727/5998/84628",61
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","67/1349","226/9436",0.29646017699115,2.07368289850889,6.67242415331079,1.41158443608086e-09,1.62332210149299e-07,1.13422047671059e-07,"1907/5142/5567/779/134/493/3776/10000/51196/22800/5058/1813/775/5139/10411/5908/4659/488/4792/2353/5604/1387/6093/2696/2906/6237/9475/805/1261/11069/7074/5594/135/5880/5021/491/387/776/111/5291/5337/5290/6750/817/64399/2891/5144/5295/2149/814/3360/815/2890/1812/1906/3351/1081/64208/5350/4301/9586/1395/117/2737/107/2770/5727",67
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","41/1349","122/9436",0.336065573770492,2.35071516241539,6.13279967820161,5.07228548108195e-08,4.37484622743318e-06,3.05671940833623e-06,"5590/134/10000/259230/8879/3265/9846/7132/171546/55012/5529/624/5527/5604/4363/5579/6093/596/10715/9475/5581/23236/5332/5594/5880/387/5523/5291/165679/5337/5290/5522/5295/2534/2770/4846/8439/340485/2776/1903/10558",41
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","58/1349","203/9436",0.285714285714286,1.99851742031134,5.87374992869028,7.72088294627456e-08,5.32740923292944e-06,3.722278304625e-06,"1298/63923/7143/10000/7414/3265/55742/5058/80310/7450/2012/5908/4659/2321/1282/1284/87/7057/5604/22801/2013/5579/3690/6093/3909/596/2909/9475/2335/1299/1291/1292/5594/5880/5155/859/387/4638/3693/256076/5291/5290/4636/3791/56034/7424/5295/1729/2324/2534/3908/1278/93408/5649/5747/8395/53358/3371",58
"Organismal Systems","Immune system","hsa04611","Platelet activation","41/1349","126/9436",0.325396825396825,2.27608928424347,5.88944946143432,1.39949468681869e-07,8.04709444920745e-06,5.62253128563999e-06,"5590/5567/10000/5592/6786/83706/23365/7450/3709/5908/4659/10125/123745/283748/23533/3690/6093/9138/2909/9475/23236/5332/5594/387/111/4638/5291/5028/5290/2982/5295/2149/2534/107/2770/1278/6916/4846/4067/2776/5742",41
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","41/1349","134/9436",0.305970149253731,2.14020335682595,5.42912389280109,8.92559112003057e-07,3.93584174781954e-05,2.74998553852227e-05,"5320/1907/5567/779/5592/3778/10335/23365/775/3709/552/4659/5583/123745/283748/5604/4629/5579/136/6093/2767/9138/9475/5581/805/23236/5332/5594/135/4627/387/776/111/4638/185/2982/1906/107/800/157855/2776",41
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","62/1349","238/9436",0.260504201680672,1.82217764793093,5.24675333366107,1.00699715573814e-06,3.93584174781954e-05,2.74998553852227e-05,"2782/5320/5567/1435/4803/9462/23179/10000/51196/3265/3481/22800/5058/9846/80310/4908/5908/2321/22821/10125/123745/283748/5604/5579/27040/8844/4763/94235/6237/25780/805/57148/6789/7074/2114/5594/5880/5155/387/5291/5922/5337/5290/3791/2250/2247/56034/7424/5295/5921/1946/2246/2324/8831/4301/9771/5898/2783/284/4915/53358/8823",62
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","61/1349","233/9436",0.261802575107296,1.83125952462005,5.24726610954892,1.02674132551814e-06,3.93584174781954e-05,2.74998553852227e-05,"832/3339/2275/1298/255631/1301/7135/1465/84033/4811/56776/10529/118461/288/7414/1466/81624/1282/1284/22795/23002/23224/161176/7057/825/2200/29766/7168/22801/4629/4621/3690/1837/4703/114793/129446/1290/2335/1299/1291/1292/4627/4634/3693/256076/4636/171024/1462/4001/2201/1729/6444/23500/3908/1278/137868/64236/6383/6641/7111/85301",61
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","31/1349","93/9436",0.333333333333333,2.3316036570299,5.27055663700226,2.60253244989539e-06,8.97873695213908e-05,6.27347295816888e-05,"117178/56288/29119/7414/10580/6934/283106/5795/5908/5787/4008/87/7082/8826/1387/999/64750/5797/6093/9475/1496/6615/5594/5880/387/4636/1495/6885/2534/4301/93408",31
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","35/1349","115/9436",0.304347826086957,2.12885551294034,4.97438310872865,6.3271793524298e-06,0.000190741231024675,0.000133271523736539,"5142/5567/2625/408/4040/3709/5744/8600/2353/5604/11214/5579/342538/596/2767/9138/27347/23236/5332/10893/1591/5594/387/846/111/5337/5144/4208/1026/860/6446/9586/107/2770/2776",35
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","53/1349","204/9436",0.259803921568627,1.81727932092036,4.81970993371778,6.63447760085827e-06,0.000190741231024675,0.000133271523736539,"3339/5567/7482/10000/288/355/51196/60495/3265/3481/22800/960/2017/5058/23365/3709/4193/10818/4659/4060/7057/5604/8826/5579/3690/6093/9138/6237/9475/8324/2066/2335/117581/7074/5594/859/387/3693/5291/5290/3791/10855/817/2247/29102/5295/815/1026/8326/1278/6383/5747/5727",53
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","62/1349","254/9436",0.244094488188976,1.70739480396678,4.6675962804828,1.00401408783758e-05,0.000266449892541513,0.000186169413858143,"5567/4803/777/779/493/57118/51196/6786/5024/80310/6588/775/3709/552/488/53373/2321/624/623/6263/5579/136/2767/2906/6546/805/7852/2066/23236/5332/135/5155/5021/491/3269/776/4638/185/952/3791/2250/817/2247/56034/7424/2149/814/7416/2246/3360/815/1812/2324/5350/5137/107/4846/3361/9630/2776/4915/8823",62
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","21/1349","56/9436",0.375,2.62305411415864,4.97518001989009,1.39188671781851e-05,0.000329995194839978,0.000230568724998795,"5567/55733/8945/51684/57758/408/122011/53944/64750/596/2736/8452/1454/91653/132884/64399/1456/1452/23291/2737/5727",21
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","70/1349","300/9436",0.233333333333333,1.63212255992093,4.54430087141783,1.43476171669556e-05,0.000329995194839978,0.000230568724998795,"5567/1435/4803/777/779/9261/10000/355/3265/3481/22800/408/5058/80310/775/4908/7132/80824/3164/5908/2321/4149/4293/2353/9252/10125/123745/283748/5604/5579/6416/57551/4763/9020/6237/25780/8491/5495/9448/3554/3553/10746/2066/6789/5594/10369/5880/5155/776/5922/3791/2069/374/2250/2247/56034/9693/7424/5921/4208/1946/2246/2324/6885/6196/781/6788/284/4915/8823",70
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","81/1349","362/9436",0.223756906077348,1.56513726148692,4.47808204409484,1.63531610061894e-05,0.000340729759147243,0.000238069000288997,"2782/1298/3716/1435/4803/63923/7143/10000/3559/118788/3265/3481/80310/4908/7450/3164/4193/2321/1282/1284/55012/5529/5527/7057/5604/22801/3566/23533/3690/3909/23239/596/2057/5585/94235/2066/2335/1299/1291/1292/5594/5155/9223/3693/256076/5523/5291/5290/5522/3791/2069/374/2250/2247/56034/7424/2690/5295/2149/1946/2246/2324/1026/3908/6446/3569/9586/9863/1021/1278/2783/5649/4846/23678/7534/284/5747/4915/1902/3371/8823",81
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","41/1349","149/9436",0.275167785234899,1.92474664305153,4.64687917514878,1.67895823347917e-05,0.000340729759147243,0.000238069000288997,"26052/10000/3265/22800/8525/9846/80310/10411/552/123745/283748/5604/23533/9267/8612/6237/11069/8527/23236/5332/5594/5155/387/111/5291/185/5337/5290/3576/56034/5295/2149/2914/2534/1607/5898/107/9162/8395/53358/1902",41
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","34/1349","116/9436",0.293103448275862,2.05020321566422,4.64812274039028,2.08438917800959e-05,0.000399507925785171,0.000279137498107717,"2782/5567/779/10000/1103/3265/775/3709/2353/5604/5579/2775/23533/596/2767/94235/23236/5332/5594/776/111/5291/5290/817/5295/814/815/56479/2534/9586/107/2770/2783/2776",34
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","34/1349","119/9436",0.285714285714286,1.99851742031134,4.47686794939246,3.74221986664822e-05,0.000647317300132793,0.000452282720764026,"1435/5743/10000/355/4314/7132/4792/2353/9252/7187/5604/64127/197259/6416/9020/6868/3553/8837/5594/5291/5290/2919/3600/7424/5295/1437/8737/1906/6885/7128/3569/9586/153090/257397",34
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","56/1349","232/9436",0.241379310344828,1.68840264819406,4.33592164401099,3.75256405874083e-05,0.000647317300132793,0.000452282720764026,"731/55740/10000/7414/3265/22800/5058/80310/23365/4659/221178/81624/8874/87/624/623/23191/5604/22801/8826/4629/3690/6093/9138/2909/6237/9475/7852/10787/2335/7074/5594/4627/5880/5155/387/4638/3693/5291/5290/4636/2250/2247/56034/5295/10788/2149/324/1729/2246/3984/93408/5747/8395/1902/8823",56
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","41/1349","155/9436",0.264516129032258,1.85024032138502,4.35906520217206,4.59658655625899e-05,0.000736611463384322,0.000514672845507276,"5567/5743/779/57118/3265/775/3709/4659/2353/6263/123745/283748/5604/5579/2775/23533/6093/9475/805/23236/5332/5594/10369/5021/387/776/111/4638/952/817/2982/4208/814/815/1026/107/2770/781/4846/51422/2776",41
