"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","151/3150","487/18805",0.31006160164271,1.85101854567974,8.53529114727499,2.89281786331513e-15,1.79325779346905e-11,1.40408243871011e-11,"ARHGEF10L/RAP1GAP/CDC42/DAB1/SSX2IP/BCAR3/VAV3/EPS8L3/NOTCH2/RIT1/ABL2/RGL1/TGFB2/OBSCN/RAB4A/SIPA1L2/NET1/ARHGAP21/ARHGAP12/ITGB1/ARHGAP22/PLCE1/ARL3/DOCK1/RRAS2/ARHGAP1/ARAP1/ARRB1/PICALM/ARHGAP42/ARHGAP20/CBL/ARHGEF12/CDON/EPS8/RAPGEF3/RACGAP1/KITLG/PLEKHG7/IGF1/GIT2/SPATA13/STARD13/RAP2A/DOCK9/ARHGEF7/RHOJ/RAB15/SIPA1L1/CCDC88C/CYFIP1/RASGRP1/USP50/AKAP13/LAT/ADGRG1/RIPOR1/CDH13/ABR/RAP1GAP2/KSR1/NF1/ARHGAP23/ARHGAP28/RAB12/ROCK1/MAPRE2/ARHGEF18/DOCK6/GARRE1/GPR4/ARHGAP35/ROCK2/RHOB/RASGRP3/RTN4/CCDC88A/STAMBP/ARHGAP15/RAPGEF4/CHN1/NCKAP1/CUL3/DOCK10/RIN2/RALGAPB/PREX1/ITSN1/RGL4/GRAP2/ARHGAP8/SRGAP3/IQSEC1/ROBO1/RABL3/KALRN/PIK3CB/PLD1/RASGEF1B/ARHGAP24/FAM13A/FGF2/ARHGAP10/RAPGEF2/FBXO8/PLEKHG4B/TRIO/PLK2/ARHGEF28/F2R/RAPGEF6/SPRY4/ARHGAP26/CSNK1A1/DOCK2/SQSTM1/RIPOR2/WASF1/ARHGAP18/TIAM2/CHN2/RALA/TNS3/RABGEF1/AUTS2/LIMK1/KRIT1/COL1A2/RELN/DOCK4/ARHGEF10/PRAG1/DLC1/PSD3/DOCK5/CYRIB/DENND3/DOCK8/KANK1/SEMA4D/ABCA1/LPAR1/RALGPS1/RALGDS/VAV2/ARHGAP6/STARD8/CHM/DOCK11/RAP2C/MCF2",151
"GO:0007409","axonogenesis","143/3150","459/18805",0.311546840958606,1.85988518864336,8.36623344689004,1.03979821303689e-14,3.22285456130783e-11,2.52342608437531e-11,"ACTL8/ECE1/EPHA8/MACF1/DAB1/LPAR3/NOTCH2/VANGL2/ADCY10/LHX9/LGR6/NFASC/ENAH/ITGB1/PARD3/RET/CXCL12/PRKG1/ANK3/UNC5B/SLIT1/SEMA4G/BRSK2/PTPRJ/CTTN/MAP6/PAK1/PICALM/CNTN5/DRD2/FEZ1/PRICKLE1/NELL2/DIP2B/ZDHHC17/NTN4/ATP8A2/DCLK1/MYCBP2/SLITRK6/SIPA1L1/TTC8/BCL11B/EVL/CYFIP1/MAP1A/SEMA6D/FOXB1/MAP2K1/IGF1R/SIAH1/TRPV2/LLGL1/NPTX1/ACTG1/PTPRM/SMAD4/BCL2/STK11/DNM2/MAP1S/ARHGAP35/FEZ2/RTN4/BCL11A/CTNNA2/GLI2/TBR1/CHN1/BMPR2/RAPH1/NRP2/KLF7/CREB1/FN1/EPHA4/STK25/SNAP25/FLRT3/B4GALT5/ADNP/APP/ADARB1/TRAK1/CCK/CELSR3/DAG1/WNT5A/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/KALRN/PLXND1/RYK/EPHB1/SHOX2/EPHB3/PAK2/APBB2/PHOX2B/BMPR1B/PLEKHG4B/SEMA5A/TRIO/FOXD1/ARHGEF28/EFNA5/FSTL4/CYFIP2/FYN/LAMA2/TIAM2/ACTB/CRPPA/GLI3/COBL/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PTPRZ1/SHH/NEFL/KIF13B/MATN2/EXT1/PTK2/NFIB/NTRK2/SEMA4D/LHX2/HMCN2/ANOS1/NDP/SLC9A6/MCF2",143
"GO:0051056","regulation of small GTPase mediated signal transduction","101/3150","303/18805",0.333333333333333,1.98994708994709,7.79251813123368,9.91097982314296e-13,2.04793879745544e-09,1.60349220928113e-09,"ARHGEF10L/RAP1GAP/SSX2IP/VAV3/EPS8L3/NOTCH2/ABL2/TGFB2/OBSCN/SIPA1L2/NET1/ARHGAP21/ARHGAP12/ITGB1/ARHGAP22/ARHGAP1/ARAP1/ARRB1/PICALM/ARHGAP42/ARHGAP20/CBL/ARHGEF12/CDON/EPS8/RACGAP1/KITLG/IGF1/GIT2/SPATA13/STARD13/DOCK9/SIPA1L1/RASGRP1/AKAP13/ADGRG1/RIPOR1/ABR/RAP1GAP2/NF1/ARHGAP23/ARHGAP28/MAPRE2/ARHGEF18/DOCK6/GPR4/ARHGAP35/RTN4/STAMBP/ARHGAP15/CHN1/CUL3/DOCK10/RALGAPB/PREX1/ITSN1/ARHGAP8/SRGAP3/IQSEC1/ROBO1/RABL3/KALRN/PIK3CB/ARHGAP24/FAM13A/ARHGAP10/FBXO8/PLEKHG4B/TRIO/ARHGEF28/F2R/SPRY4/ARHGAP26/CSNK1A1/DOCK2/SQSTM1/RIPOR2/ARHGAP18/TIAM2/CHN2/TNS3/RABGEF1/AUTS2/RELN/ARHGEF10/PRAG1/DLC1/PSD3/CYRIB/DENND3/DOCK8/KANK1/SEMA4D/ABCA1/LPAR1/RALGPS1/VAV2/ARHGAP6/STARD8/DOCK11/MCF2",101
"GO:0030198","extracellular matrix organization","107/3150","339/18805",0.315634218289086,1.88428618251627,7.36987521639355,9.96014058226692e-12,1.50971251322395e-08,1.18207255813342e-08,"TIE1/CCN1/COL24A1/TGFBR3/COL11A1/OLFML2B/DDR2/COLGALT2/TGFB2/NID1/ITGB1/COL13A1/TLL2/LOXL4/HPSE2/GAS2/WT1/HSD17B12/P4HA3/SERPINH1/MMP1/MMP3/MPZL3/PHLDB1/ADAMTS8/ADAMTS15/PRICKLE1/NTN4/POSTN/CPB2/COL4A2/NID2/SMOC1/GREM1/MYO1E/ANXA2/THSD4/FURIN/ADAMTS17/MYH11/GFOD2/ADAMTS18/CRISPLD2/NF1/ITGB3/COL1A1/AXIN2/SOX9/SMAD4/ADAMTS10/SPINT2/BCL3/PXDN/ANTXR1/CLASP1/DPP4/COL5A2/CFLAR/COL4A4/TCF15/MMP24/MATN4/SLC2A10/APP/ADAMTS5/RUNX1/COL6A1/LARGE1/DAG1/ADAMTS9/ABI3BP/IMPG2/PHLDB2/CCDC80/COL6A5/PLOD2/APBB2/PDGFRA/SLC39A8/NPNT/PRDM5/RXFP1/ADAMTS12/ADAMTS6/LOX/SH3PXD2B/ADAMTS2/ADTRP/COL9A1/COL12A1/LAMA2/IL6/COL1A2/ST7/PRSS1/CSGALNACT1/LOXL2/SULF1/MATN2/EXT1/COL14A1/ADAMTSL1/RECK/ECM2/COL15A1/COL27A1/GPM6B",107
"GO:0043062","extracellular structure organization","107/3150","340/18805",0.314705882352941,1.8787441643324,7.33467911482001,1.21770649558312e-11,1.50971251322395e-08,1.18207255813342e-08,"TIE1/CCN1/COL24A1/TGFBR3/COL11A1/OLFML2B/DDR2/COLGALT2/TGFB2/NID1/ITGB1/COL13A1/TLL2/LOXL4/HPSE2/GAS2/WT1/HSD17B12/P4HA3/SERPINH1/MMP1/MMP3/MPZL3/PHLDB1/ADAMTS8/ADAMTS15/PRICKLE1/NTN4/POSTN/CPB2/COL4A2/NID2/SMOC1/GREM1/MYO1E/ANXA2/THSD4/FURIN/ADAMTS17/MYH11/GFOD2/ADAMTS18/CRISPLD2/NF1/ITGB3/COL1A1/AXIN2/SOX9/SMAD4/ADAMTS10/SPINT2/BCL3/PXDN/ANTXR1/CLASP1/DPP4/COL5A2/CFLAR/COL4A4/TCF15/MMP24/MATN4/SLC2A10/APP/ADAMTS5/RUNX1/COL6A1/LARGE1/DAG1/ADAMTS9/ABI3BP/IMPG2/PHLDB2/CCDC80/COL6A5/PLOD2/APBB2/PDGFRA/SLC39A8/NPNT/PRDM5/RXFP1/ADAMTS12/ADAMTS6/LOX/SH3PXD2B/ADAMTS2/ADTRP/COL9A1/COL12A1/LAMA2/IL6/COL1A2/ST7/PRSS1/CSGALNACT1/LOXL2/SULF1/MATN2/EXT1/COL14A1/ADAMTSL1/RECK/ECM2/COL15A1/COL27A1/GPM6B",107
"GO:0045229","external encapsulating structure organization","107/3150","341/18805",0.313782991202346,1.87323465065401,7.2996009069243,1.48673935317916e-11,1.53604954172627e-08,1.2026938872823e-08,"TIE1/CCN1/COL24A1/TGFBR3/COL11A1/OLFML2B/DDR2/COLGALT2/TGFB2/NID1/ITGB1/COL13A1/TLL2/LOXL4/HPSE2/GAS2/WT1/HSD17B12/P4HA3/SERPINH1/MMP1/MMP3/MPZL3/PHLDB1/ADAMTS8/ADAMTS15/PRICKLE1/NTN4/POSTN/CPB2/COL4A2/NID2/SMOC1/GREM1/MYO1E/ANXA2/THSD4/FURIN/ADAMTS17/MYH11/GFOD2/ADAMTS18/CRISPLD2/NF1/ITGB3/COL1A1/AXIN2/SOX9/SMAD4/ADAMTS10/SPINT2/BCL3/PXDN/ANTXR1/CLASP1/DPP4/COL5A2/CFLAR/COL4A4/TCF15/MMP24/MATN4/SLC2A10/APP/ADAMTS5/RUNX1/COL6A1/LARGE1/DAG1/ADAMTS9/ABI3BP/IMPG2/PHLDB2/CCDC80/COL6A5/PLOD2/APBB2/PDGFRA/SLC39A8/NPNT/PRDM5/RXFP1/ADAMTS12/ADAMTS6/LOX/SH3PXD2B/ADAMTS2/ADTRP/COL9A1/COL12A1/LAMA2/IL6/COL1A2/ST7/PRSS1/CSGALNACT1/LOXL2/SULF1/MATN2/EXT1/COL14A1/ADAMTSL1/RECK/ECM2/COL15A1/COL27A1/GPM6B",107
"GO:0031032","actomyosin structure organization","76/3150","215/18805",0.353488372093023,2.11026947212994,7.34449257151144,2.67668525526441e-11,2.37039598534059e-08,1.85596928000364e-08,"ARHGEF10L/CDC42/WNT4/LUZP1/SLC9A1/CNN3/CDC42BPA/OBSCN/NEBL/ITGB1/LDB3/PDLIM1/SORBS1/ARAP1/ARRB1/PAK1/RAPGEF3/RACGAP1/CSRP2/PRKD1/TGFB3/TTC8/EVL/CDC42BPB/TJP1/FRMD5/TMOD3/TPM1/CORO2B/AKAP13/IQGAP1/MYH11/MYH10/MYO18A/PPM1E/ACTG1/EPB41L3/ARHGAP28/ROCK1/FHOD3/SMAD4/ARHGEF18/DNM2/CNN1/PIK3R2/ROCK2/CCDC88A/CLASP1/ZEB2/NEB/TMEFF2/CFLAR/CUL3/PDCD6IP/CD47/PHLDB2/ITGB5/PAK2/WDR1/LIMCH1/PDGFRA/IQGAP2/PDGFRB/EPB41L2/LIMK1/FLNC/ARHGEF10/DLC1/PTK2B/PLEC/FRMD3/TMOD1/EPB41L4B/LPAR1/TSC1/ARHGAP6",76
"GO:0043410","positive regulation of MAPK cascade","134/3150","464/18805",0.288793103448276,1.72404898741106,7.0838490387575,3.15902465686652e-11,2.44784923098944e-08,1.91661351221204e-08,"TP73/CDC42/WNT4/EPHA8/GADD45A/LPAR3/BCAR3/NOTCH2/S100A7/IL6R/DDR2/INAVA/ADORA1/DSTYK/TGFB2/JCAD/RET/NODAL/IGF2/DENND2B/CD44/PTPRJ/OR2AT4/ARRB1/PAK1/DRD2/CDON/CRACR2A/IGF1/TRPV4/P2RX7/FGF9/TNFRSF19/FLT3/FLT1/HMGB1/TNFSF11/BMP4/TGFB3/CCDC88C/RASGRP1/THBS1/MAP2K1/PDE8A/NTRK3/IQGAP1/IGF1R/LAT/MAPK3/NKD1/NOD2/NDRG4/SCIMP/PIK3R6/PIK3R5/MAP2K4/KSR1/CCL3/ITGB3/ROCK1/GAREM1/TNFRSF11A/ROCK2/XDH/PRKCE/TGFA/IL1B/MARCO/STK39/CFLAR/ERBB4/STK25/RASSF2/PLCB1/APP/TBX1/LIF/OSM/ARHGAP8/NEK10/WNT5A/ROBO1/CASR/RYK/P2RY1/RELL1/PDGFRA/KDR/FGF5/BANK1/NPNT/EGF/FGF2/RAPGEF2/SH3RF1/ITGA1/F2R/PDE8B/ADRB2/PDGFRB/NDST1/HAVCR2/WWC1/FLT4/RIPK1/GRM4/TPBG/ANKRD6/MAP3K7/TPD52L1/MAP3K5/SASH1/AKAP12/IL6/GSDME/BMPER/INHBA/EGFR/CD36/HGF/SEMA3A/GPR37/MFHAS1/PTK2B/NRG1/FGFR1/RB1CC1/RIPK2/GDF6/STK3/NTRK2/LPAR1/FGF16/XIAP",134
"GO:0010975","regulation of neuron projection development","129/3150","448/18805",0.287946428571429,1.71899447278912,6.90903777221285,9.14578056454881e-11,6.29941041329312e-08,4.93230341323211e-08,"KDM1A/MACF1/DAB1/LRRC7/NEGR1/LPAR3/DDR2/ADCY10/DNM3/ABL2/RET/CXCL12/ZNF365/SLIT1/BRSK2/DENND5A/MAP6/PAK1/FAT3/FEZ1/DIP2B/ATF1/TRPV4/CUX2/FBXW8/ATP8A2/MYCBP2/RAP2A/PRKD1/SIPA1L1/AKT1/CYFIP1/SEMA6D/MAP2K1/PTPN9/CHRNA3/NTRK3/IGF1R/NDRG4/PMP22/TRPV2/SEZ6/SRCIN1/GRN/TANC2/NEDD4L/STK11/ARHGAP35/PUM2/ALK/RTN4/CCDC88A/BCL11A/CTNNA2/TBR1/ITGA6/CHN1/NFE2L2/HECW2/CFLAR/BMPR2/FN1/EPHA4/KIF1A/STK25/SNAP25/PREX1/ADNP/KREMEN1/SHANK3/TRAK1/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/PLXND1/RYK/SHOX2/NLGN1/EPHB3/DGKG/PAK2/CRMP1/GRID2/PPP3CA/RAPGEF2/TENM3/SEMA5A/DAB2/ENC1/NR2F1/EFNA5/FSTL4/SPOCK1/DPYSL3/BMP5/ADGRB3/CNR1/RTN4IP1/FYN/SYNE1/TIAM2/HECW1/COBL/LIMK1/MAGI2/SEMA3A/FZD1/CUX1/RELN/NRCAM/PRAG1/NEFL/PTK2B/KIF13B/FGFR1/STAU2/CSMD3/ARC/KANK1/PTPRD/NTRK2/SEMA4D/LPAR1/NCS1/SETX/DMD/MCF2",129
"GO:0097485","neuron projection guidance","80/3150","239/18805",0.334728033472803,1.99827322839875,6.96695593978358,1.77739302775499e-10,1.10180593790532e-07,8.62690447471394e-08,"ECE1/EPHA8/NOTCH2/VANGL2/LHX9/LGR6/NFASC/ENAH/RET/CXCL12/UNC5B/SLIT1/SEMA4G/PTPRJ/CNTN5/FEZ1/NELL2/NTN4/MYCBP2/TTC8/BCL11B/EVL/CYFIP1/SEMA6D/SIAH1/PTPRM/SMAD4/ARHGAP35/FEZ2/GLI2/TBR1/CHN1/BMPR2/NRP2/KLF7/EPHA4/FLRT3/APP/CELSR3/DAG1/WNT5A/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/KALRN/PLXNA1/RYK/EPHB1/EPHB3/APBB2/BMPR1B/PLEKHG4B/SEMA5A/TRIO/FOXD1/EFNA5/CYFIP2/FYN/LAMA2/CRPPA/GLI3/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/SHH/MATN2/EXT1/PTK2/NFIB/SEMA4D/LHX2/HMCN2/ANOS1/NDP",80
