"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","142/2048","448/11214",0.316964285714286,1.73556518554688,7.51050164950789,1.78909502238822e-12,2.92695945662713e-09,2.52733212636315e-09,"ARHGEF16/ARHGEF10L/CAPZB/CDC42/SRRM1/NUDC/PKN2/FNBP1L/VAV3/VANGL2/RASAL2/ABL2/NCF2/CDC42BPA/OBSCN/MTR/NET1/ARHGAP21/ABI1/ANKRD26/MPP7/ARHGAP12/ITGB1/ARHGAP22/RHOBTB1/DOCK1/RRAS2/ARHGAP1/ARAP1/PAK1/PICALM/ARHGAP42/ARHGAP20/ARHGEF12/AMIGO2/SENP1/TUBA1B/RACGAP1/SRGAP1/CKAP4/GIT2/SPATA13/WASF3/STARD13/EPSTI1/DIAPH3/DOCK9/ARHGEF7/DAAM1/RHOJ/ACTN1/CDC42BPB/CYFIP1/TMOD3/UACA/PEAK1/AKAP13/IQGAP1/ABR/ANKFY1/ARHGAP23/GRB7/FMNL1/MSI2/ACTG1/ROCK1/ARHGEF18/DOCK6/PKN1/PIK3R2/GARRE1/SHKBP1/ARHGAP35/ROCK2/RHOB/ITSN2/CCDC88A/VRK2/ARHGAP15/FMNL2/PKP4/CHN1/NCKAP1/CUL3/DOCK10/ELMO2/PREX1/ITSN1/ARFGAP3/ARHGAP8/SRGAP3/KALRN/PLXNA1/PLXND1/ARHGEF26/PLD1/PIK3CA/PAK2/PCDH7/ARHGAP24/FAM13A/ARHGAP10/SH3RF1/TRIO/ERBIN/ARHGEF28/IQGAP2/ARAP3/ARHGAP26/CYFIP2/DOCK2/FAF2/GFOD1/LRRC1/DST/FILIP1/MYO6/WASF1/ARHGAP18/AKAP12/TIAM2/ACTB/CHN2/NIPSNAP2/BAIAP2L1/DOCK4/ARHGEF10/PRAG1/DLC1/DOCK5/PTK2B/DOCK8/ARHGEF39/TJP2/FNBP1/VAV2/ARHGAP6/MOSPD2/STARD8/DOCK11/MCF2/MTMR1",142
"R-HSA-9013149","RAC1 GTPase cycle","72/2048","185/11214",0.389189189189189,2.13103885135135,7.33214896616552,2.5460752352596e-11,2.08268954244235e-08,1.79833313985178e-08,"CDC42/PKN2/VAV3/ABL2/NCF2/CDC42BPA/ARHGAP21/ABI1/MPP7/ARHGAP12/ITGB1/ARHGAP22/DOCK1/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/AMIGO2/RACGAP1/SRGAP1/GIT2/SPATA13/WASF3/DIAPH3/DOCK9/ARHGEF7/CYFIP1/IQGAP1/ABR/ARHGAP23/FMNL1/ARHGEF18/DOCK6/PKN1/PIK3R2/GARRE1/ARHGAP35/VRK2/ARHGAP15/CHN1/NCKAP1/DOCK10/PREX1/SRGAP3/KALRN/PLD1/PIK3CA/PAK2/ARHGAP24/FAM13A/ARHGAP10/TRIO/ERBIN/IQGAP2/ARAP3/ARHGAP26/CYFIP2/DOCK2/WASF1/TIAM2/CHN2/BAIAP2L1/DOCK4/ARHGEF10/DLC1/DOCK5/DOCK8/ARHGEF39/VAV2/DOCK11/MCF2",72
"R-HSA-1474244","Extracellular matrix organization","105/2048","321/11214",0.327102803738318,1.79107951226635,6.7972753375343,2.06882352913821e-10,1.12819843122337e-07,9.7416181617666e-08,"AGRN/MFAP2/SDC3/COL24A1/COL11A1/DDR2/COLGALT2/TGFB2/NID1/ITGB1/COL13A1/TLL2/LOXL4/ADAM12/CD44/P4HA3/SERPINH1/MMP1/MMP3/ADAMTS8/JAM3/VWF/SSPN/DCN/NTN4/COL4A2/NID2/BMP4/ACTN1/TGFB3/THBS1/FBN1/ITGA11/FURIN/ITGAM/ITGAX/SNTB2/ADAMTS18/ITGB3/COL1A1/ITGB4/ACTG1/P4HB/DTNA/PXDN/SDC1/DTNB/CAPN13/LTBP1/ACTG2/ITGA6/COL5A2/FN1/COL4A4/MMP24/MATN4/JAM2/APP/ADAMTS5/COL6A1/COL6A2/FBLN2/DAG1/ADAMTS9/CD47/ITGB5/COL6A5/PLOD2/P3H2/KDR/COL25A1/FGF2/ITGA1/CAST/LOX/FBN2/P4HA2/SGCD/ADAM19/ADAMTS2/SCUBE3/CAPN11/COL21A1/DST/COL9A1/COL12A1/LAMA2/UTRN/ACTB/COL1A2/PCOLCE/COL26A1/PRSS1/SGCZ/LOXL2/COL14A1/SNTB1/PLEC/ASPN/COL15A1/MUSK/COL27A1/TNC/DMD/CASK",105
"R-HSA-3000171","Non-integrin membrane-ECM interactions","36/2048","80/11214",0.45,2.464013671875,6.21155704839962,3.12979057783092e-08,1.28008434633285e-05,1.10531025143397e-05,"AGRN/SDC3/COL11A1/DDR2/ITGB1/SSPN/NTN4/COL4A2/ACTN1/THBS1/SNTB2/ITGB3/COL1A1/ITGB4/ACTG1/DTNA/SDC1/DTNB/ACTG2/ITGA6/COL5A2/FN1/COL4A4/DAG1/ITGB5/FGF2/SGCD/LAMA2/UTRN/ACTB/COL1A2/SGCZ/SNTB1/TNC/DMD/CASK",36
"R-HSA-1474290","Collagen formation","38/2048","90/11214",0.422222222222222,2.3119140625,5.90652590059491,1.05409455054755e-07,3.27546814666561e-05,2.82825778717363e-05,"COL24A1/COL11A1/COLGALT2/COL13A1/TLL2/LOXL4/P4HA3/SERPINH1/MMP3/COL4A2/COL1A1/ITGB4/P4HB/PXDN/ITGA6/COL5A2/COL4A4/COL6A1/COL6A2/COL6A5/PLOD2/P3H2/COL25A1/LOX/P4HA2/ADAMTS2/COL21A1/DST/COL9A1/COL12A1/COL1A2/PCOLCE/COL26A1/LOXL2/COL14A1/PLEC/COL15A1/COL27A1",38
"R-HSA-194138","Signaling by VEGF","43/2048","108/11214",0.398148148148148,2.18009440104167,5.82486351687218,1.20127193642993e-07,3.27546814666561e-05,2.82825778717363e-05,"CDC42/PRKACB/VAV3/SH2D2A/NCF2/MAPKAPK2/ABI1/DOCK1/PAK1/ITPR2/WASF3/FLT1/AKT1/CYFIP1/PRKCB/BCAR1/ITGB3/ACTG1/ROCK1/PIK3R2/ROCK2/CALM2/NCKAP1/NRP2/ELMO2/PRR5/ITPR1/PRKCD/PIK3CB/PIK3CA/PAK2/KDR/RASA1/CTNNA1/CYFIP2/FLT4/MAPK13/WASF1/FYN/ACTB/PTK2B/PTK2/VAV2",43
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","40/2048","99/11214",0.404040404040404,2.21235795454545,5.72703306956016,2.06407817756897e-07,4.82404556928976e-05,4.16540287864294e-05,"CDC42/PRKACB/VAV3/SH2D2A/NCF2/MAPKAPK2/ABI1/DOCK1/PAK1/ITPR2/WASF3/AKT1/CYFIP1/PRKCB/BCAR1/ITGB3/ACTG1/ROCK1/PIK3R2/ROCK2/CALM2/NCKAP1/ELMO2/PRR5/ITPR1/PRKCD/PIK3CB/PIK3CA/PAK2/KDR/RASA1/CTNNA1/CYFIP2/MAPK13/WASF1/FYN/ACTB/PTK2B/PTK2/VAV2",40
"R-HSA-9013148","CDC42 GTPase cycle","54/2048","154/11214",0.350649350649351,1.92001065340909,5.43389965247932,4.53767699663119e-07,9.27954945811078e-05,8.01258227563033e-05,"ARHGEF16/CDC42/FNBP1L/VAV3/CDC42BPA/ARHGAP21/ARHGAP22/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/ARHGEF12/RACGAP1/SRGAP1/GIT2/SPATA13/STARD13/DIAPH3/DOCK9/ARHGEF7/DAAM1/CDC42BPB/IQGAP1/ABR/FMNL1/DOCK6/PIK3R2/SHKBP1/ARHGAP35/FMNL2/CHN1/DOCK10/PREX1/ITSN1/ARFGAP3/SRGAP3/ARHGEF26/PLD1/PAK2/ARHGAP24/ARHGAP10/TRIO/IQGAP2/ARAP3/ARHGAP26/ARHGEF10/DLC1/DOCK8/FNBP1/VAV2/STARD8/DOCK11/MCF2",54
"R-HSA-8980692","RHOA GTPase cycle","51/2048","147/11214",0.346938775510204,1.89969308035714,5.19008001593875,1.35397488296582e-06,0.000246122545392453,0.000212518630753231,"ARHGEF10L/PKN2/VAV3/OBSCN/NET1/ARHGAP21/ARHGAP22/ARHGAP1/ARAP1/ARHGAP42/ARHGAP20/ARHGEF12/RACGAP1/SRGAP1/STARD13/DIAPH3/ARHGEF7/DAAM1/AKAP13/IQGAP1/ABR/ARHGAP23/ROCK1/ARHGEF18/PKN1/PIK3R2/ARHGAP35/ROCK2/PREX1/ARHGAP8/KALRN/PLD1/PCDH7/ARHGAP24/FAM13A/ARHGAP10/TRIO/ERBIN/ARHGEF28/ARAP3/ARHGAP26/DOCK2/FAF2/ARHGAP18/ARHGEF10/DLC1/TJP2/VAV2/ARHGAP6/STARD8/MCF2",51
"R-HSA-195721","Signaling by WNT","92/2048","318/11214",0.289308176100629,1.58413178066038,4.99490012635707,1.64065599876452e-06,0.000268411321397875,0.00023176424740442,"CTNNBIP1/WNT4/HDAC1/AGO4/ROR1/WLS/BCL9/H2AC18/VANGL2/CDC73/LGR6/SOX13/RBBP5/PPP2R5A/PRKG1/BTRC/ZRANB1/CTBP2/AP2A2/SOX6/WNT5B/LRP6/ITPR2/PRICKLE1/PSMA6/GNG2/DACT1/DAAM1/CCDC88C/PPP2R5C/AKT1/GNB5/CREBBP/PRKCB/TNRC6A/GNAO1/UBB/AP2B1/SMURF2/AXIN2/PSMD12/SOX9/TNRC6C/SMARCA4/PSMD8/CALM2/TCF7L1/CUL3/RSPO4/PLCB1/ZNRF3/KREMEN1/CSNK1E/TPTEP2-CSNK1E/TNRC6B/ITPR1/WNT5A/RUVBL1/RYK/GNB4/PPP3CA/DKK2/APC/CSNK1A1/PDE6A/CAMK2A/H4C2/H2AC4/H2BC3/H2BC6/H3C4/H2AC7/H4C5/H2AC8/H3C6/H4C6/H3C7/H2BC9/H3C8/H2BC10/H2AC14/MAP3K7/HECW1/FZD1/CUL1/SOX7/SOX17/RSPO2/TLE4/TLE1/ROR2/XIAP",92
