"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","278/4840","448/11214",0.620535714285714,1.43774535123967,8.23969097926779,1.82156273027395e-16,3.03108038317585e-13,2.57127960136565e-13,"PLEKHG5/EPHA2/ARHGEF10L/CAPZB/CDC42/SRRM1/MACO1/NUDC/TMEM59/SYDE2/PKN2/FNBP1L/ABCD3/VAV3/TPM3/MTX1/IQGAP3/ARHGEF11/VANGL2/RASAL2/ABL2/TOR1AIP1/NCF2/SRGAP2/KCTD3/LBR/CDC42BPA/OBSCN/RHOU/MTR/NET1/VIM/STAM/ARHGAP21/ABI1/ANKRD26/MPP7/ARHGAP12/ITGB1/ARHGAP22/RHOBTB1/DLG5/SH3PXD2A/ADD3/DOCK1/RHOG/SWAP70/RRAS2/ARHGAP1/CPSF7/STIP1/CDC42EP2/MAP3K11/RHOD/ARAP1/ARHGEF17/PAK1/PICALM/ARHGAP42/ARHGAP20/MCAM/ARHGEF12/ARHGAP32/ARHGDIB/FGD4/TWF1/AMIGO2/SENP1/TUBA1B/FMNL3/RACGAP1/SHMT2/SRGAP1/FRS2/BLTP3B/CKAP4/GIT2/CIT/RHOF/SPATA13/WASF3/STARD13/EPSTI1/DIAPH3/FARP1/DOCK9/ARHGEF7/MCF2L/ARHGAP5/SOS2/KTN1/DAAM1/RHOJ/ACTN1/HSP90AA1/CDC42BPB/CKB/CYFIP1/PAK6/SNAP23/TMOD3/UACA/MYO9A/CSK/PEAK1/AKAP13/IQGAP1/HMOX2/RBBP6/ARHGAP17/KCTD13/WWP2/ABR/WDR81/ANKFY1/C1QBP/ARHGAP44/GIT1/CPD/ARHGAP23/GRB7/WIPF2/JUP/FMNL1/MSI2/CLTC/TEX2/GNA13/DSG2/TRIP10/VAV1/ARHGEF18/CDC37/DOCK6/PKN1/GARRE1/ARHGAP33/PLEKHG2/SHKBP1/ARHGEF1/SLC1A5/ARHGAP35/KIDINS220/ROCK2/RHOB/ITSN2/CDC42EP3/SOS1/SPTBN1/CCDC88A/VRK2/ARHGAP25/CCT7/RTKN/SEMA4F/ZAP70/NCK2/SOWAHC/VMA22/ARHGEF4/ARHGAP15/RND3/FMNL2/PKP4/WIPF1/CHN1/ABI2/CUL3/DOCK10/NGEF/FARP2/SRC/ELMO2/PREX1/VAPB/TIAM1/ITSN1/BCR/NCF4/RAC2/CDC42EP1/ARFGAP3/SAMM50/ARHGAP8/SRGAP3/FGD5/SLC4A7/RHOA/NISCH/ARHGEF3/KALRN/OSBPL11/PLXNA1/RAB7A/PLXND1/ARHGEF26/PLD1/ECT2/PIK3CA/TRA2B/TFRC/PAK2/PCDH7/ARAP2/RHOH/COPS4/ARHGAP24/FAM13A/PDE5A/PGRMC2/ARHGAP10/SH3RF1/TRIO/BASP1/DEPDC1B/ERBIN/PIK3R1/ARHGEF28/IQGAP2/RASGRF2/CDC42SE2/FAM13B/DIAPH1/ARAP3/ARHGAP26/CYFIP2/DOCK2/STK10/FAF2/DBN1/DSP/GFOD1/FGD2/FRS3/LRRC1/FAM83B/DST/PHIP/GOPC/GJA1/ARHGAP18/PLEKHG1/AKAP12/TIAM2/NOX3/ACTB/RAC1/CHN2/WIPF3/ANLN/NIPSNAP2/BAIAP2L1/DOCK4/CAV1/CFTR/WDR91/ARHGEF10/PRAG1/DLC1/DOCK5/PTK2B/DOCK8/VCP/TJP2/FGD3/FNBP1/RAPGEF1/VAV2/ARHGAP6/MOSPD2/NHS/USP9X/WAS/STARD8/DOCK11/OCRL/ARHGEF6/MCF2",278
"R-HSA-1474244","Extracellular matrix organization","205/4840","321/11214",0.638629283489097,1.4796671043485,7.59794704260325,3.00803375701584e-14,2.50268408583718e-11,2.12303856218855e-11,"AGRN/PLOD1/MFAP2/HSPG2/COL16A1/COL8A2/COL9A2/COL24A1/VCAM1/COL11A1/F11R/DDR2/TNN/TNR/LAMC1/LAMC2/COLGALT2/LAMB3/TGFB2/CAPN8/CAPN2/NID1/ITGA8/ITGB1/COL13A1/ADAMTS14/P4HA1/TLL2/LOXL4/SH3PXD2A/COL17A1/HTRA1/ADAM12/CD151/CD44/LTBP3/P4HA3/MMP7/MMP20/MMP8/MMP1/MMP3/MMP12/MMP13/NCAM1/ADAMTS8/JAM3/VWF/MFAP5/SSPN/ITGA7/LUM/DCN/NTN4/COL4A1/COL4A2/NID2/BMP4/ACTN1/PSEN1/LTBP2/TGFB3/FBLN5/THBS1/CAPN3/FBN1/ITGA11/ACAN/FURIN/ITGAM/ITGAX/ITGAD/CAPNS2/CDH1/SNTB2/ADAMTS18/ITGAE/MFAP4/ITGA2B/ITGB3/ITGA3/COL1A1/ICAM2/PECAM1/PRKCA/ITGB4/P4HB/EMILIN2/LAMA1/LAMA3/DTNA/PTPRS/ICAM1/ICAM4/ICAM5/COLGALT1/LTBP4/TGFB1/CEACAM6/CEACAM8/SNTG2/PXDN/MATN3/SDC1/DTNB/CAPN13/LTBP1/NRXN1/EFEMP1/ACTG2/ITGB6/ITGA6/COL3A1/COL5A2/FN1/COL4A4/COL6A3/SNTA1/MMP24/GDF5/MATN4/SDC4/MMP9/BMP7/LAMA5/COL9A3/COL20A1/APP/ADAMTS1/COL18A1/COL6A1/COL6A2/TMPRSS6/PDGFB/SCUBE1/FBLN1/FBLN2/CRTAP/ITGA9/ADAMTS9/CD47/ITGB5/COL6A5/COL6A6/PLOD2/P3H2/KDR/ADAMTS3/COL25A1/FGF2/ITGA1/ITGA2/VCAN/HAPLN1/CAST/LOX/FBN2/P4HA2/SPARC/SGCD/ADAM19/PHYKPL/COL23A1/ADAMTS2/TNXB/COL11A2/SCUBE3/CAPN11/COL21A1/DST/COL19A1/COL9A1/COL12A1/LAMA4/LAMA2/UTRN/ACTB/COL28A1/COL1A2/SGCE/PCOLCE/SERPINE1/LAMB1/PRSS1/CTSB/SGCZ/BMP1/LOXL2/ADAM9/SDC2/COL14A1/SNTB1/COL22A1/PLEC/CTSL/ASPN/COL15A1/MUSK/COL27A1/TNC/LAMC3/COL5A1/DMD/CASK/TIMP1",205
"R-HSA-1474290","Collagen formation","70/4840","90/11214",0.777777777777778,1.80206611570248,6.65699907124907,1.91630200503905e-11,1.06290884546166e-08,9.01670522371004e-09,"PLOD1/COL16A1/COL8A2/COL9A2/COL24A1/COL11A1/LAMC2/COLGALT2/LAMB3/COL13A1/ADAMTS14/P4HA1/TLL2/LOXL4/COL17A1/CD151/P4HA3/MMP7/MMP20/MMP3/MMP13/COL4A1/COL4A2/COL1A1/ITGB4/P4HB/LAMA3/COLGALT1/PXDN/ITGA6/COL3A1/COL5A2/COL4A4/COL6A3/MMP9/COL9A3/COL20A1/COL18A1/COL6A1/COL6A2/CRTAP/COL6A5/COL6A6/PLOD2/P3H2/ADAMTS3/COL25A1/LOX/P4HA2/COL23A1/ADAMTS2/COL11A2/COL21A1/DST/COL19A1/COL9A1/COL12A1/COL28A1/COL1A2/PCOLCE/CTSB/BMP1/LOXL2/COL14A1/COL22A1/PLEC/CTSL/COL15A1/COL27A1/COL5A1",70
"R-HSA-9013149","RAC1 GTPase cycle","124/4840","185/11214",0.67027027027027,1.55297744025017,6.60849813817368,3.60690570705236e-11,1.50047277413378e-08,1.27285804030453e-08,"EPHA2/CDC42/SYDE2/PKN2/VAV3/IQGAP3/ARHGEF11/ABL2/NCF2/SRGAP2/LBR/CDC42BPA/ARHGAP21/ABI1/MPP7/ARHGAP12/ITGB1/ARHGAP22/DOCK1/SWAP70/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/MCAM/ARHGAP32/ARHGDIB/AMIGO2/RACGAP1/SRGAP1/GIT2/CIT/SPATA13/WASF3/DIAPH3/FARP1/DOCK9/ARHGEF7/MCF2L/ARHGAP5/SOS2/KTN1/CYFIP1/PAK6/SNAP23/IQGAP1/ARHGAP17/ABR/ARHGAP44/GIT1/ARHGAP23/WIPF2/FMNL1/GNA13/VAV1/ARHGEF18/DOCK6/PKN1/GARRE1/ARHGAP33/PLEKHG2/SLC1A5/ARHGAP35/SOS1/VRK2/ARHGAP25/ARHGEF4/ARHGAP15/WIPF1/CHN1/ABI2/DOCK10/NGEF/FARP2/PREX1/TIAM1/BCR/NCF4/CDC42EP1/SRGAP3/FGD5/NISCH/KALRN/RAB7A/PLD1/ECT2/PIK3CA/TFRC/PAK2/ARAP2/ARHGAP24/FAM13A/ARHGAP10/TRIO/DEPDC1B/ERBIN/PIK3R1/IQGAP2/RASGRF2/FAM13B/ARAP3/ARHGAP26/CYFIP2/DOCK2/PLEKHG1/TIAM2/NOX3/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/CAV1/ARHGEF10/DLC1/DOCK5/DOCK8/VAV2/NHS/WAS/DOCK11/ARHGEF6/MCF2",124
"R-HSA-9013148","CDC42 GTPase cycle","103/4840","154/11214",0.668831168831169,1.54964312546957,5.98468311529798,1.97608765300989e-09,6.5764197092169e-07,5.57880745828686e-07,"CDC42/FNBP1L/VAV3/IQGAP3/ARHGEF11/SRGAP2/KCTD3/LBR/CDC42BPA/ARHGAP21/ARHGAP22/SH3PXD2A/ARHGAP1/CDC42EP2/MAP3K11/ARAP1/PAK1/ARHGAP42/ARHGAP20/ARHGEF12/ARHGAP32/ARHGDIB/FGD4/FMNL3/RACGAP1/SRGAP1/GIT2/SPATA13/STARD13/DIAPH3/FARP1/DOCK9/ARHGEF7/MCF2L/ARHGAP5/KTN1/DAAM1/CDC42BPB/PAK6/SNAP23/IQGAP1/ARHGAP17/ABR/WDR81/ARHGAP44/GIT1/WIPF2/JUP/FMNL1/GNA13/DOCK6/ARHGAP33/PLEKHG2/SHKBP1/ARHGAP35/CDC42EP3/ARHGEF4/FMNL2/WIPF1/CHN1/DOCK10/NGEF/PREX1/TIAM1/ITSN1/BCR/CDC42EP1/ARFGAP3/SRGAP3/RAB7A/ARHGEF26/PLD1/ECT2/TFRC/PAK2/ARAP2/ARHGAP24/ARHGAP10/TRIO/DEPDC1B/PIK3R1/IQGAP2/RASGRF2/CDC42SE2/FAM13B/ARAP3/ARHGAP26/FGD2/PLEKHG1/WIPF3/CAV1/WDR91/ARHGEF10/DLC1/DOCK8/FGD3/FNBP1/VAV2/WAS/STARD8/DOCK11/ARHGEF6/MCF2",103
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","48/4840","61/11214",0.786885245901639,1.82316759246715,5.61739408933128,1.48041340977742e-08,3.73226875141344e-06,3.16610095878379e-06,"COL8A2/COL9A2/COL24A1/COL11A1/LAMC2/LAMB3/TLL2/LOXL4/COL17A1/CD151/MMP7/MMP20/MMP3/MMP13/COL4A1/COL4A2/COL1A1/ITGB4/LAMA3/PXDN/ITGA6/COL3A1/COL5A2/COL4A4/COL6A3/MMP9/COL9A3/COL18A1/COL6A1/COL6A2/COL6A5/COL6A6/LOX/COL11A2/DST/COL9A1/COL12A1/COL1A2/PCOLCE/CTSB/BMP1/LOXL2/COL14A1/PLEC/CTSL/COL15A1/COL27A1/COL5A1",48
"R-HSA-3000178","ECM proteoglycans","57/4840","76/11214",0.75,1.73770661157025,5.62295266372678,1.57006497956094e-08,3.73226875141344e-06,3.16610095878379e-06,"AGRN/HSPG2/COL9A2/TNN/TNR/LAMC1/TGFB2/ITGA8/ITGB1/NCAM1/ITGA7/LUM/DCN/COL4A1/COL4A2/TGFB3/ACAN/ITGAX/ITGA2B/ITGB3/COL1A1/LAMA1/LAMA3/PTPRS/TGFB1/MATN3/ITGB6/COL3A1/COL5A2/FN1/COL4A4/COL6A3/MATN4/LAMA5/COL9A3/APP/COL6A1/COL6A2/ITGA9/ITGB5/COL6A5/COL6A6/ITGA2/VCAN/HAPLN1/SPARC/TNXB/COL9A1/LAMA4/LAMA2/COL1A2/SERPINE1/LAMB1/ASPN/MUSK/TNC/COL5A1",57
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","51/4840","67/11214",0.761194029850746,1.76364253114592,5.46293548346064,3.87937288650253e-08,8.06909560392527e-06,6.84505136947355e-06,"PLOD1/COL16A1/COL8A2/COL9A2/COL24A1/COL11A1/COLGALT2/COL13A1/ADAMTS14/P4HA1/TLL2/COL17A1/P4HA3/COL4A1/COL4A2/COL1A1/P4HB/COLGALT1/COL3A1/COL5A2/COL4A4/COL6A3/COL9A3/COL20A1/COL18A1/COL6A1/COL6A2/CRTAP/COL6A5/COL6A6/PLOD2/P3H2/ADAMTS3/COL25A1/P4HA2/COL23A1/ADAMTS2/COL11A2/COL21A1/COL19A1/COL9A1/COL12A1/COL28A1/COL1A2/PCOLCE/BMP1/COL14A1/COL22A1/COL15A1/COL27A1/COL5A1",51
"R-HSA-8980692","RHOA GTPase cycle","95/4840","147/11214",0.646258503401361,1.49734356552538,5.2890512865434,1.08659861949054e-07,2.00900011425807e-05,1.70424415056938e-05,"PLEKHG5/ARHGEF10L/MACO1/PKN2/ABCD3/VAV3/IQGAP3/ARHGEF11/LBR/OBSCN/NET1/ARHGAP21/ARHGAP22/ARHGAP1/ARAP1/ARHGEF17/ARHGAP42/ARHGAP20/MCAM/ARHGEF12/ARHGAP32/ARHGDIB/FMNL3/RACGAP1/SRGAP1/CIT/STARD13/DIAPH3/FARP1/ARHGEF7/MCF2L/ARHGAP5/KTN1/DAAM1/SNAP23/MYO9A/AKAP13/IQGAP1/HMOX2/ABR/C1QBP/ARHGAP44/ARHGAP23/JUP/TEX2/VAV1/ARHGEF18/PKN1/ARHGEF1/ARHGAP35/ROCK2/RTKN/SOWAHC/VMA22/ARHGEF4/NGEF/PREX1/VAPB/TIAM1/BCR/ARHGAP8/RHOA/ARHGEF3/KALRN/PLD1/ECT2/TFRC/PCDH7/ARAP2/ARHGAP24/FAM13A/PGRMC2/ARHGAP10/TRIO/DEPDC1B/ERBIN/PIK3R1/ARHGEF28/RASGRF2/DIAPH1/ARAP3/ARHGAP26/DOCK2/STK10/FAF2/ARHGAP18/ANLN/CAV1/ARHGEF10/DLC1/TJP2/VAV2/ARHGAP6/STARD8/MCF2",95
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","250/4840","454/11214",0.550660792951542,1.27584920085921,5.22842741545222,1.29608186519206e-07,2.15668022367958e-05,1.8295218749711e-05,"PIK3CD/MTOR/AGTRAP/CLCN6/HDAC1/AGO3/HEYL/ZFYVE9/JUN/RAP1A/TPM3/IL10/HHAT/PPP2R5A/DUSP10/PSEN2/WNT3A/AKT3/KIF5B/MAPK8/DKK1/VCL/NRG3/PIK3AP1/NEURL1/SHOC2/TCF7L2/CTBP2/PSMD13/HRAS/CARS1/RHOG/SYVN1/MAP3K11/FGF4/ARRB1/GAB2/PPP2R1B/IL10RA/FOXM1/NTF3/VWF/ETV6/LRP6/DUSP16/KRAS/PPFIBP1/HDAC7/BIN2/NR4A1/IL22/MDM2/CPSF6/FRS2/KITLG/DUSP6/KSR2/CLIP1/NCOR2/ZMYM2/CDK8/FLT3/FOXO1/GTF2F2/LMO7/IRS2/PSMA6/PSMC6/PPP2R5E/ESR2/PSEN1/SEL1L/PSMC1/CALM1/PPP2R5C/HSP90AA1/MARK3/KLC1/AKT1/SPRED1/APH1B/MAP2K1/SMAD3/CSK/NRG4/PSMA4/BCL2A1/NTRK3/IQGAP1/CREBBP/MAPK3/PIK3R6/PIK3R5/NCOR1/UBB/MPRIP/KSR1/MYO18A/NF1/PSMD11/ERBB2/PSMD3/STAT5B/STAT3/HDAC5/ITGA2B/ITGB3/RNF43/CLTC/PSMD12/TNRC6C/RNF213/YES1/MIB1/SMAD2/SMAD4/MAP2K2/VAV1/DNMT1/CDC37/PSMD8/TGFB1/GSK3A/NTF4/ALK/BIRC6/STRN/SOS1/EML4/PPM1B/SPTBN1/BCL11A/SPRED2/DCTN1/ZAP70/GCC2/STAT1/CD28/CREB1/ERBB4/ATIC/FN1/IRS1/PSMD1/LRRFIP1/HDAC4/FKBP1A/RRBP1/BCL2L1/SRC/PLCG1/YWHAB/MAPK1/BCR/KREMEN1/MYH9/RAC2/PDGFB/RBX1/PRR5/ATG7/RAF1/HDAC11/KAT2B/TGFBR2/CTNNB1/TRAK1/DUSP7/TFG/CD80/GSK3B/GOLGB1/MRAS/PIK3CB/TBL1XR1/PIK3CA/HES1/RBPJ/PDGFRA/KDR/EREG/AREG/BTC/FGF5/SEC31A/DKK2/PAPSS1/EGF/CAMK2D/FGF2/GAB1/FBXW7/TENT4A/RICTOR/ERBIN/PIK3R1/AGGF1/AP3B1/APC/SKP1/NRG2/FGF1/CSNK1A1/PDGFRB/CAMK2A/MAPK9/IRF4/PIM1/FRS3/CCNC/FOXO3/FYN/ESR1/QKI/ACTB/RAC1/HDAC9/EGFR/HIP1/PTPN12/CUX1/MET/SND1/ZC3HC1/TRIM24/KIAA1549/AGK/CUL1/SHH/TNKS/PPP2CB/NRG1/BAG4/FGFR1/LYN/AGO2/KANK1/JAK2/RPS6/VCP/NTRK2/TGFBR1/MAPKAP1/NOTCH1/TBL1X/CNKSR2/MSN/HDAC8/FGF16/MECP2",250
