"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","144/3519","233/9436",0.618025751072961,1.65720118986202,7.83323925389406,1.46404657597524e-14,5.08024161863408e-12,2.92809315195048e-12,"832/3339/127294/84676/9672/2275/255631/1301/7170/4000/480/481/7135/1465/25802/4608/3930/84033/58/4811/88/56776/8516/10529/3688/118461/288/84665/7414/11155/9124/4892/7140/8048/6712/8082/3678/3679/1466/1634/4604/4633/81624/1282/1284/22795/23002/23224/161176/64423/7057/825/2200/29767/29766/83660/7168/22801/4629/6645/4628/8735/4621/3674/752/4635/3690/3675/6442/1277/3691/8736/284217/1837/57731/1158/79784/6382/57159/6711/72/2274/4703/114793/3694/129446/3655/3676/1281/1290/2335/1286/1293/6640/1299/1291/1292/4627/25777/2192/2199/79188/3680/1605/7134/22989/3693/256076/131873/4636/10611/287/171024/51778/3672/3673/1462/4001/2201/8572/1729/6444/9260/23500/3908/23345/7058/60/2006/1278/830/7791/9172/137868/64236/84675/6383/6641/5339/7094/7111/85301/1289/1756",144
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","128/3519","203/9436",0.630541871921182,1.6907624619063,7.67246879699647,5.08666031513784e-14,8.82535564676414e-12,5.08666031513784e-12,"998/3725/10451/63923/7143/3915/3918/4660/3914/824/10000/8516/3688/5599/7414/1793/3265/3611/55742/595/5058/894/7450/2012/3678/3679/4659/3479/4633/5829/2321/1282/1284/394/87/5228/7057/56924/399694/83660/5604/22801/5923/3480/5579/9564/1398/7448/3674/3690/3675/1277/5578/3691/103910/284217/3909/596/7409/81/2909/54776/9475/6654/3694/3655/3676/2335/1286/1293/85366/3911/1299/1291/1292/5594/5880/5155/29780/859/5894/3680/1499/387/2317/2932/4638/3693/256076/131873/5291/5290/5062/4636/5156/3791/5602/6696/1950/56034/3672/3673/5295/1729/5159/7148/2534/3910/3908/7058/60/1956/1278/93408/5649/3912/4233/7791/5747/7094/53358/3371/10319/2889/7410/5063/331/2316",128
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","122/3519","204/9436",0.598039215686274,1.60360842262452,6.72128448969907,3.74166381398339e-11,4.11495866562551e-09,2.37173410122508e-09,"2475/3339/998/6548/5567/10451/7482/356/4660/7042/7483/89780/10000/3688/288/5328/355/51196/60495/27250/3265/3481/22800/960/595/2017/5058/5962/23365/81029/3845/3709/7480/1975/3678/4193/10818/4659/4060/1634/3479/5829/388112/7057/5604/8826/3480/7023/5579/4313/5336/7448/6774/2535/7473/7484/3690/1277/1655/5578/4087/7409/9138/5329/6237/54776/9475/6382/6654/8324/2066/2335/117581/4318/7074/5594/7078/3708/859/5894/1499/387/7474/3059/3693/22808/5291/5290/3791/10855/287/817/2247/2549/7097/29102/3673/5295/3593/5603/1026/2099/60/7291/816/1956/8326/8321/1278/4233/7472/51384/6469/2260/286/6383/5747/1514/5727/7410/4478/2316",122
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","195/3519","362/9436",0.538674033149171,1.44442403432668,6.64939658856367,4.74346820245016e-11,4.11495866562551e-09,2.37173410122508e-09,"2475/1969/9048/3716/55970/23566/5586/1435/4803/117145/3570/4914/356/63923/7143/3915/3918/3914/2786/10000/3559/8516/3688/5979/118788/3265/3481/627/90993/595/5519/894/4908/7450/2998/3845/1975/3678/3679/4193/4254/3479/2254/2322/2321/1282/1284/55012/54331/5529/5228/5527/7057/10681/5604/22801/3480/3566/5934/7531/146850/23533/7448/672/3674/3690/2793/4804/3675/1277/5578/3691/57521/284217/3909/23239/596/6794/84699/5585/898/94235/2323/5518/10971/6654/7039/3694/3655/3676/1385/2066/2335/1286/9470/1293/598/10110/7529/5105/3911/1299/3454/1291/1292/5594/5008/5155/468/5894/3680/9223/2932/3693/256076/131873/5523/5291/5290/59345/5522/5156/3791/2069/374/2250/6696/1977/4790/1950/3558/2247/7097/56034/5618/3575/9180/2690/3672/3673/5295/2149/1946/2246/5521/1436/5159/2264/7148/1026/2309/3910/3908/4602/7058/3569/9586/1956/7532/9863/1021/1278/2783/5649/5294/3912/4233/1129/64764/4846/285/5520/1978/2260/3551/100533105/23678/3574/7534/284/5747/3717/3456/3448/3442/3439/7010/4915/1902/3371/29941/10319/7248/6256/8823",195
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","111/3519","184/9436",0.603260869565217,1.61760999295749,6.52431941306099,1.36559274929829e-10,9.47721368013014e-09,5.46237099719317e-09,"5590/1969/998/2046/2048/2773/10500/23380/5362/55740/3688/8829/56288/6387/219699/6585/57715/3983/3265/3611/57689/5058/7225/23365/64221/81029/3845/57522/10154/59277/54434/7223/1948/4776/56924/80031/4756/10509/4775/5336/85464/5578/103910/6237/9475/151449/56896/10505/54910/8440/7852/659/2043/25791/4773/655/5594/5880/9901/5894/387/6405/7474/6092/6091/2042/91653/2932/54437/5361/6259/2047/4690/5291/5290/2049/5062/4636/84448/9353/658/5530/817/9037/5295/1946/57556/22885/6586/90249/2534/816/3984/2770/10512/9723/10371/223117/4233/91584/2041/6469/5533/1808/5747/10507/5727/5998/25/84628/5063",111
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","124/3519","212/9436",0.584905660377358,1.56839153490218,6.45484303285474,2.00724019358425e-10,1.04789395454023e-08,6.03973460830105e-09,"5590/1969/5909/998/23566/10451/2773/1435/260425/4803/83593/55740/57568/10000/3688/56288/51196/3265/1500/5331/1813/3845/10411/4254/3479/2254/2321/5587/26037/5228/51466/7057/5330/83660/5604/3480/115/2903/5579/27040/3684/113/2775/999/9564/1398/136/5606/3674/3690/8631/4804/5578/5608/7409/9002/23094/25865/6237/2357/375189/109/25780/23683/11069/9855/23236/5332/2778/7074/5594/135/5880/5155/5894/1499/387/9223/111/22808/5291/5028/5584/5290/5156/3791/2250/1950/2247/56034/9693/2533/5295/2149/1946/51735/64411/2246/1436/5159/2264/5603/4301/60/9771/5898/107/1956/9863/2770/889/9732/4233/285/2260/284/114/7010/7094/2776/1902/2889/7410/8823",124
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","61/3519","86/9436",0.709302325581395,1.90195417567094,6.4797417098166,2.11390711290537e-10,1.04789395454023e-08,6.03973460830105e-09,"4000/779/88/6262/8516/783/3688/29119/6934/93589/775/8082/784/3678/3679/488/4842/6547/22801/10368/6645/489/782/3674/3690/3675/6442/786/3691/284217/1000/1837/59285/6546/1496/83439/785/3694/3655/3676/6640/859/3680/1499/1605/9254/776/3693/51176/3672/3673/6932/1495/6444/2697/3908/60/781/137868/6641/1756",61
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","133/3519","232/9436",0.573275862068966,1.5372068867527,6.38891426123175,2.9218816435475e-10,1.26736616288873e-08,7.30470410886875e-09,"998/6548/731/732/55970/10451/128239/4660/55740/10000/8516/5305/3688/6387/7414/1793/3265/22800/1132/5058/5962/23365/3845/3678/3679/4659/54434/4633/5829/2254/221178/81624/8874/87/624/623/23191/1133/56924/5604/22801/8826/4629/3684/3687/3681/9564/1398/3682/4628/85464/8396/3674/3690/3675/10672/3691/103910/7409/81/9138/2909/6237/79784/54776/9475/81553/375189/6654/10096/50649/7852/3694/3655/3676/10787/10152/200576/2335/85366/7074/5594/4627/5880/5155/5894/3680/387/4638/3693/22808/5291/5290/5062/4636/5156/2250/1950/2247/56034/730/729/3672/3673/5295/10788/2149/1729/2246/5159/2264/8936/60/85477/1956/3984/10095/93408/1129/653857/57180/2260/51571/5747/89846/1902/2934/81873/7410/2245/4478/8823/5063",133
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","178/3519","333/9436",0.534534534534535,1.43332420229266,6.20829853764015,7.65581229637595e-10,2.95174096315828e-08,1.70129162141688e-08,"57801/5590/390992/54626/2475/23352/998/3065/26508/10207/3716/5567/7482/4853/356/63923/7143/3915/3918/5743/3914/7483/89780/10000/8516/3688/56288/355/6934/3265/90993/595/1740/472/5519/81029/894/7450/7132/3845/101927180/7480/3678/3679/29110/4193/5829/8638/23545/8900/2308/1282/1284/55012/387332/5529/64398/5527/7187/7057/5604/22801/527/1387/5934/1856/84667/7448/535/27175/3674/2535/7473/7484/3690/3675/1277/8313/3993/3691/284217/3909/84699/4854/898/581/5518/5610/6654/90423/83439/3694/3655/3676/6772/8324/1385/2335/1286/1293/182/1869/2778/3911/1299/3454/4600/1291/1292/5594/2033/5894/3680/1499/7474/9223/523/2932/3693/256076/131873/5523/5291/545/5584/5290/1739/5522/3516/6696/4790/1950/3672/3673/5295/3659/6932/5521/1452/5159/8992/3135/534/7148/1026/3910/3908/9519/7058/9586/1956/8326/8321/1021/1278/5649/3912/7472/51384/64764/50617/5520/1978/3551/51606/245972/528/5747/3456/3448/3442/3439/4799/3371/10319/7248/4851/1741",178
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","141/3519","253/9436",0.557312252964427,1.49440136941527,6.14720129213585,1.22393208031761e-09,4.24704431870212e-08,2.44786416063523e-08,"2475/998/3725/11146/9181/7188/7100/824/10000/3688/5599/7321/80201/3098/7414/51196/8945/1793/664/3611/960/5331/2017/472/7132/89869/3709/440093/3678/29110/4193/4633/643246/5829/2308/4792/22863/87/5330/83660/9564/5336/1398/7314/8678/113026/10241/55062/3021/10801/9267/57521/103910/5289/596/718/81/9266/581/9475/375189/58484/5581/6233/3099/3554/3553/10096/84812/55054/4735/10616/23236/5332/598/84557/63916/5594/9978/55964/3708/387/5580/2932/3059/5291/5290/4636/3576/55752/5602/4790/7323/92610/5295/831/1437/7416/6500/7322/1729/10318/23291/8878/8737/8350/8351/8353/8968/8355/8357/8354/8356/5603/58528/6885/9474/2309/8936/23118/26100/60/9265/11335/10392/989/9844/51619/1956/10095/93408/8454/653857/57180/3551/8767/5747/3456/7094/81873/23048",141
