"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","Extracellular matrix organization","212/4636","321/11214",0.660436137071651,1.59752606581568,9.11845606172829,1.24111635760374e-19,2.06397650269501e-16,1.77153029569544e-16,"MFAP2/HSPG2/MATN1/SDC3/COL16A1/COL8A2/COL24A1/VCAM1/COL11A1/F11R/DDR2/TNN/TNR/LAMC1/LAMC2/COLGALT2/FMOD/LAMB3/TGFB2/CAPN8/CAPN2/ACTA1/CAPN9/NID1/ITGA8/ITGB1/COL13A1/ADAMTS14/ACTA2/TLL2/LOXL4/SH3PXD2A/COL17A1/HTRA1/ADAM12/CD44/LTBP3/P4HA3/SERPINH1/MMP7/MMP20/MMP1/MMP3/MMP12/MMP13/NCAM1/ADAMTS8/JAM3/VWF/P3H3/MFAP5/SSPN/ITGA5/ITGA7/LUM/DCN/NTN4/MMP17/COL4A1/COL4A2/CTSG/NID2/BMP4/ACTN1/LTBP2/TGFB3/FBLN5/THBS1/CAPN3/FBN1/ITGA11/LOXL1/ACAN/FURIN/ITGAM/ITGAX/ITGAD/MMP2/CAPNS2/CDH1/SNTB2/CTRB2/ADAMTS18/ITGAE/MFAP4/VTN/ITGA2B/ITGB3/ITGA3/SGCA/COL1A1/ICAM2/PECAM1/PRKCA/ITGB4/P4HB/EMILIN2/LAMA1/LAMA3/DTNA/BSG/PTPRS/ICAM1/ICAM4/COLGALT1/CEACAM1/CEACAM8/SNTG2/PXDN/SDC1/DTNB/CAPN13/LTBP1/NRXN1/EFEMP1/ACTG2/ITGB6/ITGA6/ITGA4/COL3A1/COL5A2/FN1/COL4A4/COL6A3/SNTA1/MMP24/MATN4/MMP9/BMP7/LAMA5/COL9A3/COL20A1/JAM2/APP/COL18A1/COL6A1/COL6A2/TMPRSS6/PDGFB/SCUBE1/FBLN1/FBLN2/CAPN7/ITGA9/DAG1/ADAMTS9/CD47/ITGB5/COL6A5/COL6A6/PCOLCE2/PLOD2/P3H2/KDR/ADAMTS3/SPP1/COL25A1/FGF2/FGB/ITGA1/ITGA2/VCAN/HAPLN1/CAST/FBN2/P4HA2/SPARC/SGCD/ADAM19/PHYKPL/COL23A1/ADAMTS2/TNXB/SCUBE3/CAPN11/COL21A1/DST/COL19A1/COL12A1/LAMA4/LAMA2/UTRN/ACTB/COL28A1/ELN/COL1A2/PCOLCE/SERPINE1/COL26A1/LAMB1/PRSS1/CTSB/SGCZ/BMP1/LOXL2/ADAM9/SDC2/COL14A1/SNTB1/COL22A1/PLEC/CTSL/ASPN/COL15A1/MUSK/COL27A1/TNC/LAMC3/COL5A1/DMD/CASK/DRP2",212
"R-HSA-9012999","RHO GTPase cycle","255/4636","448/11214",0.569196428571429,1.3768267364107,6.83343737137456,9.00258737190589e-12,7.48565139973975e-09,6.42500446121283e-09,"ARHGEF16/PLEKHG5/SPEN/EPHA2/ARHGEF10L/CAPZB/CDC42/SRRM1/MACO1/NUDC/TMEM59/DOCK7/PKN2/ABCD3/VAV3/VANGL1/TPM3/ARHGEF2/IQGAP3/VANGL2/RASAL2/ABL2/TOR1AIP1/NCF2/SRGAP2/KCTD3/LBR/CDC42BPA/OBSCN/RHOU/MTR/NET1/ARHGAP21/ABI1/ANKRD26/MPP7/ARHGAP12/ITGB1/ARHGAP22/RHOBTB1/DLG5/DNMBP/SH3PXD2A/DOCK1/RHOG/SWAP70/RRAS2/ARHGAP1/CPSF7/ARAP1/PAK1/PICALM/ARHGAP42/ARHGAP20/MCAM/ARHGEF12/FGD4/AMIGO2/SENP1/TUBA1B/RACGAP1/SHMT2/ARHGEF25/SRGAP1/FRS2/BLTP3B/CKAP4/GIT2/CIT/SPATA13/WASF3/STARD13/EPSTI1/DIAPH3/DOCK9/ARHGEF7/MCF2L/SCFD1/ARHGAP5/FERMT2/KTN1/DAAM1/RHOJ/PLEKHG3/ACTN1/CDC42BPB/CYFIP1/PAK6/TMOD3/UACA/MYO9A/PEAK1/WHAMM/AKAP13/IQGAP1/RBBP6/ARHGAP17/KCTD13/WWP2/ABR/WDR81/ANKFY1/C1QBP/ARHGAP44/FLOT2/CPD/ARHGAP23/FMNL1/MSI2/CLTC/TEX2/GNA13/CDC42EP4/RALBP1/VAV1/ARHGEF18/PKN1/GARRE1/ARHGAP33/SHKBP1/ARHGEF1/ARHGAP35/KIDINS220/ROCK2/RHOB/ITSN2/CDC42EP3/SOS1/SPTBN1/CCDC88A/VRK2/ARHGAP25/RTKN/SEMA4F/ZAP70/NCK2/SOWAHC/VMA22/ARHGEF4/ARHGAP15/RND3/FMNL2/PKP4/WIPF1/CHN1/NCKAP1/ABI2/CUL3/DOCK10/NGEF/FARP2/JAG1/ELMO2/PREX1/VAPB/TIAM1/ITSN1/BCR/NCF4/RAC2/CDC42EP1/ARFGAP3/ARHGAP8/SRGAP3/FGD5/SLC4A7/RHOA/ARHGEF3/ARHGAP31/KALRN/OSBPL11/PLXNA1/RAB7A/PLXND1/NCK1/ARHGEF26/PLD1/ECT2/PIK3CA/TRA2B/TFRC/PAK2/PCDH7/RHOH/COPS4/ARHGAP24/FAM13A/PDE5A/PGRMC2/ARHGAP10/SH3RF1/TRIO/BASP1/ERBIN/PIK3R1/ARHGEF28/IQGAP2/RASGRF2/LMNB1/CDC42SE2/DIAPH1/ARAP3/ARHGAP26/DOCK2/STK10/FAF2/DBN1/GFOD1/DEF6/FGD2/LRRC1/FAM83B/DST/PHIP/WASF1/GOPC/GJA1/ARHGAP18/PLEKHG1/AKAP12/TIAM2/NOX3/ACTB/CHN2/WIPF3/NIPSNAP2/BAIAP2L1/DOCK4/CFTR/WDR91/ARHGEF10/PRAG1/DLC1/DOCK5/PTK2B/DOCK8/TJP2/FGD3/RNF20/PKN3/FNBP1/RAPGEF1/VAV2/CCDC187/ARHGAP6/MOSPD2/USP9X/FGD1/STARD8/NOX1/PAK3/DOCK11/RBMX/MCF2/MTMR1",255
"R-HSA-1474290","Collagen formation","67/4636","90/11214",0.744444444444444,1.80073339085418,6.40271828919738,1.62921322578573e-10,9.03127198160557e-08,7.75162503215948e-08,"COL16A1/COL8A2/COL24A1/COL11A1/LAMC2/COLGALT2/LAMB3/COL13A1/ADAMTS14/TLL2/LOXL4/COL17A1/P4HA3/SERPINH1/MMP7/MMP20/MMP3/MMP13/P3H3/COL4A1/COL4A2/LOXL1/COL1A1/ITGB4/P4HB/LAMA3/COLGALT1/PXDN/ITGA6/COL3A1/COL5A2/COL4A4/COL6A3/MMP9/COL9A3/COL20A1/COL18A1/COL6A1/COL6A2/COL6A5/COL6A6/PCOLCE2/PLOD2/P3H2/ADAMTS3/COL25A1/P4HA2/COL23A1/ADAMTS2/COL21A1/DST/COL19A1/COL12A1/COL28A1/COL1A2/PCOLCE/COL26A1/CTSB/BMP1/LOXL2/COL14A1/COL22A1/PLEC/CTSL/COL15A1/COL27A1/COL5A1",67
"R-HSA-9013149","RAC1 GTPase cycle","116/4636","185/11214",0.627027027027027,1.51671291654035,5.94912102416149,2.93875170826907e-09,1.22178602271287e-06,1.04867034642444e-06,"EPHA2/CDC42/DOCK7/PKN2/VAV3/VANGL1/IQGAP3/ABL2/NCF2/SRGAP2/LBR/CDC42BPA/ARHGAP21/ABI1/MPP7/ARHGAP12/ITGB1/ARHGAP22/DOCK1/SWAP70/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/MCAM/AMIGO2/RACGAP1/ARHGEF25/SRGAP1/GIT2/CIT/SPATA13/WASF3/DIAPH3/DOCK9/ARHGEF7/MCF2L/ARHGAP5/FERMT2/KTN1/PLEKHG3/CYFIP1/PAK6/IQGAP1/ARHGAP17/ABR/ARHGAP44/ARHGAP23/FMNL1/GNA13/CDC42EP4/RALBP1/VAV1/ARHGEF18/PKN1/GARRE1/ARHGAP33/ARHGAP35/SOS1/VRK2/ARHGAP25/ARHGEF4/ARHGAP15/WIPF1/CHN1/NCKAP1/ABI2/DOCK10/NGEF/FARP2/JAG1/PREX1/TIAM1/BCR/NCF4/CDC42EP1/SRGAP3/FGD5/ARHGAP31/KALRN/RAB7A/PLD1/ECT2/PIK3CA/TFRC/PAK2/ARHGAP24/FAM13A/ARHGAP10/TRIO/ERBIN/PIK3R1/IQGAP2/RASGRF2/ARAP3/ARHGAP26/DOCK2/DEF6/WASF1/PLEKHG1/TIAM2/NOX3/CHN2/WIPF3/BAIAP2L1/DOCK4/ARHGEF10/DLC1/DOCK5/DOCK8/VAV2/NOX1/PAK3/DOCK11/MCF2",116
"R-HSA-3000171","Non-integrin membrane-ECM interactions","59/4636","80/11214",0.7375,1.78393550474547,5.90725079501276,3.73855693862929e-09,1.2434440377881e-06,1.06725962290133e-06,"HSPG2/SDC3/COL11A1/DDR2/LAMC1/LAMC2/LAMB3/ACTA1/ITGB1/ACTA2/SSPN/NTN4/COL4A1/COL4A2/ACTN1/THBS1/SNTB2/VTN/ITGB3/SGCA/COL1A1/PRKCA/ITGB4/LAMA1/LAMA3/DTNA/SNTG2/SDC1/DTNB/NRXN1/ACTG2/ITGA6/COL3A1/COL5A2/FN1/COL4A4/SNTA1/LAMA5/PDGFB/DAG1/ITGB5/FGF2/ITGA2/SGCD/LAMA4/LAMA2/UTRN/ACTB/COL1A2/LAMB1/SGCZ/SDC2/SNTB1/TNC/LAMC3/COL5A1/DMD/CASK/DRP2",59
"R-HSA-3000178","ECM proteoglycans","56/4636","76/11214",0.736842105263158,1.78234412606149,5.74495598497296,9.86193887658651e-09,2.73340072529389e-06,2.34610335379847e-06,"HSPG2/MATN1/TNN/TNR/LAMC1/FMOD/TGFB2/ITGA8/ITGB1/NCAM1/ITGA7/LUM/DCN/COL4A1/COL4A2/TGFB3/ACAN/ITGAX/VTN/ITGA2B/ITGB3/COL1A1/LAMA1/LAMA3/PTPRS/ITGB6/COL3A1/COL5A2/FN1/COL4A4/COL6A3/MATN4/LAMA5/COL9A3/APP/COL6A1/COL6A2/ITGA9/DAG1/ITGB5/COL6A5/COL6A6/ITGA2/VCAN/HAPLN1/SPARC/TNXB/LAMA4/LAMA2/COL1A2/SERPINE1/LAMB1/ASPN/MUSK/TNC/COL5A1",56
"R-HSA-216083","Integrin cell surface interactions","61/4636","85/11214",0.717647058823529,1.7359133126935,5.71733633360436,1.18228536014922e-08,2.80877221989737e-06,2.4107954110712e-06,"HSPG2/COL16A1/COL8A2/VCAM1/F11R/ITGA8/ITGB1/COL13A1/CD44/JAM3/VWF/ITGA5/ITGA7/LUM/COL4A1/COL4A2/THBS1/FBN1/ITGA11/ITGAM/ITGAX/ITGAD/CDH1/ITGAE/VTN/ITGA2B/ITGB3/ITGA3/COL1A1/ICAM2/PECAM1/BSG/ICAM1/ICAM4/ITGB6/ITGA6/ITGA4/COL3A1/COL5A2/FN1/COL4A4/COL6A3/COL9A3/JAM2/COL18A1/COL6A1/COL6A2/ITGA9/CD47/ITGB5/COL6A5/COL6A6/KDR/SPP1/FGB/ITGA1/ITGA2/COL23A1/COL1A2/TNC/COL5A1",61
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","49/4636","67/11214",0.73134328358209,1.76904305049386,5.30023032933951,1.23573680832581e-07,2.56878789030727e-05,2.20481462117078e-05,"COL16A1/COL8A2/COL24A1/COL11A1/COLGALT2/COL13A1/ADAMTS14/TLL2/COL17A1/P4HA3/SERPINH1/P3H3/COL4A1/COL4A2/COL1A1/P4HB/COLGALT1/COL3A1/COL5A2/COL4A4/COL6A3/COL9A3/COL20A1/COL18A1/COL6A1/COL6A2/COL6A5/COL6A6/PCOLCE2/PLOD2/P3H2/ADAMTS3/COL25A1/P4HA2/COL23A1/ADAMTS2/COL21A1/COL19A1/COL12A1/COL28A1/COL1A2/PCOLCE/COL26A1/BMP1/COL14A1/COL22A1/COL15A1/COL27A1/COL5A1",49
"R-HSA-9013148","CDC42 GTPase cycle","95/4636","154/11214",0.616883116883117,1.49217585692996,5.1628415101438,2.41127346600607e-07,4.45549752663122e-05,3.8241951109991e-05,"ARHGEF16/CDC42/DOCK7/VAV3/VANGL1/IQGAP3/SRGAP2/KCTD3/LBR/CDC42BPA/ARHGAP21/ARHGAP22/DNMBP/SH3PXD2A/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/ARHGEF12/FGD4/RACGAP1/ARHGEF25/SRGAP1/GIT2/SPATA13/STARD13/DIAPH3/DOCK9/ARHGEF7/MCF2L/ARHGAP5/KTN1/DAAM1/PLEKHG3/CDC42BPB/PAK6/IQGAP1/ARHGAP17/ABR/WDR81/ARHGAP44/FMNL1/GNA13/CDC42EP4/RALBP1/ARHGAP33/SHKBP1/ARHGAP35/CDC42EP3/ARHGEF4/FMNL2/WIPF1/CHN1/DOCK10/NGEF/PREX1/TIAM1/ITSN1/BCR/CDC42EP1/ARFGAP3/SRGAP3/ARHGAP31/RAB7A/ARHGEF26/PLD1/ECT2/TFRC/PAK2/ARHGAP24/ARHGAP10/TRIO/PIK3R1/IQGAP2/RASGRF2/CDC42SE2/ARAP3/ARHGAP26/DEF6/FGD2/PLEKHG1/WIPF3/WDR91/ARHGEF10/DLC1/DOCK8/FGD3/FNBP1/VAV2/FGD1/STARD8/PAK3/DOCK11/MCF2",95
"R-HSA-8980692","RHOA GTPase cycle","91/4636","147/11214",0.619047619047619,1.49741156169111,5.09618609118731,3.42594638552935e-07,5.69734883913531e-05,4.890087682924e-05,"PLEKHG5/ARHGEF10L/MACO1/PKN2/ABCD3/VAV3/VANGL1/ARHGEF2/IQGAP3/LBR/OBSCN/NET1/ARHGAP21/ARHGAP22/ARHGAP1/ARAP1/ARHGAP42/ARHGAP20/MCAM/ARHGEF12/RACGAP1/ARHGEF25/SRGAP1/CIT/STARD13/DIAPH3/ARHGEF7/MCF2L/SCFD1/ARHGAP5/KTN1/DAAM1/PLEKHG3/MYO9A/AKAP13/IQGAP1/ABR/C1QBP/ARHGAP44/FLOT2/ARHGAP23/TEX2/VAV1/ARHGEF18/PKN1/ARHGEF1/ARHGAP35/ROCK2/RTKN/SOWAHC/VMA22/ARHGEF4/NGEF/PREX1/VAPB/TIAM1/BCR/ARHGAP8/RHOA/ARHGEF3/ARHGAP31/KALRN/PLD1/ECT2/TFRC/PCDH7/ARHGAP24/FAM13A/PGRMC2/ARHGAP10/TRIO/ERBIN/PIK3R1/ARHGEF28/RASGRF2/DIAPH1/ARAP3/ARHGAP26/DOCK2/STK10/FAF2/DEF6/ARHGAP18/ARHGEF10/DLC1/TJP2/PKN3/VAV2/ARHGAP6/STARD8/MCF2",91
