"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","147/2714","487/18805",0.301848049281314,2.09147110049194,10.0225035765138,1.49468044328064e-19,9.19676876750581e-16,7.22795995413819e-16,"GNB1/ARHGEF10L/DAB1/SSX2IP/BCAR3/CSF1/NGF/NOTCH2/RIT1/F11R/RGL1/OBSCN/RHOU/NET1/ARHGAP21/ARHGAP12/NRP1/RASGEF1A/ARHGAP22/PLCE1/ARL3/ADRA2A/HRAS/SWAP70/RRAS2/ARHGAP1/ARAP1/ARRB1/ARHGAP42/ARHGAP20/ARHGEF12/EPS8/FGD4/RAPGEF3/RACGAP1/RAP1B/PLEKHG7/SPATA13/STARD13/DOCK9/ARHGEF7/RASA3/PLEKHG3/SIPA1L1/CCDC88C/CYFIP1/RASGRP1/AKAP13/LAT/CDH13/ABR/RAP1GAP2/KSR1/NF1/ARHGAP23/ARHGAP27/CYTH1/ARHGAP28/ROCK1/MAPRE2/KANK2/ARHGEF1/GPR4/ARHGAP35/RRAS/ROCK2/RHOB/RASGRP3/RTN4/CCDC88A/ARHGAP25/STAMBP/MAP4K4/ARHGAP15/RAPGEF4/CHN1/NCKAP1/CUL3/DOCK10/RIN2/TGM2/RALGAPB/ARHGAP40/PREX1/TIAM1/BCR/RGL4/RAC2/CDC42EP1/GRAP2/ARHGAP8/CELSR1/SRGAP3/IQSEC1/RHOA/ROBO1/KALRN/PIK3CB/RASA2/AGTR1/PLD1/RASGEF1B/FAM13A/FGF2/ARHGAP10/RAPGEF2/TRIO/PLK2/ARHGEF28/F2R/RAPGEF6/ARHGAP26/CSNK1A1/RIPOR2/SYNGAP1/CDKN1A/ARHGAP18/PLEKHG1/TIAM2/RAPGEF5/ADCYAP1R1/RALA/TNS3/RABGEF1/AUTS2/LIMK1/COL1A2/RELN/DOCK4/ARHGEF10/DLC1/PSD3/DOCK5/DENND3/DOCK8/KANK1/SEMA4D/LPAR1/DAB2IP/MAPKAP1/RALGPS1/ARHGAP6/CDKL5/STARD8/CHM/DOCK11/RAP2C",147
"GO:0007409","axonogenesis","137/2714","459/18805",0.298474945533769,2.06809924493829,9.51449586564835,7.71623105455344e-18,2.37389848393337e-14,1.86570344550624e-14,"EPHA8/MACF1/EDN2/DAB1/NOTCH2/CRABP2/TNN/TNR/LGR6/NFASC/ENAH/DISC1/GATA3/NRP1/PARD3/PRKG1/ANK3/ATOH7/VCL/VAX1/BRSK2/PAX6/PTPRJ/CTTN/PAK1/CNTN5/NCAM1/DRD2/FEZ1/PTPRO/PRICKLE1/NELL2/DIP2B/ZDHHC17/PLXNC1/ATP8A2/SLITRK6/NIN/SIPA1L1/NUMB/TTC8/RPS6KA5/BCL11B/EVL/CYFIP1/NDN/MAP1A/SEMA6D/FOXB1/SPG21/MAP2K1/NPTN/SIAH1/CDH1/PTPRM/ARK2C/BCL2/MAP1S/ARHGAP35/ADAM17/RAB10/FEZ2/RTN4/CTNNA2/GLI2/KIF5C/CHN1/BMPR2/RAPH1/NRP2/KLF7/FN1/EPHA4/FLRT3/B4GALT5/APP/TIAM1/ADARB1/S100B/SCN11A/TRAK1/CCK/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/SEMA5B/KALRN/PLXND1/RYK/SHOX2/EPHB3/APBB2/BMPR1B/PALLD/SEMA5A/TRIO/FOXD1/ARHGEF28/EFNA5/SEMA6A/FSTL4/UNC5A/EDN1/SYNGAP1/FYN/LAMA2/UST/TIAM2/GLI3/ADCY1/COBL/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/NEFL/KIF13B/MATN2/EXT1/PTK2/NFIB/NTRK2/SEMA4D/PTCH1/LHX2/HMCN2/NTNG2/CDKL5/NDP",137
"GO:0051056","regulation of small GTPase mediated signal transduction","97/2714","303/18805",0.32013201320132,2.2181586250003,8.7791879339172,4.21425024239342e-15,8.6434272471489e-12,6.79307565387907e-12,"ARHGEF10L/SSX2IP/CSF1/NGF/NOTCH2/F11R/OBSCN/RHOU/NET1/ARHGAP21/ARHGAP12/NRP1/RASGEF1A/ARHGAP22/SWAP70/ARHGAP1/ARAP1/ARRB1/ARHGAP42/ARHGAP20/ARHGEF12/EPS8/FGD4/RACGAP1/SPATA13/STARD13/DOCK9/RASA3/PLEKHG3/SIPA1L1/RASGRP1/AKAP13/ABR/RAP1GAP2/NF1/ARHGAP23/ARHGAP27/CYTH1/ARHGAP28/MAPRE2/KANK2/ARHGEF1/GPR4/ARHGAP35/RTN4/ARHGAP25/STAMBP/MAP4K4/ARHGAP15/CHN1/CUL3/DOCK10/TGM2/RALGAPB/ARHGAP40/PREX1/TIAM1/BCR/ARHGAP8/SRGAP3/IQSEC1/ROBO1/KALRN/PIK3CB/RASA2/FAM13A/ARHGAP10/TRIO/ARHGEF28/F2R/ARHGAP26/CSNK1A1/RIPOR2/SYNGAP1/ARHGAP18/PLEKHG1/TIAM2/ADCYAP1R1/TNS3/RABGEF1/AUTS2/RELN/ARHGEF10/DLC1/PSD3/DENND3/DOCK8/KANK1/SEMA4D/LPAR1/DAB2IP/MAPKAP1/RALGPS1/ARHGAP6/CDKL5/STARD8/DOCK11",97
"GO:0031589","cell-substrate adhesion","108/2714","361/18805",0.299168975069252,2.07290809733872,8.45331577937544,2.08805943109455e-14,3.21195741988118e-11,2.52435395432851e-11,"PRKCZ/MACF1/ANGPTL3/CCN1/CSF1/TNN/DISC1/NID1/RSU1/NRP1/COL13A1/VCL/SORBS1/PARVA/CD44/HSD17B12/PTPRJ/FERMT3/CTTN/JAM3/VWF/PTPRO/ACVRL1/PPFIA2/ARHGEF7/AJUBA/NID2/ACTN1/FBLN5/GREM1/FMN1/THBS1/ANXA2/SMAD6/ITGA11/PEAK1/EMP2/CORO1A/CDH13/NF1/ITGB3/SKAP1/P4HB/ROCK1/BCL2/AXL/LYPD3/RRAS/ROCK2/PRKCE/WDPCP/ANTXR1/MAP4K4/EPB41L5/CLASP1/LIMS2/FZD7/FN1/RIN2/STK4/PREX1/CASS4/TIAM1/BCR/RAC2/PDGFB/RHOA/ADAMTS9/EPHA3/PHLDB2/CCDC80/ITGB5/PIK3CB/EPHB3/ST6GAL1/BST1/LIMCH1/KDR/HPSE/ADAMTS12/PIK3R1/RASA1/EFNA5/SPOCK1/NEDD9/DDR1/PPARD/UTRN/CD36/SEMA3E/CDK6/SERPINE1/MKLN1/DLC1/DOCK5/PLEKHA2/ANGPT1/PTK2/KANK1/ACER2/CCL21/TMEM8B/ECM2/SVEP1/ARHGAP6/GPM6B/CASK/EDA",108
"GO:0007160","cell-matrix adhesion","80/2714","240/18805",0.333333333333333,2.3096290837632,8.38580927611653,9.49679344992223e-14,1.16867540194743e-10,9.18489875977742e-11,"PRKCZ/MACF1/ANGPTL3/CSF1/TNN/DISC1/NID1/NRP1/COL13A1/VCL/SORBS1/CD44/PTPRJ/FERMT3/CTTN/JAM3/ACVRL1/PPFIA2/ARHGEF7/AJUBA/NID2/ACTN1/FBLN5/GREM1/FMN1/THBS1/ANXA2/ITGA11/PEAK1/EMP2/CDH13/NF1/ITGB3/SKAP1/ROCK1/BCL2/LYPD3/RRAS/ROCK2/WDPCP/MAP4K4/EPB41L5/CLASP1/FN1/RIN2/TIAM1/BCR/RHOA/ADAMTS9/EPHA3/PHLDB2/ITGB5/PIK3CB/BST1/LIMCH1/KDR/HPSE/ADAMTS12/PIK3R1/RASA1/EFNA5/DDR1/UTRN/CD36/SEMA3E/CDK6/SERPINE1/MKLN1/DLC1/PLEKHA2/PTK2/ACER2/CCL21/TMEM8B/ECM2/SVEP1/ARHGAP6/GPM6B/CASK/EDA",80
"GO:0097485","neuron projection guidance","79/2714","239/18805",0.330543933054393,2.29030164373171,8.24459930606223,2.2440415022382e-13,2.30126456054527e-10,1.80861871250566e-10,"EPHA8/NOTCH2/TNR/LGR6/NFASC/ENAH/GATA3/NRP1/ATOH7/VAX1/PAX6/PTPRJ/CNTN5/NCAM1/FEZ1/PTPRO/NELL2/TTC8/RPS6KA5/BCL11B/EVL/CYFIP1/SEMA6D/NPTN/SIAH1/PTPRM/ARK2C/ARHGAP35/ADAM17/FEZ2/GLI2/KIF5C/CHN1/BMPR2/NRP2/KLF7/EPHA4/FLRT3/APP/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/SEMA5B/KALRN/PLXNA1/RYK/EPHB3/APBB2/BMPR1B/PALLD/SEMA5A/TRIO/FOXD1/EFNA5/SEMA6A/UNC5A/EDN1/FYN/LAMA2/GLI3/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/MATN2/EXT1/PTK2/NFIB/SEMA4D/PTCH1/LHX2/HMCN2/NDP",79
"GO:0007411","axon guidance","78/2714","238/18805",0.327731092436975,2.27081178823777,8.10284199139687,5.25744950774733e-13,4.6212981173099e-10,3.63198842685582e-10,"EPHA8/NOTCH2/TNR/LGR6/NFASC/ENAH/GATA3/NRP1/ATOH7/VAX1/PAX6/PTPRJ/CNTN5/NCAM1/FEZ1/PTPRO/NELL2/TTC8/RPS6KA5/BCL11B/EVL/CYFIP1/SEMA6D/NPTN/SIAH1/PTPRM/ARK2C/ARHGAP35/ADAM17/FEZ2/GLI2/KIF5C/CHN1/BMPR2/NRP2/KLF7/EPHA4/FLRT3/APP/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/SEMA5B/KALRN/RYK/EPHB3/APBB2/BMPR1B/PALLD/SEMA5A/TRIO/FOXD1/EFNA5/SEMA6A/UNC5A/EDN1/FYN/LAMA2/GLI3/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/MATN2/EXT1/PTK2/NFIB/SEMA4D/PTCH1/LHX2/HMCN2/NDP",78
"GO:0030900","forebrain development","115/2714","413/18805",0.278450363196126,1.9293511716666,7.84294054932431,6.81050936407014e-13,5.23813301464045e-10,4.11677368664977e-10,"SKI/CHD5/STIL/DAB1/LHX8/WNT2B/TNR/ASPM/ATP2B4/DISC1/ZEB1/NRP1/PRKG1/ZMIZ1/PAX6/SLC1A2/DYNC2H1/DRD2/FEZ1/KIRREL3/AVPR1A/FRS2/KDM2B/PCDH9/NIN/BMP4/SYNE2/NUMB/FOS/POMT2/TTC8/BCL11B/ALDH1A2/FOXB1/BBS2/CDH1/RTN4RL1/UBB/NF1/RARA/RAX/AXL/ARHGAP35/NCOA1/RTN4/INHBB/GLI2/CXCR4/TTC21B/CCDC141/PGAP1/NRP2/ERBB4/ATIC/PLCB1/E2F1/APP/OLIG2/LARGE1/OXTR/SCN5A/SETD2/RHOA/FOXP1/ROBO2/ROBO1/PLXNA1/GATA2/TMEM108/RYK/EPHB3/TACC3/RBPJ/GSX2/FGF2/FAT4/SLC7A11/DCLK2/RAPGEF2/SEMA5A/DNAH5/OTP/PCSK1/GRIA1/DRD1/MDGA1/EFHC1/AKIRIN2/PRDM13/FYN/MAS1/INHBA/GLI3/SEMA3E/SEMA3A/CDK6/RELN/FOXP2/PLXNA4/HTR5A/MCPH1/DLC1/NEFL/FUT10/TACC1/VPS13B/EXT1/TRAPPC9/NFIB/NTRK2/LPAR1/DAB2IP/LHX6/LHX2/ATRX",115
"GO:0001952","regulation of cell-matrix adhesion","50/2714","125/18805",0.4,2.77155490051584,8.16130694206499,2.06380162113065e-12,1.41095237497965e-09,1.10890112835956e-09,"PRKCZ/MACF1/CSF1/DISC1/NRP1/VCL/PTPRJ/ACVRL1/GREM1/FMN1/THBS1/PEAK1/EMP2/CDH13/NF1/ITGB3/SKAP1/ROCK1/BCL2/RRAS/ROCK2/WDPCP/MAP4K4/EPB41L5/CLASP1/RIN2/RHOA/EPHA3/PHLDB2/PIK3CB/BST1/LIMCH1/KDR/PIK3R1/RASA1/EFNA5/DDR1/UTRN/CD36/SEMA3E/CDK6/SERPINE1/DLC1/PLEKHA2/PTK2/ACER2/CCL21/ARHGAP6/GPM6B/CASK",50
"GO:0010810","regulation of cell-substrate adhesion","73/2714","224/18805",0.325892857142857,2.25807486314349,7.77919177639382,3.95599810730395e-12,2.43412563542412e-09,1.91303740052151e-09,"PRKCZ/MACF1/CCN1/CSF1/DISC1/NID1/RSU1/NRP1/VCL/HSD17B12/PTPRJ/PTPRO/ACVRL1/ARHGEF7/GREM1/FMN1/THBS1/PEAK1/EMP2/CDH13/NF1/ITGB3/SKAP1/P4HB/ROCK1/BCL2/RRAS/ROCK2/PRKCE/WDPCP/MAP4K4/EPB41L5/CLASP1/LIMS2/FZD7/FN1/RIN2/STK4/PREX1/CASS4/RAC2/PDGFB/RHOA/EPHA3/PHLDB2/CCDC80/PIK3CB/ST6GAL1/BST1/LIMCH1/KDR/PIK3R1/RASA1/EFNA5/SPOCK1/NEDD9/DDR1/UTRN/CD36/SEMA3E/CDK6/SERPINE1/DLC1/DOCK5/PLEKHA2/PTK2/KANK1/ACER2/CCL21/ECM2/ARHGAP6/GPM6B/CASK",73
