"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","125/1771","448/11214",0.279017857142857,1.76674548277809,7.1726269247552,2.16352251103852e-11,3.51572408043759e-08,3.13369155283053e-08,"ARHGEF10L/CAPZB/FNBP1L/RASAL2/CDC42BPA/OBSCN/RHOU/MTR/NET1/ARHGAP21/ABI1/ANKRD26/MPP7/ARHGAP12/ARHGAP22/RHOBTB1/DLG5/SH3PXD2A/SWAP70/RRAS2/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/ARHGEF12/FGD4/AMIGO2/SENP1/RACGAP1/SRGAP1/FRS2/CIT/SPATA13/STARD13/EPSTI1/DIAPH3/DOCK9/ARHGEF7/DAAM1/PLEKHG3/ACTN1/CYFIP1/TMOD3/UACA/PEAK1/AKAP13/IQGAP1/ABR/ANKFY1/ARHGAP23/ARHGAP27/MSI2/TEX2/ROCK1/PKN1/SHKBP1/ARHGEF1/ARHGAP35/ROCK2/RHOB/ITSN2/CCDC88A/VRK2/ARHGAP25/CCT7/NCK2/ARHGAP15/FMNL2/PKP4/CHN1/NCKAP1/CUL3/DOCK10/ELMO2/PREX1/TIAM1/BCR/RAC2/CDC42EP1/ARFGAP3/ARHGAP8/SRGAP3/RHOA/KALRN/PLXNA1/PLXND1/ARHGEF26/PLD1/PIK3CA/PCDH7/FAM13A/ARHGAP10/SH3RF1/TRIO/BASP1/ERBIN/PIK3R1/ARHGEF28/IQGAP2/LMNB1/DIAPH1/ARHGAP26/GFOD1/LRRC1/DST/FILIP1/MYO6/ARHGAP18/PLEKHG1/AKAP12/TIAM2/NOX3/NIPSNAP2/BAIAP2L1/DOCK4/ARHGEF10/DLC1/DOCK5/DOCK8/TJP2/ARHGAP6/MOSPD2/STARD8/DOCK11",125
"R-HSA-1474244","Extracellular matrix organization","91/1771","321/11214",0.283489096573209,1.79505744154261,6.25882009167585,5.32754721034132e-09,4.32863210840232e-06,3.8582657691735e-06,"PLOD1/HSPG2/COL9A2/COL24A1/COL11A1/F11R/DDR2/TNN/TNR/COLGALT2/CAPN8/NID1/COL13A1/LOXL4/SH3PXD2A/CD44/MMP1/MMP3/NCAM1/ADAMTS8/JAM3/VWF/MFAP5/LUM/COL4A1/COL4A2/NID2/BMP4/ACTN1/FBLN5/THBS1/CAPN3/FBN1/ITGA11/FURIN/CDH1/ADAMTS18/MFAP4/ITGB3/PECAM1/P4HB/LAMA3/DTNA/LTBP4/PXDN/ADAM17/DTNB/CAPN13/LTBP1/EFEMP1/COL5A2/FN1/MMP24/MATN4/COL9A3/APP/ADAMTS1/COL6A1/COL6A2/PDGFB/ADAMTS9/CD47/ITGB5/COL6A5/P3H2/KDR/FGF2/VCAN/CAST/LOX/FBN2/SGCD/ADAMTS2/DDR1/SCUBE3/DST/COL12A1/LAMA2/UTRN/COL1A2/PCOLCE/SERPINE1/SGCZ/LOXL2/SDC2/SNTB1/COL22A1/MUSK/COL27A1/TNC/CASK",91
"R-HSA-9013149","RAC1 GTPase cycle","59/1771","185/11214",0.318918918918919,2.01939963679094,6.05448861931237,3.04438236108616e-08,1.39543375396313e-05,1.24380038571872e-05,"CDC42BPA/ARHGAP21/ABI1/MPP7/ARHGAP12/ARHGAP22/SWAP70/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/AMIGO2/RACGAP1/SRGAP1/CIT/SPATA13/DIAPH3/DOCK9/ARHGEF7/PLEKHG3/CYFIP1/IQGAP1/ABR/ARHGAP23/ARHGAP27/PKN1/ARHGAP35/VRK2/ARHGAP25/ARHGAP15/CHN1/NCKAP1/DOCK10/PREX1/TIAM1/BCR/CDC42EP1/SRGAP3/KALRN/PLD1/PIK3CA/FAM13A/ARHGAP10/TRIO/ERBIN/PIK3R1/IQGAP2/ARHGAP26/PLEKHG1/TIAM2/NOX3/BAIAP2L1/DOCK4/ARHGEF10/DLC1/DOCK5/DOCK8/DOCK11",59
"R-HSA-8980692","RHOA GTPase cycle","50/1771","147/11214",0.340136054421769,2.15374687424377,6.09774763826019,3.43491385590925e-08,1.39543375396313e-05,1.24380038571872e-05,"ARHGEF10L/OBSCN/NET1/ARHGAP21/ARHGAP22/ARHGAP1/ARAP1/ARHGAP42/ARHGAP20/ARHGEF12/RACGAP1/SRGAP1/CIT/STARD13/DIAPH3/ARHGEF7/DAAM1/PLEKHG3/AKAP13/IQGAP1/ABR/ARHGAP23/TEX2/ROCK1/PKN1/ARHGEF1/ARHGAP35/ROCK2/PREX1/TIAM1/BCR/ARHGAP8/RHOA/KALRN/PLD1/PCDH7/FAM13A/ARHGAP10/TRIO/ERBIN/PIK3R1/ARHGEF28/DIAPH1/ARHGAP26/ARHGAP18/ARHGEF10/DLC1/TJP2/ARHGAP6/STARD8",50
"R-HSA-9013026","RHOB GTPase cycle","30/1771","70/11214",0.428571428571429,2.71372106154715,6.22850474083664,5.99291364272991e-08,1.94769693388722e-05,1.7360524573466e-05,"ARHGEF10L/NET1/ARHGAP21/ARHGAP1/ARHGEF12/RACGAP1/CIT/STARD13/DIAPH3/DAAM1/AKAP13/ABR/ROCK1/PKN1/ARHGEF1/ARHGAP35/ROCK2/RHOB/PREX1/BCR/PCDH7/ERBIN/PIK3R1/ARHGEF28/DIAPH1/ARHGAP26/ARHGEF10/DLC1/TJP2/STARD8",30
"R-HSA-373755","Semaphorin interactions","28/1771","65/11214",0.430769230769231,2.72763757981149,6.04932001513569,1.44496411091832e-07,3.91344446707045e-05,3.48819406425194e-05,"PLXNA2/NRP1/PAK1/ARHGEF12/PLXNC1/SEMA6D/MYH11/ROCK1/ARHGAP35/RRAS/ROCK2/RHOB/MYH9/RHOA/PLXNA1/PLXND1/CRMP1/SEMA5A/SEMA6A/DPYSL3/FYN/LIMK1/SEMA3E/SEMA3A/PLXNA4/DPYSL2/CD72/SEMA4D",28
"R-HSA-9013106","RHOC GTPase cycle","30/1771","74/11214",0.405405405405405,2.56703343659865,5.85688537588399,2.65510063389273e-07,6.1636264715367e-05,5.49386236426526e-05,"ARHGEF10L/ARHGAP21/ARHGAP1/ARHGEF12/RACGAP1/CIT/STARD13/DIAPH3/DAAM1/AKAP13/IQGAP1/ABR/ROCK1/PKN1/ARHGEF1/ARHGAP35/ROCK2/FMNL2/PREX1/BCR/RHOA/ERBIN/PIK3R1/ARHGEF28/DIAPH1/ARHGAP26/ARHGAP18/ARHGEF10/DLC1/TJP2",30
"R-HSA-9013148","CDC42 GTPase cycle","48/1771","154/11214",0.311688311688312,1.97361531748884,5.26848067783617,1.22480303983103e-06,0.000248788117465679,0.000221753813527303,"FNBP1L/CDC42BPA/ARHGAP21/ARHGAP22/SH3PXD2A/ARHGAP1/ARAP1/PAK1/ARHGAP42/ARHGAP20/ARHGEF12/FGD4/RACGAP1/SRGAP1/SPATA13/STARD13/DIAPH3/DOCK9/ARHGEF7/DAAM1/PLEKHG3/IQGAP1/ABR/ARHGAP27/SHKBP1/ARHGAP35/FMNL2/CHN1/DOCK10/PREX1/TIAM1/BCR/CDC42EP1/ARFGAP3/SRGAP3/ARHGEF26/PLD1/ARHGAP10/TRIO/PIK3R1/IQGAP2/ARHGAP26/PLEKHG1/ARHGEF10/DLC1/DOCK8/STARD8/DOCK11",48
"R-HSA-76002","Platelet activation, signaling and aggregation","71/1771","262/11214",0.270992366412214,1.71592794858643,5.07795025134827,1.63608243394628e-06,0.000295403772795857,0.000263304026796501,"GNB1/PRKCZ/CAP1/TAGLN2/F5/VCL/ADRA2A/IGF2/DGKZ/FERMT3/ARRB1/TRPC6/VWF/ITPR2/RAPGEF3/RAP1B/PRKCH/ACTN1/RASGRP1/THBS1/PRKCB/LAT/PIK3R5/ITGB3/PECAM1/RAB27B/TMX3/GNA11/GNG8/RHOB/PRKCE/CALM2/RAPGEF4/OLA1/FN1/DGKD/ABHD12/APP/MAPK1/RAC2/PDGFB/RHOA/MANF/MGLL/TF/PIK3CB/P2RY1/PIK3CA/ADRA2C/PCDH7/VEGFC/PIK3R1/F2R/LHFPL2/PCYOX1L/FYN/DAGLB/DGKB/GNAI1/GNAT3/CD36/COL1A2/GNB2/SERPINE1/DGKI/LYN/YWHAZ/PTK2/GNA14/GNAQ/HABP4",71
"R-HSA-194138","Signaling by VEGF","35/1771","108/11214",0.324074074074074,2.05204216073781,4.75752834633002,1.2861384954606e-05,0.00208997505512347,0.00186287007342504,"PRKCZ/PRKACB/SH2D2A/MAPKAPK2/AKT3/ABI1/NRP1/HRAS/PAK1/ITPR2/FLT1/CYFIP1/PRKCB/ITGB3/ROCK1/AXL/ROCK2/CALM2/NCK2/NCKAP1/NRP2/ELMO2/RHOA/PIK3CB/PIK3CA/KDR/VEGFC/PIK3R1/RASA1/CTNNA1/FLT4/FYN/NOS3/PTK2/MAPKAP1",35
"R-HSA-416700","Other semaphorin interactions","11/1771","19/11214",0.578947368421053,3.66590389016018,5.03644895563702,3.25218520065404e-05,0.0048043645009662,0.00428230319244015,"PLXNA2/PLXNC1/SEMA6D/PLXNA1/PLXND1/SEMA5A/SEMA6A/SEMA3E/PLXNA4/CD72/SEMA4D",11
"R-HSA-5683057","MAPK family signaling cascades","76/1771","311/11214",0.244372990353698,1.5473736385242,4.23941823278683,4.10953105316386e-05,0.00556498996782605,0.00496027607820479,"AGO3/JAK1/PRKACB/RASAL2/RGL1/IL2RA/RASGEF1A/VCL/HRAS/RCE1/ARRB1/PAK1/NCAM1/VWF/DUSP16/RAP1B/FRS2/FOXO1/RASA3/PSMA6/PPP2R5E/SPTB/PPP2R5C/MARK3/RASGRP1/MAPK6/MAP2K1/ABHD17C/IQGAP1/TNRC6A/LAT/UBB/KSR1/NF1/ITGB3/TNRC6C/GRIN2D/RASGRP3/CALM2/ERBB4/FN1/CUL3/PSMD1/NCOA3/MAPK1/PDGFB/KALRN/PIK3CB/RASA2/PIK3CA/DLG1/EREG/AREG/FGF5/CAMK2D/FGF2/RAPGEF2/PIK3R1/RASA1/CSF2/FGF1/CAMK2A/SYNGAP1/FYN/IL6/GFRA2/NEFL/NRG1/LYPLA1/ANGPT1/PTK2/SHC3/PTPN3/DAB2IP/DLG3/FGF16",76
"R-HSA-112316","Neuronal System","95/1771","410/11214",0.231707317073171,1.46717439506411,4.17343707043497,4.54725167925368e-05,0.0056840645990671,0.00506641158757333,"GNB1/KCNAB2/PRKACB/KCNN3/CACNA1E/SYT2/KCNH1/KCNK2/CHAT/KCNMA1/HRAS/AP2A2/KCNJ11/ABCC8/SLC1A2/SHANK2/PPFIBP1/SLC38A1/TUBA1C/GRIP1/MDM2/SYT1/PPFIA2/NBEA/SLITRK6/ARHGEF7/KCNH5/SIPA1L1/BEGAIN/GABRG3/APBA2/NPTN/PRKCB/KPNA2/EPB41L3/GRIK5/GNG8/GRIN2D/KCNA7/PPFIA3/SHANK1/KCNF1/CALM2/LRRTM1/EPB41L5/GLS/ERBB4/PLCB1/EPB41L1/DLGAP4/KCNG1/MAPK1/SYN3/CACNG2/ADCY5/KCNAB1/BCHE/NLGN1/DLG1/CHRNA9/GABRA2/GABRA4/CAMK2D/GLRB/GRIA2/HCN1/HOMER1/CAMK4/CAMK2A/GLRA1/GRIA1/KCNK17/RIMS1/KCNQ5/MYO6/GRIK2/EPB41L2/SLC22A1/RPS6KA2/PRKAR1B/ADCY1/GNAI1/GNAT3/CACNA2D1/GNB2/PRKAR2B/KCNH2/PRKAG2/NEFL/NRG1/NCALD/PTPRD/APBA1/CASK/DLG3",95
"R-HSA-112040","G-protein mediated events","21/1771","56/11214",0.375,2.37450592885375,4.46542345568696,6.48982299796798e-05,0.00753283026549855,0.00671428304150672,"PRKACB/ITPR2/NBEA/KPNA2/GNA11/CALM2/PLCB1/PLCB4/MAPK1/ADCY5/CAMK2D/CAMK4/CAMK2A/PRKAR1B/PDE1C/ADCY1/GNAI1/GNAT3/PRKAR2B/GNA14/GNAQ",21
"R-HSA-5673001","RAF/MAP kinase cascade","66/1771","266/11214",0.24812030075188,1.57110166721151,4.08227303940126,7.95241749443343e-05,0.00861511895230288,0.00767896594550204,"JAK1/RASAL2/RGL1/IL2RA/RASGEF1A/VCL/HRAS/RCE1/ARRB1/NCAM1/VWF/DUSP16/RAP1B/FRS2/RASA3/PSMA6/PPP2R5E/SPTB/PPP2R5C/MARK3/RASGRP1/MAP2K1/ABHD17C/IQGAP1/LAT/UBB/KSR1/NF1/ITGB3/GRIN2D/RASGRP3/CALM2/ERBB4/FN1/CUL3/PSMD1/MAPK1/PDGFB/PIK3CB/RASA2/PIK3CA/DLG1/EREG/AREG/FGF5/CAMK2D/FGF2/RAPGEF2/PIK3R1/RASA1/CSF2/FGF1/CAMK2A/SYNGAP1/FYN/GFRA2/NEFL/NRG1/LYPLA1/ANGPT1/PTK2/SHC3/PTPN3/DAB2IP/DLG3/FGF16",66
"R-HSA-5684996","MAPK1/MAPK3 signaling","67/1771","272/11214",0.246323529411765,1.55972448267845,4.04692911293721,8.91643929149001e-05,0.00905575865541954,0.00807172399019096,"JAK1/RASAL2/RGL1/IL2RA/RASGEF1A/VCL/HRAS/RCE1/ARRB1/NCAM1/VWF/DUSP16/RAP1B/FRS2/RASA3/PSMA6/PPP2R5E/SPTB/PPP2R5C/MARK3/RASGRP1/MAP2K1/ABHD17C/IQGAP1/LAT/UBB/KSR1/NF1/ITGB3/GRIN2D/RASGRP3/CALM2/ERBB4/FN1/CUL3/PSMD1/MAPK1/PDGFB/PIK3CB/RASA2/PIK3CA/DLG1/EREG/AREG/FGF5/CAMK2D/FGF2/RAPGEF2/PIK3R1/RASA1/CSF2/FGF1/CAMK2A/SYNGAP1/FYN/IL6/GFRA2/NEFL/NRG1/LYPLA1/ANGPT1/PTK2/SHC3/PTPN3/DAB2IP/DLG3/FGF16",67
