"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","138/3680","203/9436",0.679802955665025,1.74310344827586,8.55776480955797,3.02318204353247e-17,1.04904416910577e-14,5.63266549163418e-15,"5293/998/1298/3725/10451/5906/63923/7143/3915/3918/4660/3914/824/10000/8516/3688/5599/7414/1793/3265/55742/595/5058/894/7450/2012/3679/4659/3479/4633/5829/2321/1282/1284/394/6655/87/5228/207/7057/56924/399694/83660/5604/22801/5923/3480/2013/5579/5595/91807/9564/1398/2064/3674/3690/3675/1277/5578/3691/10627/103910/284217/3909/596/7409/81/2909/54776/9475/6654/3694/3655/2335/1286/1293/85366/10398/6714/3911/1299/1291/1292/1399/5594/5880/5155/859/5894/3680/1499/387/2317/2932/4638/3693/256076/131873/5291/5290/5062/5156/3791/5602/1950/56034/3672/3673/5295/1729/5159/5601/2324/7148/7422/1297/2534/3910/3908/7058/60/5879/1956/1278/93408/5649/3912/857/4233/7791/5747/8395/53358/3371/10319/2889/7410/331",138
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","70/3680","93/9436",0.752688172043011,1.92999064983637,7.20628362299494,9.96104278997373e-13,1.72824092406044e-10,9.27949775697552e-11,"998/5792/5906/81607/56288/29119/7414/10580/6934/283106/5795/1500/5818/5787/4633/10810/4008/87/7082/4088/8826/3480/1387/5595/1459/1003/999/2064/64750/7525/10627/103910/5797/4089/3643/81/5819/9475/1496/83439/9855/1457/10398/6714/6615/5770/5594/5880/7048/1499/387/57493/2241/1495/6885/2534/4301/55698/60/5879/83605/1956/889/57154/93408/4233/2260/6591/7046/7454",70
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","143/3680","233/9436",0.613733905579399,1.57369378615413,7.08970009713989,2.38819868150355e-12,2.76234980827244e-10,1.48319707588115e-10,"375790/2023/832/3339/127294/84676/1298/255631/1301/29765/7170/480/7139/7135/25802/3930/84033/4811/88/56776/8516/7431/10529/3688/118461/288/7414/11155/27063/9124/26287/6712/8082/91010/3679/1466/1634/4604/4633/81624/1282/1284/22795/23002/23224/161176/64423/7057/825/2200/29767/29766/83660/7168/22801/4629/6645/4628/8735/4621/3728/3674/752/4635/3690/3675/1277/3691/8736/284217/1829/1837/57731/79784/6382/6711/72/2274/4703/114793/3694/129446/3655/1281/1290/2335/1286/1293/6640/10398/6385/1299/1291/1292/4627/25777/2192/2199/79188/3680/165904/7134/22989/3693/256076/131873/10611/287/171024/27295/3672/3673/1462/2201/1729/91977/6444/1832/1302/23500/1297/3908/23345/7058/23353/60/1278/8910/830/2318/7791/9172/137868/64236/84675/6383/6641/5339/7111/85301/1289/1756/2273",143
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","141/3680","232/9436",0.607758620689655,1.55837237631184,6.88516070081093,9.6819781855468e-12,7.04260814512217e-10,3.78140950003526e-10,"5293/998/6548/731/732/55970/10451/128239/4660/55740/10000/8516/5305/3688/6387/7414/1793/3265/22800/1072/2249/5058/23365/3845/3679/4659/54434/4633/5829/221178/81624/8874/1073/6655/87/624/623/207/23191/1133/56924/5604/22801/8826/4629/5595/3684/3687/3681/91807/9564/1398/3682/4628/28964/85464/8396/3674/3690/3675/10672/3691/10627/103910/5605/7409/81/9138/2909/6237/79784/54776/9475/81553/6654/10097/50649/7852/3694/3655/10152/200576/2335/85366/10398/6714/7074/1399/5594/4627/5880/5155/5894/3680/387/4638/3693/22808/5291/5217/5290/5062/5156/2250/1950/2247/56034/730/729/3672/3673/5295/10788/2149/324/1729/2246/5159/26999/2768/60/5879/85477/1956/3984/10095/93408/653857/2260/51571/5747/8395/89846/1902/2934/81873/7410/7114/4478/8823/9459",141
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","131/3680","212/9436",0.617924528301887,1.58443908941756,6.88148246720712,1.0147850353202e-11,7.04260814512217e-10,3.78140950003526e-10,"5590/5293/1969/5909/998/23566/10451/2773/1435/5906/260425/4803/125467750/83593/55740/57568/10000/3688/56288/51196/3265/1500/2249/1813/3845/10411/4254/3479/2321/5587/26037/5228/801/51466/207/7057/83660/5604/3480/115/2903/5579/27040/5595/3684/2775/999/9564/1398/136/5606/3674/3690/8631/5578/5605/7409/3643/9002/23094/25865/6237/2357/109/25780/5899/11069/9855/23236/5332/6714/5335/2778/7074/1399/5594/135/5880/5155/5894/1499/387/111/22808/5291/5217/5028/5584/5290/5156/3791/2250/1950/2247/56034/9693/2533/5295/2149/1946/51735/64411/2246/1436/5159/2324/5603/7422/4301/60/5879/9771/5898/107/1956/9863/2770/889/9732/4233/285/2260/284/114/7010/2776/1902/2889/7410/2902/8823",131
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","116/3680","184/9436",0.630434782608696,1.61651701323251,6.75259393231119,2.47644551367887e-11,1.43221098874428e-09,7.6900150161607e-10,"5590/5293/1969/998/2046/2048/22854/2773/125467750/23380/5362/55740/3688/8829/56288/6387/6585/57715/3983/3265/57689/1072/29984/5058/7225/23365/81029/3845/57522/10154/59277/54434/1073/56924/80031/4756/4917/5595/5336/85464/5578/10627/103910/1630/6237/9475/151449/56896/5534/10505/54910/8440/7852/659/2043/25791/10398/6714/5335/4773/655/5594/5880/23654/9901/5894/387/7869/7474/6092/6091/2042/91653/2932/54437/5361/2047/5291/5290/2049/5062/84448/9353/658/8633/5530/817/7222/9037/5295/1946/57556/22885/815/6586/90249/2534/5879/3984/2770/10512/9723/10371/223117/4233/91584/2041/6469/1808/137970/5747/10507/5727/5998/25/84628",116
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","124/3680","204/9436",0.607843137254902,1.55858908780904,6.44902561834688,1.72533187797106e-10,8.55271659508511e-09,4.59223672783274e-09,"5293/2475/3339/998/6548/5567/10451/356/4660/7042/89780/10000/3688/288/5328/355/51196/60495/27250/3265/3481/22800/960/595/2017/5058/23365/81029/3845/3709/1975/4193/10818/4659/4060/1634/3479/5829/6655/207/388112/7057/5604/8826/3480/5579/5595/5336/2064/6774/2535/7473/7484/3690/1277/406991/1655/5578/4087/5605/7409/7040/9138/5329/6237/54776/9475/6382/6654/8324/2066/2335/117581/2817/6714/5335/6385/4318/7074/5594/7078/3708/859/5894/1499/387/7474/3059/3693/22808/5291/5290/3791/10855/287/817/2247/2549/29102/3673/5295/815/5603/7422/2099/60/5879/1956/8326/8321/1278/857/4233/51384/6469/2260/286/6383/5747/6194/1514/5727/7410/4478",124
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","168/3680","300/9436",0.56,1.43591304347826,6.1350331696339,1.0714612007217e-09,4.64746295813039e-08,2.49537674378607e-08,"1969/998/3925/6195/8569/3725/1647/55970/5567/1435/5906/4803/125467750/4914/3310/356/777/5321/2005/9261/7042/11221/10000/783/1326/5979/5599/355/4791/1847/3265/3481/22800/8986/4296/2249/408/5058/775/4908/7132/80824/3845/51135/3164/7786/4254/1848/3479/2322/2321/6655/4293/5228/2353/7043/207/10125/123745/283748/5604/5607/5923/3480/8912/23162/5579/10368/9344/5595/1398/6416/5606/4763/2064/1845/9020/4137/5578/27091/27092/786/5605/3643/773/3727/7040/5536/8605/4909/6237/59285/25780/6654/8491/5495/5534/9448/3554/3553/10746/51776/1386/2066/6789/1399/5594/5880/5155/10454/468/8911/5894/7048/9254/7867/1849/776/22808/5922/2122/9175/3556/5062/5156/3791/2069/374/2250/5602/5530/1950/2247/56034/9693/5924/4208/1946/2246/1436/5159/5601/2324/1616/5603/6722/7422/6885/4217/23118/6196/2768/5879/1956/781/4233/285/1846/2260/3551/6788/284/7010/4915/7046/6197/8823/27330",168
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","141/3680","253/9436",0.557312252964427,1.42902130950335,5.53071527829527,3.59069412628896e-08,1.38441206869141e-06,7.43336678775608e-07,"5293/2475/998/3725/11146/54874/7188/824/375/441925/440738/10000/3688/5599/7321/3098/7414/51196/8945/1793/664/960/2017/472/7132/3709/440093/4193/7334/4633/643246/5829/2308/4792/22863/87/207/83660/5595/9564/5336/1398/7314/8678/113026/10241/55062/10801/9267/57521/10627/103910/5289/596/718/81/2931/9266/581/3661/9475/58484/5581/10097/3099/3554/3553/84812/55054/4735/10616/23236/5332/598/84557/10398/6714/5335/63916/7335/1399/5594/10454/9978/55964/3708/387/5580/2932/3059/5291/5217/5290/3576/55752/5602/7323/92610/5295/831/1437/7416/6500/7322/1729/10318/23291/5601/8737/8350/8351/8353/8357/8354/5603/6885/9474/2309/23118/26100/60/9265/5879/54205/11335/10392/989/9844/51619/1956/10095/93408/8454/653857/3551/7336/8767/5747/3456/81873/23048",141
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","60/3680","89/9436",0.674157303370786,1.72862725940401,5.52203005378498,4.79450317439839e-08,1.46311684337077e-06,7.85595878284925e-07,"375790/3339/1298/63923/7143/3915/3918/3914/8516/3688/960/7450/3679/1282/1284/7057/22801/9899/2811/3674/3690/3675/1277/3691/284217/3909/6382/3694/3655/2335/1286/1293/6385/3911/1299/1291/1292/3680/961/3693/256076/131873/2814/80144/56955/255743/3672/3673/22987/7148/1297/3910/3908/7058/948/1278/5649/3912/3371/10319",60
