"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","289/7134","487/18805",0.593429158110883,1.56426062773692,9.86376780138564,2.92965018374277e-22,1.86472234195227e-18,1.29027961776629e-18,"PLEKHG5/MFN2/PDPN/ARHGEF10L/RAP1GAP/CDC42/EPHB2/STMN1/PHACTR4/DHCR24/DAB1/DOCK7/DIRAS3/SSX2IP/BCAR3/VAV3/EPS8L3/CSF1/NGF/NOTCH2/ARHGEF2/IQGAP3/NTRK1/F11R/ABL2/RGL1/SRGAP2/TGFB2/OBSCN/RHOU/RAB4A/SIPA1L2/NET1/GDI2/ARHGAP21/ARHGAP12/ITGB1/NRP1/RASGEF1A/ARHGAP22/LIPA/PLCE1/DNMBP/GBF1/ARL3/SHOC2/ADRA2A/DOCK1/KNDC1/HRAS/RHOG/SWAP70/RRAS2/NUCB2/ARHGAP1/MADD/ARAP1/ARRB1/RAB30/PICALM/RAB38/ARHGAP42/RDX/ARHGAP20/ARHGEF12/CDON/RERG/EPS8/KRAS/FGD4/RAPGEF3/RACGAP1/ARHGEF25/RAB21/KITLG/PLEKHG7/IGF1/GIT2/KSR2/RAB35/SPATA13/STARD13/KBTBD7/SPRY2/RAP2A/DOCK9/ARHGEF7/MCF2L/RASA3/ARHGAP5/FERMT2/RHOJ/PLEKHG3/SIPA1L1/CCDC88C/CYFIP1/RASGRP1/CGNL1/DENND4A/MYO9A/RASGRF1/AKAP13/ARHGAP17/LAT/KCTD13/ADGRG1/RRAD/RIPOR1/CDH13/ABR/CRK/RAP1GAP2/ARHGAP44/KSR1/NF1/ARHGAP23/NGFR/ITGA3/GNA13/CDC42EP4/CYTH1/ARHGAP28/RAB12/RALBP1/MAPRE2/VAV1/ARHGEF18/KANK2/RGL3/GARRE1/ARHGAP33/SIPA1L3/ARHGEF1/GPR4/ARHGAP35/CYTH2/RRAS/NUP62/YWHAQ/ROCK2/RHOB/RASGRP3/CDC42EP3/SOS1/RTN4/CCDC88A/ARHGAP25/RTKN/DOK1/MAP4K4/PSD4/ARHGEF4/ARHGAP15/RND3/RAPGEF4/CHN1/NCKAP1/COL3A1/ABI2/PLCD4/CUL3/DOCK10/NGEF/FARP2/RIN2/RALGAPA2/TGM2/RALGAPB/ARHGAP40/PREX1/ARFGEF2/TIAM1/ITSN1/RTN4R/BCR/RGL4/RAC2/CDC42EP1/GRAP2/ARHGAP8/CELSR1/SRGAP3/RAF1/IQSEC1/FGD5/NKIRAS1/RHOA/RASSF1/ARHGEF3/ROBO1/ARHGAP31/RABL3/KALRN/MRAS/PIK3CB/RASA2/AGTR1/PLD1/ECT2/TNK2/SLIT2/RHOH/G3BP2/USO1/RASGEF1B/ARHGAP24/FAM13A/FGF2/ARHGAP10/RAPGEF2/PLEKHG4B/TRIO/ARHGEF28/F2R/F2RL1/RASGRF2/CDC42SE2/RAPGEF6/SPRY4/ARHGAP26/CSNK1A1/DOCK2/DOK3/SQSTM1/RASGEF1C/RIPOR2/SYNGAP1/DEF6/CDKN1A/FGD2/HACE1/WASF1/ARHGAP18/PLEKHG1/TIAM2/CYTH3/RAPGEF5/CHN2/ADCYAP1R1/ELMO1/RALA/TNS3/RABGEF1/AUTS2/LIMK1/KRIT1/COL1A2/RELN/PIK3CG/DOCK4/MET/ARHGEF10/PRAG1/DLC1/PSD3/DOCK5/CYRIB/DENND3/DOCK8/KANK1/TEK/SEMA4D/FGD3/ABCA1/LPAR1/DAB2IP/DENND1A/SCAI/MAPKAP1/RALGPS1/GARNL3/SH2D3C/ABL1/RAPGEF1/VAV2/NOTCH1/ARHGAP6/CDKL5/IQSEC2/FGD1/STARD8/OGT/CHM/RAB9B/AMOT/DOCK11/RAP2C/MCF2/RAB39B",289
"GO:0051056","regulation of small GTPase mediated signal transduction","191/7134","303/18805",0.63036303630363,1.66161717096857,9.07729360903967,4.59890599292892e-19,1.46360183224963e-15,1.01272750917971e-15,"PLEKHG5/MFN2/ARHGEF10L/RAP1GAP/EPHB2/STMN1/DOCK7/SSX2IP/VAV3/EPS8L3/CSF1/NGF/NOTCH2/ARHGEF2/NTRK1/F11R/ABL2/SRGAP2/TGFB2/OBSCN/RHOU/SIPA1L2/NET1/ARHGAP21/ARHGAP12/ITGB1/NRP1/RASGEF1A/ARHGAP22/DNMBP/GBF1/SHOC2/SWAP70/ARHGAP1/MADD/ARAP1/ARRB1/PICALM/ARHGAP42/RDX/ARHGAP20/ARHGEF12/CDON/EPS8/KRAS/FGD4/RACGAP1/ARHGEF25/KITLG/IGF1/GIT2/SPATA13/STARD13/KBTBD7/SPRY2/DOCK9/MCF2L/RASA3/ARHGAP5/FERMT2/PLEKHG3/SIPA1L1/RASGRP1/CGNL1/DENND4A/MYO9A/RASGRF1/AKAP13/ARHGAP17/KCTD13/ADGRG1/RIPOR1/ABR/CRK/RAP1GAP2/ARHGAP44/NF1/ARHGAP23/ITGA3/GNA13/CYTH1/ARHGAP28/RALBP1/MAPRE2/VAV1/ARHGEF18/KANK2/SIPA1L3/ARHGEF1/GPR4/ARHGAP35/CYTH2/NUP62/SOS1/RTN4/ARHGAP25/MAP4K4/PSD4/ARHGEF4/ARHGAP15/CHN1/COL3A1/CUL3/DOCK10/NGEF/RALGAPA2/TGM2/RALGAPB/ARHGAP40/PREX1/ARFGEF2/TIAM1/ITSN1/RTN4R/BCR/ARHGAP8/SRGAP3/RAF1/IQSEC1/FGD5/ARHGEF3/ROBO1/ARHGAP31/RABL3/KALRN/PIK3CB/RASA2/ECT2/SLIT2/ARHGAP24/FAM13A/ARHGAP10/PLEKHG4B/TRIO/ARHGEF28/F2R/F2RL1/RASGRF2/CDC42SE2/SPRY4/ARHGAP26/CSNK1A1/DOCK2/SQSTM1/RIPOR2/SYNGAP1/DEF6/FGD2/ARHGAP18/PLEKHG1/TIAM2/CYTH3/CHN2/ADCYAP1R1/TNS3/RABGEF1/AUTS2/RELN/PIK3CG/MET/ARHGEF10/PRAG1/DLC1/PSD3/CYRIB/DENND3/DOCK8/KANK1/TEK/SEMA4D/FGD3/ABCA1/LPAR1/DAB2IP/DENND1A/SCAI/MAPKAP1/RALGPS1/GARNL3/ABL1/VAV2/NOTCH1/ARHGAP6/CDKL5/IQSEC2/FGD1/STARD8/OGT/AMOT/DOCK11/MCF2",191
"GO:0007015","actin filament organization","260/7134","463/18805",0.561555075593952,1.48024154703452,8.18021125555043,6.92304693618946e-16,1.4688397916282e-12,1.01635187301813e-12,"MTOR/ARHGEF10L/CAPZB/CDC42/LUZP1/ASAP3/STMN1/SLC9A1/CAP1/KANK4/CNN3/TPM3/ARHGEF2/IQGAP3/KIRREL1/TAGLN2/F11R/RGS4/LMOD1/ENAH/RHOU/ACTA1/ACTN2/FMN2/FAM171A1/NEBL/ABI1/SVIL/ARHGAP12/NRP1/CXCL12/RHOBTB1/PDLIM1/SORBS1/NRAP/RNH1/RHOG/SWAP70/MICAL2/USH1C/GAS2/TTC17/SPTBN2/CORO1B/PPFIA1/CTTN/ARAP1/FCHSD2/ARRB1/PAK1/RDX/EPS8/RAPGEF3/LIMA1/PAWR/GAS2L3/CORO1C/SSH1/TRPV4/PXN/HIP1R/RFLNA/WASF3/DIAPH3/ANG/FERMT2/RHOJ/SPTB/ACTN1/TGFB3/TTC8/ASB2/EVL/INF2/CYFIP1/TJP1/FMN1/TMOD2/TMOD3/MYO5C/MYO5A/CGNL1/MYO1E/TPM1/KBTBD13/SMAD3/CORO2B/BBS4/WHAMM/IQGAP1/CORO7/ARHGAP17/KCTD13/CARMIL2/BCAR1/SPIRE2/TRPV3/MYO15A/SSH2/MYO1D/CCL11/MYO19/PPM1E/CDC42EP4/ARHGAP28/SPIRE1/MYO5B/BCL2/CNN2/TLE6/ARHGEF18/MYO1F/DNM2/KANK2/CNN1/NPHS1/SPTBN4/ARHGAP35/SHANK1/ITGB1BP1/ROCK2/CYRIA/RHOB/CDC42EP3/PLEKHH2/PRKCE/SPTBN1/CCDC88A/ARHGAP25/ADD2/ALMS1/CTNNA2/CAPG/NCK2/ACTR3/CLASP1/BIN1/MYO7B/ZEB2/RND3/NEB/XIRP2/WIPF1/NCKAP1/MYO1B/TMEFF2/ABI2/CUL3/ESPNL/DSTN/ARHGAP40/ELMO2/PREX1/MICAL3/GAS2L1/NF2/RAC2/CDC42EP1/TRIOBP/PICK1/SHANK3/CAV3/CLASP2/MIR138-1/RHOA/PRKCD/FAM107A/CD47/PHLDB2/HCLS1/ITGB5/TF/NCK1/PLS1/CLRN1/PRKCI/PIK3CA/PAK2/DLG1/ADD1/WDR1/SLIT2/RHOH/LIMCH1/CRACD/RUFY3/SHROOM3/AP1AR/SYNPO2/ARFIP1/FAT1/SEMA5A/RICTOR/PIK3R1/IQGAP2/F2RL1/JMY/DIAPH1/FCHSD1/DPYSL3/PPARGC1B/SYNPO/DBN1/NEDD9/PHACTR1/CAP2/TRIM27/PACSIN1/DAAM2/WASF1/MARCKS/ARHGAP18/SNX9/PRKN/MICALL2/FSCN1/SCIN/WIPF3/ELMO1/MYO1G/COBL/ELN/LIMK1/CCL26/PPP1R9A/BAIAP2L1/ARPC1B/MET/CAPZA2/CALD1/MTPN/ZYX/EPHA1/ARHGEF10/DLC1/DMTN/SORBS3/PTK2B/MTSS1/WASHC5/CYRIB/PLEC/KANK1/JAK2/CCL21/TMOD1/LPAR1/GSN/ARPC5L/ABL1/TSC1/SHROOM2/ARHGAP6/SH3KBP1/SHROOM4/TMSB15A/PAK3/AMOT/PLS3/FLNA",260
"GO:0031589","cell-substrate adhesion","211/7134","361/18805",0.584487534626039,1.54069078898832,8.10984688152805,1.34012055781877e-15,2.13246683762912e-12,1.4755432668194e-12,"PRKCZ/PDPN/CDC42/SLC9A1/COL16A1/MACF1/ANGPTL3/CCN1/VCAM1/CSF1/TNN/LAMC1/SRGAP2/CD34/DISC1/NID1/ACTN2/ITGA8/RSU1/ITGB1/NRP1/COL13A1/PLAU/VCL/SORBS1/LDB1/COL17A1/DOCK1/ILK/AKIP1/LYVE1/PARVA/CD44/HSD17B12/PTPRJ/FERMT3/PPFIA1/CTTN/MMP12/THY1/TECTA/JAM3/VWF/PTPRO/ACVRL1/ITGA5/ITGA7/NTN4/CORO1C/PXN/ITGBL1/ARHGEF7/GAS6/NID2/FERMT2/ACTN1/FBLN5/GREM1/FMN1/THBS1/ANXA2/SMAD6/SMAD3/ITGA11/CORO2B/PEAK1/WHAMM/OTOA/TAOK2/ITGAM/ITGAX/ITGAD/CDH11/CDH13/CRK/ITGAE/MINK1/C1QBP/VTN/NF1/SRCIN1/ITGA2B/ITGB3/SKAP1/ITGA3/COL1A1/ITGB4/P4HB/TBCD/ONECUT2/BCL2/ACTN4/AXL/LYPD3/RRAS/ITGB1BP1/ROCK2/PRKCE/WDPCP/ANTXR1/MAP4K4/LIMS1/MERTK/EPB41L5/CLASP1/ITGB6/ITGA6/ITGA4/COL3A1/FZD7/FN1/PTPRA/JAG1/RIN2/STK4/PREX1/PTPN1/CASS4/LAMA5/TIAM1/BCR/NF2/RAC2/TRIOBP/PDGFB/PARVB/FBLN1/FBLN2/CLASP2/ITGA9/CTNNB1/CSPG5/RHOA/DAG1/FAM107A/ADAMTS9/EPHA3/ABI3BP/CD96/PHLDB2/CCDC80/GSK3B/ITGB5/EPHB1/PIK3CB/EPHB3/ST6GAL1/APOD/BST1/LIMCH1/KDR/HPSE/NPNT/AP1AR/FGB/ADAMTS12/EGFLAM/DAB2/CCL28/ITGA1/ITGA2/PIK3R1/EDIL3/EFNA5/SPOCK1/SPRY4/FAT2/RREB1/GCNT2/NEDD9/TNXB/PPARD/PTPRK/UTRN/MICALL2/RADIL/MYO1G/CD36/SEMA3E/CDK6/SERPINE1/COL26A1/LAMB1/MKLN1/ZYX/EPHA1/ANGPT2/DLC1/DMTN/SORBS3/DOCK5/PTK2B/PLEKHA2/ADAM9/ANGPT1/PTK2/KANK1/JAK2/TEK/CCL21/TLN1/TMEM8B/ECM2/SVEP1/ABL1/TSC1/NOTCH1/ARHGAP6/GPM6B/CASK/FLNA",211
"GO:0010975","regulation of neuron projection development","250/7134","448/18805",0.558035714285714,1.4709646211302,7.88794868089333,6.795460011478e-15,8.6506205946115e-12,5.98572730274189e-12,"EPHB2/KDM1A/MACF1/MFSD2A/NRDC/DAB1/LRRC7/NEGR1/LPAR3/GFI1/SEMA6C/S100A9/SNAPIN/CHRNB2/NTRK1/DDR2/ADCY10/PRRX1/DNM3/TNN/TNR/ABL2/RGS2/SLC30A1/WNT3A/DISC1/CAMK1D/NRP1/RET/CXCL12/DKK1/ZNF365/ATOH7/BMPR1A/SLIT1/SHOC2/KNDC1/DENND5A/BDNF/PAX6/CAPRIN1/LRRC4C/MARK2/EHD1/MAP6/TSKU/PAK1/FAT3/THY1/ROBO3/FEZ1/PTPRO/CAPRIN2/DIP2B/ATF1/MDM2/RAB21/PLXNC1/TRPV4/CUX2/FBXW8/ATP8A2/SPART/MYCBP2/RAP2A/STK24/EFNB2/NFATC4/PRKD1/NIN/SIPA1L1/CYFIP1/SEMA6D/NEDD4/MAP2K1/NEO1/NPTN/PTPN9/MINAR1/NTRK3/IGF1R/NDRG4/CDH1/CRK/PAFAH1B1/NDEL1/ARHGAP44/PMP22/TRPV2/SARM1/SEZ6/SRCIN1/GRN/WNT3/ITGA3/TANC2/NEDD4L/STK11/PTPRS/CARM1/MAG/ARHGAP33/NOVA2/ARHGAP35/KIDINS220/PUM2/FKBP1B/DPYSL5/ALK/RTN4/CCDC88A/BCL11A/SEMA4F/CTNNA2/ITGA6/CHN1/NFE2L2/HECW2/CFLAR/BMPR2/ABI2/MAP2/FN1/EPHA4/NGEF/KIF1A/STK25/SNAP25/CBFA2T2/PREX1/PTPN1/ADNP/BMP7/CDH4/CHODL/TIAM1/RTN4R/KREMEN1/FBXO7/EP300/SHANK3/KAT2B/ULK4/TRAK1/RHOA/SEMA3F/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/GSK3B/PLXND1/RYK/NCK1/SHOX2/PRKCI/TNIK/NLGN1/EPHB3/MAP3K13/DGKG/PAK2/GAK/CRMP1/CD38/SLIT2/RUFY3/PAQR3/SPP1/GRID2/PDLIM5/PPP3CA/MGARP/SMAD1/POU4F2/RAPGEF2/TENM3/SEMA5A/DAB2/MAP1B/ENC1/ARSB/NR2F1/EFNA5/FSTL4/SPOCK1/DPYSL3/FBXO38/DBN1/DTNBP1/MYLIP/KIAA0319/MIR219A1/SYNGAP1/PACSIN1/PTK7/BMP5/ADGRB3/TMEM30A/RTN4IP1/FIG4/FYN/UST/SYNE1/TIAM2/HECW1/CAMK2B/COBL/LIMK1/MAGI2/SEMA3A/FZD1/SMURF1/CUX1/RELN/NRCAM/IFRD1/PTN/EZH2/PRAG1/LZTS1/NEFL/PTK2B/KIF13B/FGFR1/LYN/STAU2/SDC2/CSMD3/WASHC5/ARC/KANK1/NTRK2/SEMA4D/LPAR1/DAB2IP/NCS1/ABL1/RAPGEF1/NTNG2/SETX/CDKL5/DMD/EFHC2/MIR222/PAK3/FGF13/MCF2/FLNA",250
"GO:0032970","regulation of actin filament-based process","223/7134","392/18805",0.568877551020408,1.49954336234073,7.81432714375183,1.25823648249764e-14,1.33477920184958e-11,9.23589726801777e-12,"ARHGEF16/MTOR/PDPN/ARHGEF10L/CDC42/ASAP3/GRHL3/STMN1/SLC9A1/KANK4/PDE4B/GJA5/KIRREL1/F11R/RGS4/ADCY10/ABL2/LMOD1/ADORA1/ACTN2/RYR2/SVIL/NRP1/CXCL12/RHOBTB1/CTNNA3/ACTA2/RNH1/HRAS/RHOG/SWAP70/CSRP3/SPTBN2/CORO1B/PPFIA1/CTTN/ARAP1/FCHSD2/PAK1/RDX/DIXDC1/JAM3/CACNA1C/EPS8/RAPGEF3/LIMA1/SSH1/ATP2A2/CIT/PXN/HIP1R/WASF3/PRKD1/FRMD6/FERMT2/SPTB/TGFB3/TTC8/ASB2/EVL/CYFIP1/TJP1/FMN1/TMOD2/TMOD3/CGNL1/TPM1/SMAD3/CORO2B/BBS4/HCN4/WHAMM/AKAP13/ARHGAP17/TAOK2/CARMIL2/CRK/DVL2/ARHGAP44/SSH2/CCL11/ITGB3/PPM1E/BCAS3/KCNJ2/CDC42EP4/ARHGAP28/SIGLEC15/SMAD4/CNN2/ARHGEF18/KANK2/NPHS1/SPTBN4/ARHGAP35/TRPM4/SHANK1/ITGB1BP1/ROCK2/CYRIA/CDC42EP3/PLEKHH2/PRKCE/SPTBN1/CCDC88A/ADD2/ALMS1/CTNNA2/CAPG/NCK2/CLASP1/BIN1/ZEB2/RND3/NEB/XIRP2/MYO3B/NCKAP1/TMEFF2/SUMO1/ABI2/NGEF/DSTN/NAA20/MYLK2/ARHGAP40/PREX1/NF2/MYH9/RAC2/CDC42EP1/TRIOBP/PICK1/CELSR1/SHANK3/CAV3/CLASP2/SCN5A/MIR138-1/RHOA/TNNC1/PRKCD/FAM107A/EPHA3/CD47/PHLDB2/HCLS1/NCK1/ARHGEF26/ECT2/PIK3CA/PAK2/DLG1/ADD1/WDR1/BST1/SLIT2/LIMCH1/PDGFRA/CRACD/AP1AR/ANK2/CAMK2D/SYNPO2/ARFIP1/SEMA5A/RICTOR/PDE4D/PIK3R1/IQGAP2/F2RL1/EFNA5/FCHSD1/ARAP3/CSF1R/PDGFRB/SYNPO/NEDD9/EDN1/TRIM27/DAAM2/WASF1/PLN/ARHGAP18/SNX9/PRKN/FSCN1/SCIN/RALA/ELN/LIMK1/CCL26/AKAP9/BAIAP2L1/MET/CAPZA2/MTPN/EPHA1/ARHGEF10/GATA4/DLC1/DMTN/SORBS3/STC1/PTK2B/STAU2/MTSS1/WASHC5/CYRIB/KANK1/CCL21/TMOD1/LPAR1/GSN/ARPC5L/ABL1/TSC1/ARHGAP6/GPM6B/PAK3/AMOT/FGF13/FLNA",223
"GO:0007409","axonogenesis","254/7134","459/18805",0.553376906318083,1.45868414960913,7.77834174625909,1.54233438043989e-14,1.4024226187857e-11,9.70395044776017e-12,"ACTL8/ECE1/EPHA8/EPHB2/STMN1/MACF1/ARTN/NRDC/DAB1/DOCK7/LPAR3/NOTCH2/SEMA6C/CHRNB2/NTRK1/VANGL2/LMX1A/ADCY10/TNN/TNR/LHX4/LHX9/LGR6/NFASC/ENAH/WNT3A/DISC1/TBCE/KIF5B/ITGB1/NRP1/PARD3/RET/CXCL12/DRGX/PRKG1/ANK3/EGR2/MYPN/ATOH7/KIFBP/UNC5B/VCL/SLIT1/PAX2/SEMA4G/BDNF/PAX6/LRRC4C/PTPRJ/MARK2/CTTN/MAP6/TSKU/PAK1/PICALM/CNTN5/NCAM1/DRD2/DSCAML1/THY1/ROBO3/FEZ1/APLP2/PTPRO/PRICKLE1/DIP2B/ARHGEF25/RAB21/ZDHHC17/PLXNC1/NTN4/ATP8A2/DCLK1/SPART/MYCBP2/SLITRK6/EFNB2/NIN/SIPA1L1/NUMB/NRXN3/FLRT2/TTC8/BCL11B/EVL/CYFIP1/MAP1A/SEMA6D/FOXB1/SPG21/MAP2K1/NEO1/NPTN/SEMA4B/IGF1R/TAOK2/SIAH1/CDH11/CDH1/PAFAH1B1/NDEL1/TRPV2/WNT3/NGFR/NOG/PTPRM/AFG3L2/B4GALT6/ARK2C/SMAD4/BCL2/BSG/STK11/PTPRS/DNM2/NOTCH3/RAB8A/MAP1S/MAG/SPTBN4/NOVA2/ARHGAP35/GDF7/DPYSL5/FEZ2/SOS1/NRXN1/RTN4/BCL11A/SEMA4F/CTNNA2/SEMA4C/GLI2/KIF5C/NR4A2/CHN1/ITGA4/BMPR2/RAPH1/NRP2/KLF7/CREB1/MAP2/FN1/EPHA4/STK25/SNAP25/FLRT3/KIAA1755/B4GALT5/ADNP/BMP7/EDN3/CDH4/CHODL/APP/TIAM1/ADARB1/S100B/RTN4R/CHL1/CLASP2/SCN11A/TRAK1/DAG1/SEMA3F/WNT5A/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/GSK3B/SEMA5B/KALRN/PLXND1/RYK/EPHB1/SHOX2/EPHB3/MAP3K13/PAK2/SLIT2/APBB2/UCHL1/RUFY3/SPP1/BMPR1B/POU4F2/PALLD/PLEKHG4B/SEMA5A/TRIO/MAP1B/ARHGEF28/EFNA5/SLC25A46/SEMA6A/FSTL4/CSF1R/SLIT3/UNC5A/EDN1/KIAA0319/SYNGAP1/PTK7/FYN/LAMA2/UST/TIAM2/ACTB/ETV1/CRPPA/HOXA2/GLI3/ADCY1/COBL/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SEMA3D/SMURF1/RELN/NRCAM/IFRD1/PTPRZ1/PLXNA4/SHH/NEFL/KIF13B/MATN2/EXT1/PTK2/NFIB/NPR2/NTRK2/SEMA4D/PTCH1/HMCN2/ABL1/NTNG2/NOTCH1/CDKL5/USP9X/NDP/PAK3/SLC9A6/FGF13/MCF2/SLITRK2",254
"GO:0009612","response to mechanical stimulus","139/7134","223/18805",0.623318385650224,1.64304769304072,7.55243554250044,1.07332689854361e-13,7.5972758426444e-11,5.25687387863301e-11,"TNFRSF8/SLC9A1/SLC2A1/GADD45A/COL11A1/TXNIP/NTRK1/F11R/DDR2/PTGS2/CHI3L1/KCNK2/TLR5/CAPN2/ACTA1/RYR2/CXCL12/MAPK8/ATOH7/FAS/BNIP3/KCNQ1/KCNC1/CSRP3/ANO3/NRXN2/FOSL1/PDE2A/CASP5/DRD2/TNFRSF1A/SLC38A2/TUBA1A/PTPRQ/CRADD/TRPV4/P2RX7/ATP8A2/HTR2A/SCEL/SLITRK6/NFKBIA/FOS/BDKRB1/MEIS2/THBS1/STRA6/IGF1R/PPL/ITGAM/MMP2/PKD1L2/PIEZO1/MAP2K4/ASIC2/SOST/MAP3K14/ITGB3/COL1A1/KCNJ2/SOX9/PIEZO2/CDH2/MBD2/TNFRSF11A/CNN2/TNFSF14/HPN/MAG/SLC8A1/NRXN1/IL1B/MAP3K2/CXCR4/SCN1A/SCN9A/STAT1/IGFBP2/SERPINE2/TMC2/COL6A1/LARGE1/SHANK3/CAV3/RAF1/XPC/SCN11A/CTNNB1/DAG1/GAP43/ATR/P2RY1/PIK3CA/HTT/CHRNA9/TMEM150C/PKD2/NFKB1/FGF2/SLC1A3/ITGA2/MAP1B/ADGRV1/IRF1/BMP6/EDN1/KIAA0319/LHFPL5/GCLC/FYN/ETV1/AQP1/PKD1L1/EGFR/PSPH/MTPN/PTN/CASP2/ASIC3/ANGPT2/GATA4/TNFRSF10B/PTK2B/TRPA1/KCNQ3/PTK2/PLEC/SCX/IL33/PHF24/TMC1/PTCH1/HABP4/XPA/WHRN/TNC/GSN/STRBP/DMD",139
"GO:0031032","actomyosin structure organization","135/7134","215/18805",0.627906976744186,1.65514307508753,7.55358862632036,1.07424167452945e-13,7.5972758426444e-11,5.25687387863301e-11,"MTOR/ARHGEF10L/CDC42/LUZP1/ASAP3/MYOM3/STMN1/SLC9A1/EPB41/CNN3/IQGAP3/F11R/CSRP1/LMOD1/MYBPH/CDC42BPA/OBSCN/ACTA1/ACTN2/FAM171A1/NEBL/ITGB1/NRP1/MYPN/LDB3/PDLIM1/SORBS1/NRAP/TNNT3/CSRP3/CDC42BPG/PPFIA1/ARAP1/ARRB1/PAK1/RAPGEF3/RACGAP1/KRT8/CSRP2/MYBPC1/MYL2/PXN/PRKD1/FERMT2/TGFB3/TTC8/EVL/CDC42BPB/TJP1/CAPN3/FRMD5/TMOD2/TMOD3/CGNL1/TPM1/SMAD3/CORO2B/BBS4/AKAP13/IQGAP1/MEF2A/MYH11/KCTD13/VPS4A/MYH10/MYH3/MYO18A/KRT19/PPM1E/MYOM1/EPB41L3/ARHGAP28/FHOD3/SMAD4/CNN2/ARHGEF18/DNM2/CNN1/MYH14/ITGB1BP1/ROCK2/CCDC88A/ALMS1/RTKN/EPB41L5/CLASP1/ZEB2/NEB/TMEFF2/CFLAR/CUL3/EPB41L1/MYO18B/NF2/MYH9/CAV3/CLASP2/PDCD6IP/MIR138-1/RHOA/CD47/PHLDB2/ITGB5/ECT2/PAK2/WDR1/LIMCH1/PDGFRA/MYOZ2/PIK3R1/IQGAP2/PDGFRB/SYNPO/EDN1/PHACTR1/EPB41L2/ELN/LIMK1/MET/ZYX/EPHA1/ARHGEF10/MYOM2/DLC1/SORBS3/PTK2B/PLEC/FRMD3/TMOD1/EPB41L4B/LPAR1/ABL1/TSC1/ARHGAP6/AMOT",135
"GO:0003012","muscle system process","252/7134","467/18805",0.539614561027837,1.42240703954703,7.22688664119706,8.41977839653396e-13,5.35918894939386e-10,3.70824766432611e-10,"UTS2/MTOR/TRIM63/SLC9A1/PTAFR/ZC3H12A/PDE4B/KCND3/CASQ2/GJA5/TPM3/CHRNB2/LMNA/NOS1AP/RGS4/RCSD1/ADCY10/ATP1B1/PTGS2/RGS2/CACNA1S/TNNI1/LMOD1/PPP1R12B/ADORA1/MYBPH/ATP2B4/PARP1/ACTA1/AGT/TBCE/RYR2/CACNB2/PRKG1/CTNNA3/TACR2/KCNMA1/ACTA2/HTR7/MYOF/KCNIP2/GSTO1/ADRA2A/TNNT3/KCNQ1/CALCA/ABCC8/CSRP3/TPCN2/CTTN/KCNE3/ARHGAP42/SLN/DRD2/SCN2B/CACNA1C/TNFRSF1A/KCNJ8/ABCC9/SSPN/SCN8A/ATP2B1/IGF1/ACACB/TRPV4/ATP2A2/MYL2/NOS1/P2RX4/ATP8A2/FOXO1/HTR2A/PABPN1/PRKD1/AKAP6/ARG2/SLC8A3/ASB2/BDKRB2/SETD3/RYR3/TMOD2/TMOD3/TPM1/KBTBD13/SMAD3/HCN4/CHRNB4/SYNM/MEF2A/MYH11/SCNN1B/GNAO1/BBS2/NFATC3/TRPV1/MYH13/MYH3/MAP2K4/MYOCD/ADORA2B/MAP2K3/KCNJ12/CACNB1/ORMDL3/BECN1/GJC1/MYL4/SGCA/CACNA1G/SCN4A/PRKCA/CACNG1/MAP2K6/KCNJ2/SSTR2/GAA/GATA6/DTNA/SMAD7/SMAD4/NEDD4L/CTDP1/CNN1/TMEM38A/PPP1R13L/TRPM4/MYH14/ROCK2/FKBP1B/EHD3/SLC8A1/MEIS1/IL1B/BIN1/CXCR4/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/MSTN/CFLAR/SUMO1/PRKAG3/HDAC4/FKBP1A/OXT/MYLK2/SNTA1/EDN3/TIAM1/KCNE2/KCNE1/PDE9A/COL6A1/SMTN/LARGE1/HMOX1/LMCD1/CAV3/OXTR/PPARG/GRIP2/GPD1L/SCN5A/SCN10A/SCN11A/RHOA/DAG1/TNNC1/CACNA1D/SLMAP/FOXP1/TOMM70/MYLK/KLF15/P2RY1/PIK3CA/FGF12/PAK2/DLG1/MYL5/CD38/APBB2/PDLIM5/PPP3CA/NPNT/ANK2/CAMK2D/MYOZ2/PDE5A/GUCY1A1/SORBS2/ITGA2/IL6ST/PDE4D/CERT1/F2R/HOMER1/CKMT2/KCNN2/SMAD5/ADRB2/MIR145/GLRA1/SGCD/ADRA1B/KCNIP1/DRD1/EDN1/JARID2/PI16/FOXO3/PLN/GJA1/UTRN/CAMK2B/GTF2IRD1/CACNA2D1/AKAP9/PIK3CG/DOCK4/KCND2/LEP/CALD1/MTPN/CHRM2/CLCN1/EZH2/KCNH2/NOS3/MYOM2/GATA4/STC1/DOCK5/ASPH/SULF1/COL14A1/SNTB1/FBXO32/ZDHHC21/TMOD1/NR4A3/GSN/NOTCH1/SMPX/DMD/FGF13/FLNA/G6PD",252
