"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","119/2163","487/18805",0.24435318275154,2.12439278855419,9.06346218164972,4.86566864137096e-16,2.94032355998047e-12,2.43949260408946e-12,"GNB1/ARHGEF10L/DAB1/BCAR3/CSF1/NGF/NOTCH2/ARHGEF11/RGL1/RHOU/NET1/GDI2/ARHGAP21/ARHGAP12/NRP1/ARHGAP22/DNMBP/ARL3/HRAS/RRAS2/ARAP1/ARRB1/ARHGAP20/ARHGEF12/FOXM1/EPS8/FGD4/RAPGEF3/PLEKHG7/BRAP/SPATA13/STARD13/SPRY2/RAP2A/DOCK9/RHOJ/PLEKHG3/SIPA1L1/CCDC88C/AKAP13/ARHGAP17/CDH13/ABR/KSR1/GIT1/NF1/ARHGAP27/CYTH1/ARHGAP28/RAB12/ROCK1/KANK2/GARRE1/SIPA1L3/GPR4/ARHGAP35/RHOB/RASGRP3/CDC42EP3/STAMBP/ARHGAP15/RND3/CHN1/CUL3/DOCK10/NGEF/FARP2/RIN2/RALGAPA2/TGM2/RALGAPB/ITSN1/SRGAP3/ARHGEF3/ROBO1/ARHGAP31/KALRN/PIK3CB/RASA2/PLD1/SLIT2/RASGEF1B/ARHGAP24/FAM13A/ARHGAP10/RAPGEF2/TRIO/PLK2/F2R/RAPGEF6/FAM13B/PSD2/ARHGAP26/CSNK1A1/DOCK2/RIPOR2/TIAM2/RAPGEF5/ELMO1/TNS3/RABGEF1/AUTS2/COL1A2/RELN/DOCK4/DLC1/PSD3/CYRIB/DENND3/DOCK8/KANK1/TEK/SEMA4D/LPAR1/DAB2IP/SCAI/MAPKAP1/RALGPS1/RAB9B",119
"GO:0051056","regulation of small GTPase mediated signal transduction","84/2163","303/18805",0.277227722772277,2.41020218526707,8.92162534291181,5.89481445733892e-15,1.78111818828495e-11,1.47773690843712e-11,"ARHGEF10L/CSF1/NGF/NOTCH2/ARHGEF11/RHOU/NET1/ARHGAP21/ARHGAP12/NRP1/ARHGAP22/DNMBP/ARAP1/ARRB1/ARHGAP20/ARHGEF12/FOXM1/EPS8/FGD4/SPATA13/STARD13/SPRY2/DOCK9/PLEKHG3/SIPA1L1/AKAP13/ARHGAP17/ABR/GIT1/NF1/ARHGAP27/CYTH1/ARHGAP28/KANK2/SIPA1L3/GPR4/ARHGAP35/STAMBP/ARHGAP15/CHN1/CUL3/DOCK10/NGEF/RALGAPA2/TGM2/RALGAPB/ITSN1/SRGAP3/ARHGEF3/ROBO1/ARHGAP31/KALRN/PIK3CB/RASA2/SLIT2/ARHGAP24/FAM13A/ARHGAP10/TRIO/F2R/FAM13B/PSD2/ARHGAP26/CSNK1A1/DOCK2/RIPOR2/TIAM2/TNS3/RABGEF1/AUTS2/RELN/DLC1/PSD3/CYRIB/DENND3/DOCK8/KANK1/TEK/SEMA4D/LPAR1/DAB2IP/SCAI/MAPKAP1/RALGPS1",84
"GO:0001952","regulation of cell-matrix adhesion","44/2163","125/18805",0.352,3.06026814609339,8.33184036887642,3.01153134635292e-12,6.06622797533689e-09,5.03295572023823e-09,"PRKCZ/MACF1/CSF1/DISC1/NRP1/PTPRJ/GREM1/FMN1/THBS1/EMP2/CDH13/MINK1/NF1/ITGB3/ACTG1/ROCK1/ONECUT2/BCL2/WDPCP/CLASP1/PTPRA/RIN2/EPHA3/PHLDB2/PIK3CB/LIMCH1/PIK3R1/RASA1/EFNA5/VEGFA/UTRN/HOXA7/CD36/SEMA3E/CDK6/SERPINE1/DLC1/PTK2B/PLEKHA2/PTK2/TEK/GPM6B/CASK/NEXMIF",44
"GO:0007160","cell-matrix adhesion","66/2163","240/18805",0.275,2.39083448913546,7.81779391407966,7.10674831348898e-12,1.07365200146035e-08,8.90774795188106e-09,"PRKCZ/MACF1/ANGPTL3/CSF1/DISC1/NID1/NRP1/SORBS1/VWA2/CD44/PTPRJ/JAM3/PPFIA2/ITGBL1/AJUBA/NID2/ACTN1/GREM1/FMN1/THBS1/EMP2/ITGAX/CDH11/CDH13/MINK1/NF1/ITGB3/ACTG1/ROCK1/ONECUT2/BCL2/WDPCP/CLASP1/FN1/PTPRA/RIN2/ITGA9/ADAMTS9/EPHA3/PHLDB2/PIK3CB/LIMCH1/HPSE/ADAMTS12/PIK3R1/RASA1/EFNA5/VEGFA/UTRN/HOXA7/CD36/SEMA3E/CDK6/SGCE/SERPINE1/DLC1/PTK2B/PLEKHA2/PTK2/TEK/TMEM8B/ECM2/SVEP1/GPM6B/CASK/NEXMIF",66
"GO:0031589","cell-substrate adhesion","85/2163","361/18805",0.235457063711911,2.04705043139274,7.24176231223256,6.2360378241141e-11,6.90013262980824e-08,5.72481979424243e-08,"PRKCZ/MACF1/ANGPTL3/CCN1/CSF1/DISC1/NID1/NRP1/SORBS1/VWA2/PARVA/CD44/PTPRJ/JAM3/VWF/PPFIA2/ITGBL1/AJUBA/NID2/ACTN1/GREM1/FMN1/THBS1/SMAD6/EMP2/ITGAX/CDH11/CDH13/FOXF1/MINK1/NF1/ITGB3/ACTG1/ROCK1/ONECUT2/BCL2/AXL/PRKCE/WDPCP/ANTXR1/CLASP1/LIMS2/FZD7/FN1/PTPRA/RIN2/STK4/PTPN1/TRIOBP/PDGFB/FBLN2/ITGA9/ADAMTS9/EPHA3/PHLDB2/PIK3CB/ST6GAL1/LIMCH1/HPSE/ADAMTS12/PIK3R1/RASA1/EFNA5/GCNT2/NEDD9/VEGFA/UTRN/HOXA7/CD36/SEMA3E/CDK6/SGCE/SERPINE1/DLC1/PTK2B/PLEKHA2/PTK2/KANK1/TEK/TMEM8B/ECM2/SVEP1/GPM6B/CASK/NEXMIF",85
"GO:0010810","regulation of cell-substrate adhesion","61/2163","224/18805",0.272321428571429,2.36754714021531,7.42305016135188,6.85103355599031e-11,6.90013262980824e-08,5.72481979424243e-08,"PRKCZ/MACF1/CCN1/CSF1/DISC1/NID1/NRP1/PTPRJ/GREM1/FMN1/THBS1/EMP2/CDH13/FOXF1/MINK1/NF1/ITGB3/ACTG1/ROCK1/ONECUT2/BCL2/PRKCE/WDPCP/CLASP1/LIMS2/FZD7/FN1/PTPRA/RIN2/STK4/PTPN1/TRIOBP/PDGFB/FBLN2/EPHA3/PHLDB2/PIK3CB/ST6GAL1/LIMCH1/PIK3R1/RASA1/EFNA5/GCNT2/NEDD9/VEGFA/UTRN/HOXA7/CD36/SEMA3E/CDK6/SERPINE1/DLC1/PTK2B/PLEKHA2/PTK2/KANK1/TEK/ECM2/GPM6B/CASK/NEXMIF",61
"GO:0007409","axonogenesis","100/2163","459/18805",0.217864923747277,1.8941053587922,6.99157415266551,1.51038499127532e-10,1.30389378603953e-07,1.08179905465328e-07,"MACF1/EDN2/NRDC/DAB1/LPAR3/NOTCH2/LMX1A/DISC1/NRP1/PARD3/PRKG1/ANK3/BRSK2/PAX6/PTPRJ/PAK1/CNTN5/FEZ1/PRICKLE1/NELL2/DIP2B/ZDHHC17/ATP8A2/NIN/SIPA1L1/TTC8/BCL11B/EVL/MAP1A/SEMA6D/SPG21/MAP2K1/IGF1R/SIAH1/CDH11/ACTG1/PTPRM/B4GALT6/BCL2/STK11/MAG/ARHGAP35/DPYSL5/FEZ2/B3GNT2/CTNNA2/GLI2/CHN1/BMPR2/RAPH1/NRP2/KLF7/FN1/EPHA4/FLRT3/B4GALT5/EDN3/CDH4/ADARB1/SCN11A/TRAK1/ROBO2/ROBO1/EPHA3/BOC/GAP43/KALRN/SLIT2/APBB2/NKX6-1/BMPR1B/UNC5C/SEMA5A/TRIO/ISL1/FOXD1/EFNA5/SLC25A46/FSTL4/VEGFA/FYN/TIAM2/ETV1/GLI3/AUTS2/SEMA3C/SEMA3E/SEMA3A/RELN/NRCAM/PTPRZ1/PLXNA4/KIF13B/MATN2/PTK2/NFIB/NTRK2/SEMA4D/PTCH1/NTNG2",100
"GO:0050803","regulation of synapse structure or activity","72/2163","321/18805",0.224299065420561,1.95004342359392,6.18940091007097,1.59867509201826e-08,1.09114461548452e-05,9.05287858688655e-06,"DAB1/SNX27/DNM3/IL10/EGLN1/DISC1/GPR158/ARHGAP12/ARHGAP22/DLG5/NRXN2/SHANK2/CAPRIN2/PRICKLE1/AMIGO2/SENP1/ZDHHC17/PPFIA2/PCDH8/RAP2A/SIX1/SIPA1L1/NF1/ASIC2/TANC2/ROCK1/NEDD4L/CBLN2/PUM2/RHOB/CTNNA2/TANC1/NRP2/EPHA4/DOCK10/NGEF/AGAP1/PRNP/FLRT3/SYNDIG1/PTPN1/SETD5/ROBO2/IGSF11/SEPTIN11/GRID2/SLC7A11/HOMER1/EFNA5/HTR4/NEDD9/DTNBP1/MDGA1/ADGRB3/FYN/ELMO1/FZD1/RELN/NRCAM/LRRN3/DOCK4/PTK2B/SYBU/ASAP1/MIR30B/PTPRD/NTRK2/SEMA4D/ROR2/MUSK/DAB2IP/NTNG2",72
"GO:0050807","regulation of synapse organization","71/2163","315/18805",0.225396825396825,1.95958728691045,6.19187141719219,1.62507058404115e-08,1.09114461548452e-05,9.05287858688655e-06,"DAB1/SNX27/DNM3/IL10/EGLN1/DISC1/GPR158/ARHGAP12/ARHGAP22/DLG5/NRXN2/SHANK2/CAPRIN2/PRICKLE1/AMIGO2/SENP1/ZDHHC17/PPFIA2/PCDH8/RAP2A/SIX1/SIPA1L1/NF1/ASIC2/TANC2/ROCK1/NEDD4L/CBLN2/PUM2/RHOB/CTNNA2/TANC1/NRP2/EPHA4/DOCK10/NGEF/AGAP1/PRNP/FLRT3/SYNDIG1/PTPN1/SETD5/ROBO2/IGSF11/SEPTIN11/GRID2/SLC7A11/HOMER1/EFNA5/HTR4/NEDD9/DTNBP1/MDGA1/ADGRB3/FYN/ELMO1/FZD1/RELN/NRCAM/LRRN3/DOCK4/PTK2B/ASAP1/MIR30B/PTPRD/NTRK2/SEMA4D/ROR2/MUSK/DAB2IP/NTNG2",71
"GO:0097485","neuron projection guidance","58/2163","239/18805",0.242677824267782,2.10982731639189,6.22509250641043,2.12840359688601e-08,1.23797058549537e-05,1.02710467939669e-05,"NOTCH2/LMX1A/NRP1/PAX6/PTPRJ/CNTN5/FEZ1/NELL2/TTC8/BCL11B/EVL/SEMA6D/SIAH1/PTPRM/ARHGAP35/DPYSL5/FEZ2/B3GNT2/GLI2/CHN1/BMPR2/NRP2/KLF7/EPHA4/FLRT3/EDN3/CDH4/ROBO2/ROBO1/EPHA3/BOC/GAP43/KALRN/PLXNA1/SLIT2/APBB2/BMPR1B/UNC5C/SEMA5A/TRIO/ISL1/FOXD1/EFNA5/VEGFA/FYN/ETV1/GLI3/SEMA3C/SEMA3E/SEMA3A/RELN/NRCAM/PLXNA4/MATN2/PTK2/NFIB/SEMA4D/PTCH1",58
"GO:0150115","cell-substrate junction organization","33/2163","103/18805",0.320388349514563,2.78543823976947,6.5504334727925,2.25346292246386e-08,1.23797058549537e-05,1.02710467939669e-05,"MACF1/NRP1/SORBS1/PTPRJ/PRICKLE1/AJUBA/ACTN1/GREM1/FMN1/THBS1/CDH11/ITGB3/ACTG1/ROCK1/LAMA3/BCL2/WDPCP/CLASP1/FN1/TNS1/PTPRA/EPHA3/PHLDB2/LIMCH1/PIK3R1/EFNA5/VEGFA/DST/DLC1/PTK2B/PTK2/TEK/GPM6B",33
"GO:0007411","axon guidance","57/2163","238/18805",0.239495798319328,2.08216296227229,6.05704636116149,4.60361488732563e-08,2.25780279260653e-05,1.87322690911362e-05,"NOTCH2/LMX1A/NRP1/PAX6/PTPRJ/CNTN5/FEZ1/NELL2/TTC8/BCL11B/EVL/SEMA6D/SIAH1/PTPRM/ARHGAP35/DPYSL5/FEZ2/B3GNT2/GLI2/CHN1/BMPR2/NRP2/KLF7/EPHA4/FLRT3/EDN3/CDH4/ROBO2/ROBO1/EPHA3/BOC/GAP43/KALRN/SLIT2/APBB2/BMPR1B/UNC5C/SEMA5A/TRIO/ISL1/FOXD1/EFNA5/VEGFA/FYN/ETV1/GLI3/SEMA3C/SEMA3E/SEMA3A/RELN/NRCAM/PLXNA4/MATN2/PTK2/NFIB/SEMA4D/PTCH1",57
"GO:0007044","cell-substrate junction assembly","31/2163","96/18805",0.322916666666667,2.80741928648482,6.4005878587885,4.85709685650917e-08,2.25780279260653e-05,1.87322690911362e-05,"MACF1/NRP1/SORBS1/PTPRJ/AJUBA/ACTN1/GREM1/FMN1/THBS1/CDH11/ITGB3/ACTG1/ROCK1/LAMA3/BCL2/WDPCP/CLASP1/FN1/TNS1/PTPRA/EPHA3/PHLDB2/LIMCH1/EFNA5/VEGFA/DST/DLC1/PTK2B/PTK2/TEK/GPM6B",31
