"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","47/1099","184/9436",0.255434782608696,2.19315978953199,5.93409652062034,1.07717110441033e-07,3.68392517708332e-05,2.66458115301502e-05,"5590/1969/5362/8829/56288/3265/5058/7225/23365/57522/80031/6093/56896/7852/659/2043/25791/5594/9901/6092/6091/2042/91653/5361/5291/5290/84448/9353/658/8633/817/9037/5295/5921/1946/815/2534/2770/10512/9723/10371/91584/1808/5747/10507/5727/84628",47
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","51/1099","212/9436",0.240566037735849,2.06549693546449,5.69672671671185,2.44263626034153e-07,4.17690800518401e-05,3.02115537463294e-05,"5590/1969/23566/1435/4803/83593/56288/3265/10411/26037/51466/7057/83660/5604/3480/2903/3690/71/23094/25780/805/9855/23236/5332/5594/5155/9223/111/5291/5028/5290/5156/2250/56034/9693/5295/2149/1946/51735/2246/7422/1268/4301/9771/9863/2770/9732/114/7010/2776/1902",51
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","44/1099","203/9436",0.216748768472906,1.86100216497757,4.50241727812307,2.82461959429243e-05,0.00259924109024962,0.00188002972055605,"1298/3725/5599/3265/55742/5058/7450/2012/1284/87/7057/83660/5604/3480/2013/3690/71/6093/3909/596/2909/2335/1291/1292/5594/5155/3680/2317/4638/256076/5291/5290/5156/56034/5295/7422/2534/1278/93408/5649/5747/8395/3371/331",44
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","26/1099","97/9436",0.268041237113402,2.30139864731762,4.67746911036541,3.04004805877148e-05,0.00259924109024962,0.00188002972055605,"2782/9722/6262/5592/775/2353/6263/10681/2903/2906/805/23236/5332/5594/3708/776/111/59345/817/2891/815/2890/2770/2783/114/2776",26
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","25/1099","93/9436",0.268817204301075,2.30806109170605,4.60247274451052,4.07783424825673e-05,0.00265465408269628,0.00192010990899854,"56288/29119/10580/6934/5795/5787/4008/87/7082/8826/3480/64750/71/5797/6093/1496/9855/6615/5770/5594/1495/6885/2534/4301/93408",25
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","30/1099","122/9436",0.245901639344262,2.11130834290488,4.4855042342939,4.65728786437944e-05,0.00265465408269628,0.00192010990899854,"5590/5599/259230/8879/3265/9846/7132/171546/55012/624/5527/5604/4363/6093/596/5581/23236/5332/5594/5523/5291/165679/5337/5290/5295/2534/2770/2776/1903/10558",30
"Organismal Systems","Immune system","hsa04611","Platelet activation","30/1099","126/9436",0.238095238095238,2.04428268122536,4.28443348955679,8.84265670595723e-05,0.00377588524983297,0.00273109582551784,"5590/5592/6786/23365/7450/3709/83660/3690/71/6093/2909/23236/5332/5594/3708/111/4638/5291/5028/5290/5295/2149/2534/2770/1278/6916/4067/114/2776/5742",30
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","46/1099","226/9436",0.20353982300885,1.74759032749,4.13002780891197,9.5957107589888e-05,0.00377588524983297,0.00273109582551784,"2782/3716/9826/5743/355/3265/23365/7132/3709/4193/10681/5604/11214/6774/3690/6093/805/3554/3553/7852/23236/5332/1869/5594/3708/111/5291/5290/59345/5156/3576/5295/8737/1871/3107/7422/3569/9586/2770/1021/2783/2185/114/5747/3439/2776",46
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","28/1099","115/9436",0.243478260869565,2.09050124619219,4.2717785444966,9.93654013113939e-05,0.00377588524983297,0.00273109582551784,"5142/9826/408/4040/3709/5744/2353/5604/11214/342538/596/5143/27347/23236/5332/10893/5594/3708/846/111/5337/10568/5144/6446/9586/2770/114/2776",28
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","17/1099","56/9436",0.303571428571429,2.60646041856233,4.37751377624276,0.000137169039033851,0.00469118113495771,0.00339312886031106,"55733/8945/51684/57758/408/53944/64750/596/2736/8452/91653/64399/1456/1452/23291/2737/5727",17
