"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","94/1312","448/11214",0.209821428571429,1.7933974847561,6.23833950220273,6.99977188520239e-09,5.52351092004959e-06,4.99050964798085e-06,"CAPZB/NUDC/PKN2/ABCD3/VAV3/SRGAP2/CDC42BPA/OBSCN/MTR/ARHGAP21/ANKRD26/ARHGAP12/DOCK1/ARAP1/PAK1/ARHGEF12/ARHGAP32/FGD4/AMIGO2/RACGAP1/SRGAP1/FRS2/CKAP4/GIT2/TAOK3/SPATA13/WASF3/STARD13/DIAPH3/DOCK9/SCFD1/KTN1/DAAM1/TMOD3/UACA/AKAP13/RBBP6/WWP2/ABR/C1QBP/MSI2/RALBP1/ROCK1/ARHGEF18/PKN1/GARRE1/ROCK2/RHOB/ITSN2/SPTBN1/VRK2/ARHGAP15/RND3/FMNL2/PKP4/CHN1/DOCK10/FARP2/ELMO2/ITSN1/RAC2/ARHGAP8/KALRN/PLD1/PIK3CA/PAK2/PCDH7/FAM13A/ARHGAP10/SH3RF1/TRIO/BASP1/ERBIN/IQGAP2/ARAP3/ARHGAP26/STK10/GFOD1/LRRC1/DST/ARHGAP18/AKAP12/TIAM2/CHN2/BAIAP2L1/DOCK4/DLC1/DOCK5/DOCK8/TJP2/FNBP1/RAPGEF1/VAV2/NHS",94
"R-HSA-9013149","RAC1 GTPase cycle","50/1312","185/11214",0.27027027027027,2.31006921555702,6.54000988887396,7.0497905807908e-09,5.52351092004959e-06,4.99050964798085e-06,"PKN2/VAV3/SRGAP2/CDC42BPA/ARHGAP21/ARHGAP12/DOCK1/ARAP1/PAK1/ARHGAP32/AMIGO2/RACGAP1/SRGAP1/GIT2/TAOK3/SPATA13/WASF3/DIAPH3/DOCK9/KTN1/ABR/RALBP1/ARHGEF18/PKN1/GARRE1/VRK2/ARHGAP15/CHN1/DOCK10/FARP2/KALRN/PLD1/PIK3CA/PAK2/FAM13A/ARHGAP10/TRIO/ERBIN/IQGAP2/ARAP3/ARHGAP26/TIAM2/CHN2/BAIAP2L1/DOCK4/DLC1/DOCK5/DOCK8/VAV2/NHS",50
"R-HSA-8980692","RHOA GTPase cycle","37/1312","147/11214",0.251700680272109,2.15135017421603,5.114668738321,4.04809312411231e-06,0.00211445397516133,0.00191041587787055,"PKN2/ABCD3/VAV3/OBSCN/ARHGAP21/ARAP1/ARHGEF12/ARHGAP32/RACGAP1/SRGAP1/STARD13/DIAPH3/SCFD1/KTN1/DAAM1/AKAP13/ABR/C1QBP/ROCK1/ARHGEF18/PKN1/ROCK2/ARHGAP8/KALRN/PLD1/PCDH7/FAM13A/ARHGAP10/TRIO/ERBIN/ARAP3/ARHGAP26/STK10/ARHGAP18/DLC1/TJP2/VAV2",37
"R-HSA-9013106","RHOC GTPase cycle","23/1312","74/11214",0.310810810810811,2.65657959789057,5.2041755790888,6.77671738909633e-06,0.00265477903717849,0.00239860128640383,"PKN2/ABCD3/ARHGAP21/ARHGEF12/ARHGAP32/RACGAP1/STARD13/DIAPH3/DAAM1/AKAP13/ABR/C1QBP/ROCK1/PKN1/ROCK2/FMNL2/ERBIN/ARHGAP26/STK10/ARHGAP18/DLC1/TJP2/VAV2",23
"R-HSA-76002","Platelet activation, signaling and aggregation","55/1312","262/11214",0.209923664122137,1.79427131819028,4.73520925489184,9.64068197404667e-06,0.00302138973066623,0.00272983521159848,"VAV3/GNAI3/TAGLN2/TGFB2/LEFTY2/CTSW/ARRB1/VWF/ITPR2/RAPGEF3/IGF1/ABCC4/RASGRP1/THBS1/GNB5/PRKCB/LAT/ITGA2B/ITGB3/APOH/RAB27B/TMX3/ACTN4/RHOB/PRKCE/CALM2/FN1/DGKD/SPP2/PTPN1/APP/TIMP3/RAC2/TEX264/PRKCD/PIK3CB/P2RY1/PIK3CA/PCDH7/PF4/EGF/F2R/PCYOX1L/F13A1/FYN/DGKB/GNAI1/CD36/COL1A2/DGKI/CYRIB/PTK2/GNA14/GNAQ/VAV2",55
"R-HSA-9013026","RHOB GTPase cycle","21/1312","70/11214",0.3,2.56417682926829,4.77838000150485,3.07265729343318e-05,0.00802475663134966,0.00725039308713619,"PKN2/ARHGAP21/ARHGEF12/ARHGAP32/RACGAP1/STARD13/DIAPH3/DAAM1/AKAP13/ABR/ROCK1/PKN1/ROCK2/RHOB/PCDH7/ERBIN/ARHGAP26/STK10/DLC1/TJP2/VAV2",21
"R-HSA-9013148","CDC42 GTPase cycle","35/1312","154/11214",0.227272727272727,1.94255820399113,4.28703809190308,7.4610476837563e-05,0.0167020881720659,0.0150903896761688,"VAV3/SRGAP2/CDC42BPA/ARHGAP21/ARAP1/PAK1/ARHGEF12/ARHGAP32/FGD4/RACGAP1/SRGAP1/GIT2/SPATA13/STARD13/DIAPH3/DOCK9/KTN1/DAAM1/ABR/RALBP1/FMNL2/CHN1/DOCK10/ITSN1/PLD1/PAK2/ARHGAP10/TRIO/IQGAP2/ARAP3/ARHGAP26/DLC1/DOCK8/FNBP1/VAV2",35
"R-HSA-1474244","Extracellular matrix organization","60/1312","321/11214",0.186915887850467,1.59761796216093,3.95429234720896,0.000141424771259819,0.0247005613109691,0.0223170355444554,"COL24A1/COL11A1/COLGALT2/TGFB2/CAPN8/CAPN9/NID1/COL13A1/TLL2/LOXL4/ADAM12/CD44/MMP1/ADAMTS8/JAM3/VWF/MFAP5/SSPN/DCN/NTN4/BMP4/THBS1/CAPN3/ITGA11/FURIN/ITGA2B/ITGB3/ITGB4/DTNA/BSG/SDC1/DTNB/CAPN13/LTBP1/ITGB6/COL3A1/COL5A2/FN1/COL4A4/MMP24/MATN4/APP/FBLN1/CD47/ITGB5/COL6A5/P3H2/COL25A1/CAST/FBN2/SGCD/DST/COL12A1/UTRN/COL1A2/COL14A1/ASPN/MUSK/COL27A1/CASK",60
"R-HSA-9013404","RAC2 GTPase cycle","23/1312","88/11214",0.261363636363636,2.2339419345898,4.22992726422622,0.000141866657178508,0.0247005613109691,0.0223170355444554,"VAV3/ARHGAP21/DOCK1/PAK1/ARHGAP32/RACGAP1/GIT2/TAOK3/DIAPH3/ABR/GARRE1/VRK2/DOCK10/RAC2/PIK3CA/PAK2/TRIO/ERBIN/ARHGAP26/BAIAP2L1/DOCK4/VAV2/NHS",23
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","79/1312","454/11214",0.174008810572687,1.48729786719673,3.85818163035872,0.000164466824923398,0.0257719514654965,0.0232850399496811,"AGO3/IL10/HHAT/AKT3/TCF7L2/CTBP2/ARRB1/VWF/ETV6/LRP6/DUSP16/BIN2/MDM2/FRS2/KITLG/ZMYM2/FGF9/FOXO1/LMO7/MARK3/APH1B/CREBBP/NCOR1/UBB/MPRIP/NF1/ITGA2B/ITGB3/PSMD12/TNRC6C/BIRC6/CALM2/SPTBN1/BCL11A/DCTN1/GCC2/CD28/CREB1/ERBB4/ATIC/FN1/LRRFIP1/RRBP1/BCL2L1/RAC2/TRAK1/CD80/GOLGB1/PIK3CB/TBL1XR1/PIK3CA/RBPJ/POLR2B/EREG/FGF5/DKK2/PAPSS1/EGF/CAMK2D/GAB1/TENT4A/RICTOR/ERBIN/AP3B1/APC/FGF1/PDGFRB/SQSTM1/FOXO3/FYN/EGFR/CUX1/SND1/NRG1/FGFR1/KANK1/JAK2/CNKSR2/MAMLD1",79
