"seqnames","start","end","width","strand","peak_id","log2FoldChange","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",1201288,1201954,667,"*","chr1_1201288_1201954",-1.18637513772931,0.00026800249631204,"Distal Intergenic",1,1203844,1205680,1837,2,"8784","ENST00000486728.5",3726,"ENSG00000186891","TNFRSF18","TNF receptor superfamily member 18"
"chr1",1591406,1591971,566,"*","chr1_1591406_1591971",-1.14223559377893,0.000720247885646015,"Intron (ENST00000763257.1/ENST00000763257.1, intron 1 of 1)",1,1598012,1600135,2124,2,"643988","ENST00000422725.4",8164,"ENSG00000228594","FNDC10","fibronectin type III domain containing 10"
"chr1",1868518,1870107,1590,"*","chr1_1868518_1870107",1.48413983202912,4.46192973744273e-06,"Intron (ENST00000610897.4/2782, intron 1 of 10)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",-9746,"ENSG00000078369","GNB1","G protein subunit beta 1"
"chr1",2151215,2152459,1245,"*","chr1_2151215_2152459",-1.08180609584061,0.00145390928778307,"Intron (ENST00000378567.8/5590, intron 9 of 17)",1,2145387,2185116,39730,1,"5590","ENST00000478770.6",5828,"ENSG00000067606","PRKCZ","protein kinase C zeta"
"chr1",2229026,2229749,724,"*","chr1_2229026_2229749",-1.12226177682421,8.6553677647911e-05,"Promoter (<=1kb)",1,2228319,2310213,81895,1,"6497","ENST00000378536.5",707,"ENSG00000157933","SKI","SKI proto-oncogene"
"chr1",2255657,2256538,882,"*","chr1_2255657_2256538",-1.00593053931529,0.000100470133696969,"Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",7661,"ENSG00000157933","SKI","SKI proto-oncogene"
"chr1",3453832,3455275,1444,"*","chr1_3453832_3455275",-1.02336124299998,0.00494907398189214,"Promoter (<=1kb)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",0,"ENSG00000130762","ARHGEF16","Rho guanine nucleotide exchange factor 16"
"chr1",6753265,6754102,838,"*","chr1_6753265_6754102",-1.20002412958752,6.63495692101296e-05,"Distal Intergenic",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",28592,NA,"LINC01672","long intergenic non-protein coding RNA 1672"
"chr1",7295909,7296415,507,"*","chr1_7295909_7296415",-1.06833408548793,0.0105556856808159,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7312886,7370270,57385,1,"23261","ENST00000849779.1",-16471,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",9904527,9905452,926,"*","chr1_9904527_9905452",1.07752347273804,0.00882902804152204,"Intron (ENST00000648956.1/ENST00000648956.1, intron 2 of 2)",1,9848276,9910269,61994,2,"56998","ENST00000377263.6",4817,"ENSG00000178585","CTNNBIP1","catenin beta interacting protein 1"
"chr1",10082596,10083571,976,"*","chr1_10082596_10083571",1.77872164120839,3.47451519404013e-10,"Intron (ENST00000253251.12/10277, intron 2 of 26)",1,10100861,10103185,2325,1,"10277","ENST00000462658.1",-17290,"ENSG00000130939","UBE4B","ubiquitination factor E4B"
"chr1",10310162,10311379,1218,"*","chr1_10310162_10311379",1.86499776115473,3.83458108638142e-06,"Intron (ENST00000676179.1/23095, intron 22 of 48)",1,10282450,10292334,9885,1,"23095","ENST00000497835.1",27712,"ENSG00000054523","KIF1B","kinesin family member 1B"
"chr1",10415157,10415897,741,"*","chr1_10415157_10415897",-1.40749673920831,9.39003703578487e-06,"Promoter (<=1kb)",1,10415292,10419830,4539,1,"5226","ENST00000498356.1",0,"ENSG00000142657","PGD","phosphogluconate dehydrogenase"
"chr1",11281279,11282553,1275,"*","chr1_11281279_11282553",1.89301776248399,6.85524205822408e-05,"Intron (ENST00000376810.6/29914, intron 1 of 1)",1,11273934,11296049,22116,1,"29914","ENST00000483738.1",7345,"ENSG00000120942","UBIAD1","UbiA prenyltransferase domain containing 1"
"chr1",11478274,11479684,1411,"*","chr1_11478274_11479684",-1.02546592579783,0.0139847466914196,"Promoter (<=1kb)",1,11479155,11537551,58397,1,"57540","ENST00000294484.7",0,"ENSG00000204624","DISP3","dispatched RND transporter family member 3"
"chr1",11729610,11730799,1190,"*","chr1_11729610_11730799",-1.17669957546228,0.00121964840208187,"Intron (ENST00000779472.1/ENST00000779472.1, intron 1 of 2)",1,11736084,11750710,14627,1,"57085","ENST00000376637.7",-5285,"ENSG00000177674","AGTRAP","angiotensin II receptor associated protein"
"chr1",12079364,12080603,1240,"*","chr1_12079364_12080603",1.47532119975564,2.55062287238021e-05,"Exon (ENST00000439324.2/ENST00000439324.2, exon 1 of 1)",1,12063470,12143117,79648,1,"943","ENST00000514649.5",15894,"ENSG00000120949","TNFRSF8","TNF receptor superfamily member 8"
"chr1",12423745,12425258,1514,"*","chr1_12423745_12425258",1.51908910926257,6.0664300940766e-07,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12409838,12416827,6990,1,"55187","ENST00000481484.1",13907,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12453299,12455380,2082,"*","chr1_12453299_12455380",1.57281914213402,6.48726887662697e-10,"3' UTR",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-9560,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
