"seqnames","start","end","width","strand","peak_id","log2FoldChange","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",910670,911677,1008,"*","chr1_910670_911677",-1.03385986194966,0.029679309775321,"Promoter (<=1kb)",1,911232,918152,6921,1,"284600","ENST00000756450.1",0,NA,"LOC284600","uncharacterized LOC284600"
"chr1",1019177,1019919,743,"*","chr1_1019177_1019919",-1.06353704736373,0.00920873915119625,"Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",-201,"ENSG00000188157","AGRN","agrin"
"chr1",1406675,1408139,1465,"*","chr1_1406675_1408139",-1.0626436538942,0.000203259727034205,"Promoter (<=1kb)",1,1401909,1407293,5385,2,"55052","ENST00000344843.12",0,"ENSG00000242485","MRPL20","mitochondrial ribosomal protein L20"
"chr1",2229026,2229749,724,"*","chr1_2229026_2229749",-1.04852477966224,0.01567992724066,"Promoter (<=1kb)",1,2228319,2310213,81895,1,"6497","ENST00000378536.5",707,"ENSG00000157933","SKI","SKI proto-oncogene"
"chr1",2255657,2256538,882,"*","chr1_2255657_2256538",-1.49165328538809,0.000118040679372834,"Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",7661,"ENSG00000157933","SKI","SKI proto-oncogene"
"chr1",2480669,2483265,2597,"*","chr1_2480669_2483265",-1.0723131573623,0.0361852614788073,"Promoter (<=1kb)",1,2479888,2505276,25389,1,"9651","ENST00000278878.6",781,"ENSG00000149527","PLCH2","phospholipase C eta 2"
"chr1",2610016,2611677,1662,"*","chr1_2610016_2611677",-1.07404196592296,0.0177078302641951,"Promoter (<=1kb)",1,2606281,2611401,5121,2,"79258","ENST00000509374.1",0,"ENSG00000142606","MMEL1","membrane metalloendopeptidase like 1"
"chr1",3060175,3061500,1326,"*","chr1_3060175_3061500",-1.21662460595825,0.0195849266067296,"Promoter (<=1kb)",1,3059624,3061866,2243,2,"124903827","ENST00000667159.1",366,"ENSG00000177133","LOC124903827","translation initiation factor IF-2"
"chr1",3453832,3455275,1444,"*","chr1_3453832_3455275",-1.30780475446995,0.0167338883056318,"Promoter (<=1kb)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",0,"ENSG00000130762","ARHGEF16","Rho guanine nucleotide exchange factor 16"
"chr1",3548142,3548700,559,"*","chr1_3548142_3548700",1.31137625209562,0.00497315669908715,"Intron (ENST00000356575.9/1953, intron 4 of 36)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",12090,"ENSG00000207776","MIR551A","microRNA 551a"
"chr1",3671418,3672240,823,"*","chr1_3671418_3672240",-1.36417579253714,0.00494183361820826,"Promoter (2-3kb)",1,3669034,3736201,67168,1,"7161","ENST00000713570.1",2384,"ENSG00000078900","TP73","tumor protein p73"
"chr1",3771508,3773168,1661,"*","chr1_3771508_3773168",-1.03610128064917,0.00206300284959075,"Promoter (<=1kb)",1,3772749,3775956,3208,1,"388588","ENST00000642557.4",0,"ENSG00000235169","SMIM1","small integral membrane protein 1 (Vel blood group)"
"chr1",3827685,3828536,852,"*","chr1_3827685_3828536",-1.39433777960967,0.00397756943419573,"Promoter (2-3kb)",1,3829692,3831224,1533,2,"9731","ENST00000495701.1",2688,"ENSG00000116198","CEP104","centrosomal protein 104"
"chr1",6027170,6028534,1365,"*","chr1_6027170_6028534",-1.27517862399793,0.00871768123873845,"Promoter (<=1kb)",1,6027297,6101180,73884,1,"8514","ENST00000669250.1",0,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
