"seqnames","start","end","width","strand","peak_id","log2FoldChange","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",958489,959947,1459,"*","chr1_958489_959947",-1.01578832017209,0.00931629902425129,"Promoter (<=1kb)",1,944203,959256,15054,2,"26155","ENST00000327044.7",0,"ENSG00000188976","NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"chr1",1868518,1870107,1590,"*","chr1_1868518_1870107",1.32505714451277,0.00399693191691688,"Intron (ENST00000610897.4/2782, intron 1 of 10)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",-9746,"ENSG00000078369","GNB1","G protein subunit beta 1"
"chr1",2134319,2135919,1601,"*","chr1_2134319_2135919",1.06290435255716,9.21193027331344e-05,"Promoter (<=1kb)",1,2134813,2146098,11286,1,"5590","ENST00000466352.5",0,"ENSG00000067606","PRKCZ","protein kinase C zeta"
"chr1",2255657,2256538,882,"*","chr1_2255657_2256538",-1.19296207857286,0.00227191786560796,"Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",7661,"ENSG00000157933","SKI","SKI proto-oncogene"
"chr1",3548142,3548700,559,"*","chr1_3548142_3548700",1.53383189297971,0.000766775295565197,"Intron (ENST00000356575.9/1953, intron 4 of 36)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",12090,"ENSG00000207776","MIR551A","microRNA 551a"
"chr1",3649713,3650431,719,"*","chr1_3649713_3650431",-1.34369582335458,0.000775428666903931,"Promoter (<=1kb)",1,3630767,3650058,19292,2,"49856","ENST00000378322.7",0,"ENSG00000116213","WRAP73","WD repeat containing, antisense to TP73"
"chr1",6037215,6037961,747,"*","chr1_6037215_6037961",-1.71137337291474,0.00598509918978046,"Promoter (1-2kb)",1,6035917,6041762,5846,1,"8514","ENST00000459822.1",1298,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",6180178,6181957,1780,"*","chr1_6180178_6181957",-1.10267721219164,0.0194503132873821,"Promoter (<=1kb)",1,6101787,6180321,78535,2,"26038","ENST00000262450.8",0,"ENSG00000116254","CHD5","chromodomain helicase DNA binding protein 5"
"chr1",6240109,6240859,751,"*","chr1_6240109_6240859",-1.62169368216016,0.00696092934051958,"Distal Intergenic",1,6244179,6245578,1400,1,"390992","ENST00000377898.4",-3320,"ENSG00000173673","HES3","hes family bHLH transcription factor 3"
"chr1",6753265,6754102,838,"*","chr1_6753265_6754102",-1.28343968694651,0.00398592091883386,"Distal Intergenic",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",28592,NA,"LINC01672","long intergenic non-protein coding RNA 1672"
"chr1",7295909,7296415,507,"*","chr1_7295909_7296415",-1.89142745221761,0.00306975560493914,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7312886,7370270,57385,1,"23261","ENST00000849779.1",-16471,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7920436,7921001,566,"*","chr1_7920436_7921001",-1.71652944008167,0.00225929813716891,"3' UTR",1,7856311,7913257,56947,2,"10911","ENST00000788099.1",-7179,"ENSG00000049247","UTS2","urotensin 2"
"chr1",8059027,8059746,720,"*","chr1_8059027_8059746",1.20431143574186,0.00493654004115087,"Intron (ENST00000445300.2/121832806, intron 2 of 2)",1,8077372,8122019,44648,1,"121832806","ENST00000777668.1",-17626,NA,"ERRFI1-DT","ERRFI1 divergent transcript"
"chr1",8595831,8596480,650,"*","chr1_8595831_8596480",1.05097257573598,0.0133065110569078,"Intron (ENST00000337907.7/473, intron 5 of 23)",1,8541224,8590841,49618,2,"473","ENST00000469251.1",-4990,"ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats"
"chr1",9171413,9172782,1370,"*","chr1_9171413_9172782",1.02963894747143,0.0307204297408852,"Intron (ENST00000782880.1/106614088, intron 1 of 1)",1,9181588,9185382,3795,1,"102724571","ENST00000783008.1",-8806,"ENSG00000234546","LNCTAM34A","long non coding transcriptional activator of miR34a"
"chr1",10082596,10083571,976,"*","chr1_10082596_10083571",1.81540284613421,1.36531431127286e-06,"Intron (ENST00000253251.12/10277, intron 2 of 26)",1,10100861,10103185,2325,1,"10277","ENST00000462658.1",-17290,"ENSG00000130939","UBE4B","ubiquitination factor E4B"
"chr1",10253615,10254259,645,"*","chr1_10253615_10254259",1.37204024236369,6.48368464855844e-05,"Intron (ENST00000377093.9/23095, intron 2 of 20)",1,10232329,10381596,149268,1,"23095","ENST00000622724.3",21286,"ENSG00000054523","KIF1B","kinesin family member 1B"
"chr1",10310162,10311379,1218,"*","chr1_10310162_10311379",1.29358502749337,0.0361112445323641,"Intron (ENST00000676179.1/23095, intron 22 of 48)",1,10282450,10292334,9885,1,"23095","ENST00000497835.1",27712,"ENSG00000054523","KIF1B","kinesin family member 1B"
"chr1",10415157,10415897,741,"*","chr1_10415157_10415897",-1.63024857827442,0.000697118730892769,"Promoter (<=1kb)",1,10415292,10419830,4539,1,"5226","ENST00000498356.1",0,"ENSG00000142657","PGD","phosphogluconate dehydrogenase"
"chr1",11281279,11282553,1275,"*","chr1_11281279_11282553",2.87982939505977,1.37105462705102e-07,"Intron (ENST00000376810.6/29914, intron 1 of 1)",1,11273934,11296049,22116,1,"29914","ENST00000483738.1",7345,"ENSG00000120942","UBIAD1","UbiA prenyltransferase domain containing 1"
"chr1",11447838,11448819,982,"*","chr1_11447838_11448819",-1.28736241143502,0.0230985497664869,"Intron (ENST00000760480.1/ENST00000760480.1, intron 1 of 1)",1,11479155,11537551,58397,1,"57540","ENST00000294484.7",-30336,"ENSG00000204624","DISP3","dispatched RND transporter family member 3"
"chr1",11478274,11479684,1411,"*","chr1_11478274_11479684",-1.2429257265527,0.0397659544033081,"Promoter (<=1kb)",1,11479155,11537551,58397,1,"57540","ENST00000294484.7",0,"ENSG00000204624","DISP3","dispatched RND transporter family member 3"
"chr1",11729610,11730799,1190,"*","chr1_11729610_11730799",-1.24664002685547,0.0233039036434443,"Intron (ENST00000779472.1/ENST00000779472.1, intron 1 of 2)",1,11736084,11750710,14627,1,"57085","ENST00000376637.7",-5285,"ENSG00000177674","AGTRAP","angiotensin II receptor associated protein"
"chr1",11820582,11822549,1968,"*","chr1_11820582_11822549",1.10413140884973,0.000191494584777041,"Exon (ENST00000376497.7/1185, exon 6 of 6)",1,11829849,11834308,4460,1,"1185","ENST00000494028.1",-7300,"ENSG00000011021","CLCN6","chloride voltage-gated channel 6"
"chr1",11930782,11931643,862,"*","chr1_11930782_11931643",-1.38554886335004,0.00010300556668575,"Promoter (2-3kb)",1,11934205,11958620,24416,1,"5351","ENST00000485046.5",-2562,"ENSG00000083444","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
